text,label,text_raw,label_gender
"Switzerland 1993 is architect, principal in the office of Philippe Rahm architects, based in Paris, France. His work, which extends the field of architecture from the physiological to the meteorological, has received an international audience in the context of sustainability. In 2002, <TAG-A> Philippe Rahm <TAG-A> was chosen to represent Switzerland at the 8th Architectural Venice Biennale, Italy, and was one of the 25 Manifesto's Architects of <TAG-B> Aaron Betsky <TAG-B> 's 2008 Architectural Venice Biennale. <TAG-P> He <TAG-P> is nominee in 2009 for the Ordos Prize in China and in 2010 and 2008 for the International Chernikov Prize in Moscow where he was ranked in the top ten.",1,"Switzerland 1993 is architect, principal in the office of Philippe Rahm architects, based in Paris, France. His work, which extends the field of architecture from the physiological to the meteorological, has received an international audience in the context of sustainability. In 2002, Philippe Rahm was chosen to represent Switzerland at the 8th Architectural Venice Biennale, Italy, and was one of the 25 Manifesto's Architects of Aaron Betsky 's 2008 Architectural Venice Biennale. He is nominee in 2009 for the Ordos Prize in China and in 2010 and 2008 for the International Chernikov Prize in Moscow where he was ranked in the top ten.",0
"Among the regions, Moscow (and its region) and St. Petersburg (with the Leningrad region) continued to occupy leading positions: their share was nearly half (45%) of the total number of signatures. However, the fastest growing was the Volga Federal District, showing an increase of 6.9 times. Russian writer and opinion journalist <TAG-A> Nikolai Starikov <TAG-A> organized a vote in the Internet with a plea that <TAG-B> Putin <TAG-B> must stay. <TAG-P> He <TAG-P> motivated his move with the suggestion that everybody must have a choice, while the website ``Putin must go'' did not provide an option to vote for Putin's staying.",1,"Among the regions, Moscow (and its region) and St. Petersburg (with the Leningrad region) continued to occupy leading positions: their share was nearly half (45%) of the total number of signatures. However, the fastest growing was the Volga Federal District, showing an increase of 6.9 times. Russian writer and opinion journalist Nikolai Starikov organized a vote in the Internet with a plea that Putin must stay. He motivated his move with the suggestion that everybody must have a choice, while the website ``Putin must go'' did not provide an option to vote for Putin's staying.",0
"They renamed themselves as Sweet Female Attitude and continued to record and promote their tracks, approaching various record labels up and down the UK. <TAG-A> Sarah <TAG-A> would also leave the group that same year and <TAG-B> Leanne <TAG-B> was asked to either front the group alone or find a second singer which led to <TAG-P> her <TAG-P> holding auditions along with Mike Powell in Manchester.",2,"They renamed themselves as Sweet Female Attitude and continued to record and promote their tracks, approaching various record labels up and down the UK. Sarah would also leave the group that same year and Leanne was asked to either front the group alone or find a second singer which led to her holding auditions along with Mike Powell in Manchester.",1
"At age 17, Rinker moved to Seattle and worked as a sheet music demonstrator at Woolworth's. She married and divorced Ted Bailey, keeping his last name because she thought it sounded more ``American'' than <TAG-A> Rinker <TAG-A>, which was of Swiss (German) origin. With the help of <TAG-P> her <TAG-P> second husband Benny Stafford, <TAG-B> Bailey <TAG-B> became an established blues and jazz singer on the west coast of the United States.",2,"At age 17, Rinker moved to Seattle and worked as a sheet music demonstrator at Woolworth's. She married and divorced Ted Bailey, keeping his last name because she thought it sounded more ``American'' than Rinker, which was of Swiss (German) origin. With the help of her second husband Benny Stafford, Bailey became an established blues and jazz singer on the west coast of the United States.",1
"More than three years of preparatory training are alluded to before Anakin builds his first lightsaber (29 BBY), as recounted in the introductory novel, Path to Truth. It begins with Anakin and Obi-Wan climbing atop of a cliff. Anakin has to find his crystals for his Lightsaber. After <TAG-P> he <TAG-P> completes this task, <TAG-A> Skywalker <TAG-A> and <TAG-B> Kenobi <TAG-B> are summoned to complete a mission which leads to the return of friends and old enemies.",1,"More than three years of preparatory training are alluded to before Anakin builds his first lightsaber (29 BBY), as recounted in the introductory novel, Path to Truth. It begins with Anakin and Obi-Wan climbing atop of a cliff. Anakin has to find his crystals for his Lightsaber. After he completes this task, Skywalker and Kenobi are summoned to complete a mission which leads to the return of friends and old enemies.",0
"Bridget maintained correspondence throughout her life with her sister the queen, who also paid for her various minor expenses, as well as minor expenses of the orphaned Agnes of Eltham. After Bridget's sister, Elizabeth of York, married Henry VII, <TAG-A> Elizabeth <TAG-A> paid some of <TAG-B> Bridget <TAG-B>'s expenses and kept in touch with <TAG-P> her <TAG-P> via messengers.",2,"Bridget maintained correspondence throughout her life with her sister the queen, who also paid for her various minor expenses, as well as minor expenses of the orphaned Agnes of Eltham. After Bridget's sister, Elizabeth of York, married Henry VII, Elizabeth paid some of Bridget's expenses and kept in touch with her via messengers.",1
"While they are on their date, Cal is murdered, leaving Ethan and Alicia devastated. <TAG-A> Rainsford <TAG-A> commented, ``It's typical that after a year of ups and downs and procrastinating, they got together on the day that Cal is murdered''. In the aftermath of <TAG-P> his <TAG-P> death, Alicia and <TAG-B> Ethan <TAG-B> grow close and she comforts him.",0,"While they are on their date, Cal is murdered, leaving Ethan and Alicia devastated. Rainsford commented, ``It's typical that after a year of ups and downs and procrastinating, they got together on the day that Cal is murdered''. In the aftermath of his death, Alicia and Ethan grow close and she comforts him.",0
"She won an Emmy award in 1992 for her coverage of the Gulf War, and served as host of Telemundo 's popular newsmagazine Primera Hora from 1995 to 1999. In addition to <TAG-P> her <TAG-P> experience as a news anchor, <TAG-A> Oller <TAG-A> has interviewed many world leaders including former US President Ronald Reagan and Costa Rican president Oscar Arias Sanchez, artists, and writers such as <TAG-B> Isabel Allende <TAG-B> and Mario Vargas Llosa.",1,"She won an Emmy award in 1992 for her coverage of the Gulf War, and served as host of Telemundo 's popular newsmagazine Primera Hora from 1995 to 1999. In addition to her experience as a news anchor, Oller has interviewed many world leaders including former US President Ronald Reagan and Costa Rican president Oscar Arias Sanchez, artists, and writers such as Isabel Allende and Mario Vargas Llosa.",1
"At first, President marshal Josip Broz Tito tried to break the centuries-long link between Croatia and the Holy See by offering Archbishop Stepinac a Croatian national church but Stepinac refused, which eventually resulted in attacks on the bishops in the summer of 1952. <TAG-A> Pope Pius XII <TAG-A>, wishing to pay tribute to archbishop <TAG-B> Stepinac <TAG-B> for <TAG-P> his <TAG-P> faithfulness, elevated him to the College of Cardinals in 1953 which triggered a reaction from the Government.",2,"At first, President marshal Josip Broz Tito tried to break the centuries-long link between Croatia and the Holy See by offering Archbishop Stepinac a Croatian national church but Stepinac refused, which eventually resulted in attacks on the bishops in the summer of 1952. Pope Pius XII, wishing to pay tribute to archbishop Stepinac for his faithfulness, elevated him to the College of Cardinals in 1953 which triggered a reaction from the Government.",0
"His retail track record and wealth of experience will make him a massive asset for Coral as we develop the business going forward.'' Hornby joined Alliance Boots on 1 July 2009 as Group Chief Executive. He worked under Stefano Pessina 'ss leadership with the other members of the Executive Committee: Ornella Barra (Chief Executive, Pharmaceutical Wholesale Division, Alliance Boots), Alex Gourlay (Chief Executive, Health & Beauty Division, Alliance Boots), George Fairweather (Group Finance Director, Alliance Boots) and <TAG-A> Marco Pagni <TAG-A> (Group Legal Counsel and Chief Administrative Officer, Alliance Boots). On 25 March 2011, Alliance Boots announced that <TAG-B> Andy Hornby <TAG-B> was stepping down from <TAG-P> his <TAG-P> position.",2,"His retail track record and wealth of experience will make him a massive asset for Coral as we develop the business going forward.'' Hornby joined Alliance Boots on 1 July 2009 as Group Chief Executive. He worked under Stefano Pessina 'ss leadership with the other members of the Executive Committee: Ornella Barra (Chief Executive, Pharmaceutical Wholesale Division, Alliance Boots), Alex Gourlay (Chief Executive, Health & Beauty Division, Alliance Boots), George Fairweather (Group Finance Director, Alliance Boots) and Marco Pagni (Group Legal Counsel and Chief Administrative Officer, Alliance Boots). On 25 March 2011, Alliance Boots announced that Andy Hornby was stepping down from his position.",0
"John Randolph Hearst, born in 1910; and the twins, Randolph Apperson Hearst and David Whitmire (n*e Elbert Willson) Hearst, born on December 2, 1915. <TAG-A> Phoebe Apperson Hearst <TAG-A>, the very proper mother of William Randolph Hearst, was initially dismayed by <TAG-B> Millicent <TAG-B>'s humble origins, but with the birth of the grandchildren <TAG-P> she <TAG-P> soon warmed to her daughter-in-law.",1,"John Randolph Hearst, born in 1910; and the twins, Randolph Apperson Hearst and David Whitmire (n*e Elbert Willson) Hearst, born on December 2, 1915. Phoebe Apperson Hearst, the very proper mother of William Randolph Hearst, was initially dismayed by Millicent's humble origins, but with the birth of the grandchildren she soon warmed to her daughter-in-law.",1
"Jojo and Lila begin dating; at the same time, Mona (Ira Maya Sopha) takes Jojo to be her exclusive gigolo. At Lila's birthday party, Jojo learns that she is the daughter of Mona; he also meets her closeted gangster father, Jan Pieter Gunarto (Rudy Wowor). JoJo attempts to break off his contract with <TAG-A> Mona <TAG-A> so he can be with <TAG-B> Lila <TAG-B>, but <TAG-P> she <TAG-P> threatens to tell her daughter about his status as a gigolo.",1,"Jojo and Lila begin dating; at the same time, Mona (Ira Maya Sopha) takes Jojo to be her exclusive gigolo. At Lila's birthday party, Jojo learns that she is the daughter of Mona; he also meets her closeted gangster father, Jan Pieter Gunarto (Rudy Wowor). JoJo attempts to break off his contract with Mona so he can be with Lila, but she threatens to tell her daughter about his status as a gigolo.",1
"``You can't really be a tremendous character in a shop .... They married me off to Alf hoping that would work but it was constant bickering.'' Renee's first storyline saw her feuding with Annie over obtaining a license to sell alcohol. <TAG-A> Renee <TAG-A> angers <TAG-B> Annie <TAG-B> to the point that <TAG-P> she <TAG-P> takes the issue to court but Renee persuades Annie's employee, Bet Lynch (Julie Goodyear), to admit that the Rovers Return do not stock wine.",2,"``You can't really be a tremendous character in a shop .... They married me off to Alf hoping that would work but it was constant bickering.'' Renee's first storyline saw her feuding with Annie over obtaining a license to sell alcohol. Renee angers Annie to the point that she takes the issue to court but Renee persuades Annie's employee, Bet Lynch (Julie Goodyear), to admit that the Rovers Return do not stock wine.",1
"Sarah takes Sissy and Hetty to a restaurant, where she asks questions for her new book ``Penny for a Posy''. After asking her questions, Sissy leaves and Sarah takes Hetty back to the Hospital after buying her ink and a book. When <TAG-A> Hetty <TAG-A> is returned to the hospital, <TAG-B> Ida <TAG-B> collapses and loses <TAG-P> her <TAG-P> shoe.",2,"Sarah takes Sissy and Hetty to a restaurant, where she asks questions for her new book ``Penny for a Posy''. After asking her questions, Sissy leaves and Sarah takes Hetty back to the Hospital after buying her ink and a book. When Hetty is returned to the hospital, Ida collapses and loses her shoe.",1
"Since Jay Hottinger was unable to run again for his seat in the Ohio Senate, Schaffer sacrificed a fourth term in the House to run for the Thirty First District of the Senate. In a three-way primary with fellow Representative Ron Hood and Jeff Furr, Schaffer won the nomination with 48.59% of the vote. Again facing <TAG-A> Dennis Lupher <TAG-A>, <TAG-B> Schaffer <TAG-B> moved to the Senate, earning 57.26% of the votes. In <TAG-P> his <TAG-P> first term, Schaffer served as Chairman of the Senate Environment and Natural Resources Committee in the 128th General Assembly.",2,"Since Jay Hottinger was unable to run again for his seat in the Ohio Senate, Schaffer sacrificed a fourth term in the House to run for the Thirty First District of the Senate. In a three-way primary with fellow Representative Ron Hood and Jeff Furr, Schaffer won the nomination with 48.59% of the vote. Again facing Dennis Lupher, Schaffer moved to the Senate, earning 57.26% of the votes. In his first term, Schaffer served as Chairman of the Senate Environment and Natural Resources Committee in the 128th General Assembly.",0
"Oxana Guseva is a Paralympic swimmer from Russia competing mainly in category S7 events. <TAG-A> Oxana <TAG-A> competed in both the 2004 and 2008 Summer Paralympics winning a solitary silver medal. It was in 2004 <TAG-P> she <TAG-P> won that medal in the 400m freestyle behind Australia's <TAG-B> Chantel Wolfenden <TAG-B> who swam a new games record, she also finished sixth in the 100m freestyle, eighth in the 50m butterfly, fourth in the 200m individual medley but failed to make the final of the 100m freestyle and was part of the Russian team that finished fourth in the 4 * 100 m medley just 0.12 seconds behind the bronze medal winning Australian team.",2,"Oxana Guseva is a Paralympic swimmer from Russia competing mainly in category S7 events. Oxana competed in both the 2004 and 2008 Summer Paralympics winning a solitary silver medal. It was in 2004 she won that medal in the 400m freestyle behind Australia's Chantel Wolfenden who swam a new games record, she also finished sixth in the 100m freestyle, eighth in the 50m butterfly, fourth in the 200m individual medley but failed to make the final of the 100m freestyle and was part of the Russian team that finished fourth in the 4 * 100 m medley just 0.12 seconds behind the bronze medal winning Australian team.",1
"Suspecting Cilla was having another affair, Les kicked her out and Cilla came clean to Fiz about her illness, who told Chesney and Les. The family were reunited by Cilla's hospital bed, and Cilla then returned home. On finding out that husband Les and best mate <TAG-A> Yana <TAG-A> had slept together, <TAG-B> Cilla <TAG-B> hatched a plan to get <TAG-P> her <TAG-P> own back.",2,"Suspecting Cilla was having another affair, Les kicked her out and Cilla came clean to Fiz about her illness, who told Chesney and Les. The family were reunited by Cilla's hospital bed, and Cilla then returned home. On finding out that husband Les and best mate Yana had slept together, Cilla hatched a plan to get her own back.",1
"In that record, both Pickingill and Bateman described themselves as residing in Gravesend, and Pickingill declared that he was working as a labourer; no profession was listed for Bateman. <TAG-A> Bateman <TAG-A> was born c.1831 in Tillingham, Essex, as the daughter of Joseph Bateman and his wife <TAG-B> Mary Ann Aggus <TAG-B>; throughout married life, <TAG-P> she <TAG-P> identified as ``Mary Ann Pickingill'' and appeared as ``Sarah Ann Pittengale'' in her burial record.",1,"In that record, both Pickingill and Bateman described themselves as residing in Gravesend, and Pickingill declared that he was working as a labourer; no profession was listed for Bateman. Bateman was born c.1831 in Tillingham, Essex, as the daughter of Joseph Bateman and his wife Mary Ann Aggus; throughout married life, she identified as ``Mary Ann Pickingill'' and appeared as ``Sarah Ann Pittengale'' in her burial record.",1
"Records reveal that in his will, dated 26 November 1520, her husband, Sir Thomas Fairfax of Walton and Gilling Castle, names Anne -- ``Dame Anne Fairfax, my wif'' -- as executrix and she is granted administration 11 April 1521. Anne Gascoigne and her husband, Sir Thomas Fairfax, are common ancestors of The Duke and <TAG-A> Duchess of Cambridge <TAG-A>. Through <TAG-P> her <TAG-P> mother, <TAG-B> Anne <TAG-B> is descended from Edward III.",2,"Records reveal that in his will, dated 26 November 1520, her husband, Sir Thomas Fairfax of Walton and Gilling Castle, names Anne -- ``Dame Anne Fairfax, my wif'' -- as executrix and she is granted administration 11 April 1521. Anne Gascoigne and her husband, Sir Thomas Fairfax, are common ancestors of The Duke and Duchess of Cambridge. Through her mother, Anne is descended from Edward III.",1
"In 1988, Race suffered an abdominal injury and during his absence his manager Bobby ``the Brain'' Heenan awarded the crown to Haku in July, rechristening him King Haku, even though <TAG-A> Randy Savage <TAG-A> had won the tournament by that point and <TAG-B> Ted DiBiase <TAG-B> would also win the tournament during this storyline. Race eventually returned from <TAG-P> his <TAG-P> injury and briefly feuded with King Haku, but was unable to regain the crown at the 1989 Royal Rumble.",0,"In 1988, Race suffered an abdominal injury and during his absence his manager Bobby ``the Brain'' Heenan awarded the crown to Haku in July, rechristening him King Haku, even though Randy Savage had won the tournament by that point and Ted DiBiase would also win the tournament during this storyline. Race eventually returned from his injury and briefly feuded with King Haku, but was unable to regain the crown at the 1989 Royal Rumble.",0
"Truth or Dare by Madonna is a lifestyle brand by American recording artist Madonna. It is the second enterprise from MG Icon LLC, a joint venture between Madonna, her manager Guy Oseary and Iconix Brand Group. This is the second brand from the venture after <TAG-A> Material Girl <TAG-A>, which is a fashion line designed by <TAG-B> Madonna <TAG-B> and <TAG-P> her <TAG-P> daughter Lourdes and launched in 2010.",2,"Truth or Dare by Madonna is a lifestyle brand by American recording artist Madonna. It is the second enterprise from MG Icon LLC, a joint venture between Madonna, her manager Guy Oseary and Iconix Brand Group. This is the second brand from the venture after Material Girl, which is a fashion line designed by Madonna and her daughter Lourdes and launched in 2010.",1
"During a rally of Haqqani, Carrie forces Quinn to abort his plan on killing him and discovers Dar Adal in Haqqani's car. Back in the U.S., Carrie reunites with her estranged mother. Quinn accepts a dangerous assassination mission in Syria. Later, Carrie confronts Dar Adal who reveals <TAG-A> Saul <TAG-A> as a supporter of a deal made with <TAG-B> Haqqani <TAG-B>, to take <TAG-P> him <TAG-P> off the CIA kill list, in exchange for Haqqani no longer harboring terrorists in Afghanistan.",2,"During a rally of Haqqani, Carrie forces Quinn to abort his plan on killing him and discovers Dar Adal in Haqqani's car. Back in the U.S., Carrie reunites with her estranged mother. Quinn accepts a dangerous assassination mission in Syria. Later, Carrie confronts Dar Adal who reveals Saul as a supporter of a deal made with Haqqani, to take him off the CIA kill list, in exchange for Haqqani no longer harboring terrorists in Afghanistan.",0
"His rule was largely weak and ineffective, as much of government responsibilities in Brandenburg-Prussia was turned over to Schwarzenberg as the country suffered greatly during the war. Protestant and Catholic troops alike burned and plundered the Brandenburg region and the population was decimated there as it was throughout the German states. Whereas Ducal Prussia remained mostly untouched. With <TAG-P> his <TAG-P> brother-in-law <TAG-A> Gustavus <TAG-A> dead in 1632, <TAG-B> George William <TAG-B> maintained the Swedish alliance until after the Swedish defeat at the Battle of N*rdlingen on 6 September 1634.",2,"His rule was largely weak and ineffective, as much of government responsibilities in Brandenburg-Prussia was turned over to Schwarzenberg as the country suffered greatly during the war. Protestant and Catholic troops alike burned and plundered the Brandenburg region and the population was decimated there as it was throughout the German states. Whereas Ducal Prussia remained mostly untouched. With his brother-in-law Gustavus dead in 1632, George William maintained the Swedish alliance until after the Swedish defeat at the Battle of N*rdlingen on 6 September 1634.",0
"Yossarian and Orr get along well and Orr customizes the tent making it much more comfortable. After Orr is declared M.I.A. and presumed dead, four new officers are assigned to the tent, but Yossarian cannot tolerate them. <TAG-A> Sergeant Towser <TAG-A> offers <TAG-B> Yossarian <TAG-B> the option of being assigned to same tent Nately is, but <TAG-P> he <TAG-P> refuses to leave.",2,"Yossarian and Orr get along well and Orr customizes the tent making it much more comfortable. After Orr is declared M.I.A. and presumed dead, four new officers are assigned to the tent, but Yossarian cannot tolerate them. Sergeant Towser offers Yossarian the option of being assigned to same tent Nately is, but he refuses to leave.",0
"Ranger Smith helps poor Boo Boo up and Boo Boo asks the ranger about those bullies he met, wondering why they have to act mean to little bears. Smith then answers to Boo Boo that it's rough for the fact that the forest is rough on little fellow and tells him that he had to ``bear'' with a fact about fair life, right until <TAG-A> Yogi <TAG-A> shows up and asks <TAG-B> Boo Boo <TAG-B> if <TAG-P> he <TAG-P> want to tag along with him for a picnic goodies.",2,"Ranger Smith helps poor Boo Boo up and Boo Boo asks the ranger about those bullies he met, wondering why they have to act mean to little bears. Smith then answers to Boo Boo that it's rough for the fact that the forest is rough on little fellow and tells him that he had to ``bear'' with a fact about fair life, right until Yogi shows up and asks Boo Boo if he want to tag along with him for a picnic goodies.",0
"In 2002 she produced a show of palindromic songs and music with him called 'The Year of the Palindrome'. The songs were released on an album called 'Rotator'. Touring her shows 'Jane Bom-Bane's Greatest Hats' and 'The Hat <TAG-A> Lady <TAG-A> Sings', 2005, <TAG-B> Jane <TAG-B> performed at the London Cabaret Convention at the Greenwich Theatre with Kit and the Widow, and received the 'Spirit of the Fringe Award' in Edinburgh for original music. In 2006, <TAG-P> she <TAG-P> opened Bom-Bane's music caf* in Brighton, which features a set of mechanical tables which she designed and made with partner Nick Pynn, and in 2007 won a 'Three Weeks' Brighton Festival award for the caf*.",2,"In 2002 she produced a show of palindromic songs and music with him called 'The Year of the Palindrome'. The songs were released on an album called 'Rotator'. Touring her shows 'Jane Bom-Bane's Greatest Hats' and 'The Hat Lady Sings', 2005, Jane performed at the London Cabaret Convention at the Greenwich Theatre with Kit and the Widow, and received the 'Spirit of the Fringe Award' in Edinburgh for original music. In 2006, she opened Bom-Bane's music caf* in Brighton, which features a set of mechanical tables which she designed and made with partner Nick Pynn, and in 2007 won a 'Three Weeks' Brighton Festival award for the caf*.",1
"A disappointed Dan is further enraged when Chuck insults Jenny, and throws a second punch at the would-be rapist. Serena tries to explain herself to Dan, but he leaves the brunch without her. Back at the Humphrey apartment, Dan relates to Rufus and <TAG-A> Jenny <TAG-A> that he ``...found <TAG-B> Serena <TAG-B>, but then (he) lost <TAG-P> her <TAG-P>.''",2,"A disappointed Dan is further enraged when Chuck insults Jenny, and throws a second punch at the would-be rapist. Serena tries to explain herself to Dan, but he leaves the brunch without her. Back at the Humphrey apartment, Dan relates to Rufus and Jenny that he ``...found Serena, but then (he) lost her.''",1
