pos,text,label
batteries,"however, I may have inadvertently thrown out one of the batteries with the shipping carton.",0
wait time,I would recommend putting your name down and then getting a drink at a local bar first though because of the wait time.,1
IWORKS,"I had my IWORKS, Itunes, Email, MS Office, network and printers set up and completely working perfectly within an hour.",3
fried dumplings,The scallion pancakes and fried dumplings were nothing out of the ordinary.,0
Windows,"Whenever tried to turn it on, it would restart as soon as the BIOS launched Windows (or Winblows, as I like ot call it).",1
performance,I bought this laptop because of the performance to price ratio.,3
performance,And the ram (the thing that makes it faster) comes sporting 2 gigs for high performance to handle more stuff at once and surf the web a whole lot faster than before.,3
guy,The only friendly staff member was the guy at the bar.,3
dishes,The place is a BISTRO which means: simple dishes and wine served efficiently in a bustling atmosphere.,3
speakers,"That included the extra Sony Sonic Stage software, the speakers and the subwoofer I got (that WAS worth the money), the bluetooth mouse for my supposedly bluetooth enabled computer, the extended life battery and the Docking port.",3
support,Dealing with the support drone on the other end of the chat was sheer torture.,1
bartender,The bartender on my most recent visit was so incredibly rude that I will never go back.,1
set up,The ease of set up was terrific.,3
"configuration of ""extra key""","Since I keyboard over 100 wpm, I look for a unit that has a comfortble keyboard (no keys sticking or lagging, strange configuration of ""extra key"", etc.",3
back garden sitting area,"THe back garden sitting area is very pleasant, where you can see their personal herb garden.",3
hot dogs,We also ordered two hot dogs thinking they would be pretty good since there is a whole section on the menu devoted to them.,0
place,This is a cute place and could be good but they need to get their act together.,3
taste,"Staffs are not that friendly, but the taste covers all.",3
martinis,I would definitely go back -- if only for some of those exotic martinis on the blackboard.,3
spot,"Great spot, whether looking for a couple of drinks or quiet dinner.",3
meats,"Each table has a pot of boiling water sunken into its surface, and you get platters of thin sliced meats, various vegetables, and rice and glass noodles.",0
browsers,"I was loving this Netbook because it had an amazing screen and display and was small and light, but after 1 week it stopped openning web pages for me (even after installing new browsers) then eventually it just started giving me a blue screen and crashing everytime I booted it.",0
delete  key,"And if you do a lot of writing, editing is a problem since there is no forward delete key.",1
pub,But the thing that my wife and I hated was it was so loud and it felt like 'bar' or 'pub'.,1
paninis,"The large selection of bruschettas, paninis, tramezzinis keep the palate from stagnating.",3
bar,"It's also attached to Angel's Share, which is a cool, more romantic bar...",3
decor,"While Sapphire is certainly not lacking in ambiance, and probably has the best decor of any Indian restaurant I have been to in New York City, the food was not what I had hoped for.",3
mouse pointer,I also had a problem with the touchpad that caused the mouse pointer to jump all over the screen.,1
Snow Leopard,"Even though it is running Snow Leopard, 2.4 GHz C2D is a bit of an antiquated CPU and thus the occasional spinning wheel would appear when running Office Mac applications such as Word or Excel.",3
kitchen,"The food is uniformly exceptional, with a very capable kitchen which will proudly whip up whatever you feel like eating, whether it's on the menu or not.",3
screen,My favorite part of this computer is that it has a vga port so I can connect it to a bigger screen.,0
comfort food,Simple comfort food and what hot and lage portions.,3
back waiters,"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",3
nvidia 9800,"I previously purchased a 13"" macbook (had pro specs and was aluminum style) which had a nvidia 9800 (If I am not mistaken) and it had major heating issues.",0
dining room,The dining room is quietly elegant with no music to shout over -- how refreshing!,3
pasta,The white bean brushetta to start was incredible and the pasta was phenomenal.,3
food,"i've been to sapphire twice and both times the food was fine, if not good.",3
quality,"If you are looking for a good quality, cheap eats - this is the place.",3
battery,"And not to mention after using it for a few months or so, the battery will slowly less and less hold a charge until you can't leave it unplugged for more than 5 minutes without the thing dying.",1
bluetooth,It also does not have bluetooth.,1
web cam,"I have no idea how to burn cd's or to use the web cam, just for starters.",0
ATI graphics card,"The ATI graphics card is a huge plus, definitely a good value if you need to be able to run some slightly older games that a Intel built-in card would have trouble with, such as Half-Life 2 or even World of Warcraft.",3
wine list,"I am amazed by the poor reviews- I find this place to be standout Italian in an area flooded with Italian- great prices, great atmosphere, good service and a wonderful wine list.",3
prices,They charge different prices all the time.,1
price,"It didn't come with any software installed outside of windows media, but for the price, I was very pleased with the condition and the overall product.",3
chef,"During the course of the past 3 months, the chef and staff changed and it was not for the better.",1
find files,"It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!",3
power supply,Unless you want to be inconvenienced with a non working power supply which you can't find a replacement for because they made the attachment so small.,1
edges,Downfalls: sharp edges.,1
beef carpaachio,"Service was warm and attentive, beef carpaachio was exellent (huge portion) and pasta was fresh and well-prepared.",3
paint,"Externally the keys on my keyboard are falling off, after a few uses the paint is rubbing off the button below the mouse pad and where the heals of my hands sit, and the screen has a terrible glare.",1
operating system,"previous laptops were pc's, still have them, but the mac osx is a clean and smooth operating system.",3
desktop keyboard,"The keyboard, which generally felt okay even for someone used to a desktop keyboard, now looks terrible.",0
warranty,The graphics were awful and the warranty isn't even worth the cheap payment on the computer.,1
staff,Patroon features a nice cigar bar and has great staff.,3
delivery,"Great value, fast delivery- Computer works as if brand new, no problems, very pleased",3
iLife,iLife is easily compatible with Microsoft Office so you can send and receive files from a PC.,3
flavor,Sauce was watery and the food didn't have much flavor.,1
durability,Enjoy that Toshib force and durability unparalleled,3
pie,"He not only makes his own homemade mozzarella, but every pie is ultra fresh.",3
prix fixe meal,Could be pricey without a prix fixe meal.,1
user interface,"The operating system and user interface is very intuitive, and the large multi-touch track pad is amazing.",3
food,"The food is amazing, rich pastas and fresh doughy pizza.",3
HDD bay,"Can't close the 2nd HDD bay since there are brackets you have to break off (even then, it still doesn't shut) That could be a major flaw for the dual HDD user.",1
glass of Leaping Lizard,"A glass of Leaping Lizard, a glass of prosecco, and the mussels had everything happy.",3
Screen,"Screen, keyboard, and mouse: If you cant see yourself spending the extra money to jump up to a Mac the beautiful screen, responsive island backlit keyboard, and fun multi-touch mouse is worth the extra money to me alone.",0
waiter,"Complimentary stuff kept coming, and when the waiter saw me opening a gift, I received my dessert on a plate that had Happy Birthday written on it, with a candlevery nice touch, and attentive staff.",3
warranty,Now the machine won't connect and Toshiba says that they did replace the connection card in May but they only warranty the repair for 30 days and now I'm out of warranty even though this has been a constant 5 month occurance since I bought the netbook.,1
price range,"This is likely due to poor grounding and isolation between the components, and I'm hoping that it can be fixed with a ground loop isolator, but I still expected better product quality for this price range.",1
service,"The service, wine selection, ambiance are all outstanding and deserve recognition.",3
sushi,"They sell special sushi, everything have a topping, sauce and etc.",3
software,I took off a star because the machine has a lot of junk software on it.,1
entree range,"While the $20 entree range is not overly expensive, in New York City, there is definitely better food in that range, and so Sapphire, despite it's lovely atmosphere, will most likely not be a restaurant to which I will return.",3
food,"The ambiance is minimal the food is not phenomenal, but some dishes are quite good, such as the eggplant parmesan, veal in carozza chicken saltimbocca.",1
box wine,"Then, get ripped on free box wine.",3
feel,"The feel of this is better than the Toshiba, too.",3
atmosphere,"While the ambiance and atmosphere were great, the food and service could have been a lot better.",3
food,The food was authentic.,3
entrees,"Had 1 appetizer, 2 entrees and 2 cokes and the bill was ~$55.00, not including tip.",0
waiter,The waiter was attentive.,3
service,"Aside from the rushed service, we were very impressed with the food and the drinks.",1
Docking port,"That included the extra Sony Sonic Stage software, the speakers and the subwoofer I got (that WAS worth the money), the bluetooth mouse for my supposedly bluetooth enabled computer, the extended life battery and the Docking port.",0
table,The service is awful--the last time I was there (and I do mean the last time) we were told that they needed our table so we would have to leave.,1
food,Go to Volare for 1st class service and terrific food.,3
features,Great laptop that offers many great features!,3
drinks,"Aside from the rushed service, we were very impressed with the food and the drinks.",3
place,This place is the most Japanese it can ever get.,3
pizza,I've had pizza both times and the caprese salad appetizer.,0
applications,"It's applications are terrific, including the replacements for Microsoft office.",3
cream cheeses,The cream cheeses are out of this world and I love that coffee!!,3
service,"not the food ,not the ambiance , not the service, I agree with the previous reviews you wait and wait , the wait staff are very rude and when you get in they are looking to get you right out .",0
pizza,"If I could rate the people this place would be off the charts - unfortunately - the pizza, sorry - not the best in NYC.",1
atmosphere,"The first time I went, and was completely taken by the live jazz band and atmosphere, I ordered the Lobster Cobb Salad.",3
steak,The steak was excellent and one of the best I have had (I tasted the butter intitally but in no way did it overwhelm the flavor of the meat).,3
GarageBand,"Of course, I also have several great software packages that came for free including iWork, GarageBand, and iMovie.",3
flavor,The miso soup lacked flavor and the fish was unfortunately not as well prepared as in the past.,1
mousepad,"Your cursor will end up all over the freaking place,,,it's not uncommon for me to accidentally delete words, sentences, paragraphs because of this mousepad.",1
food,"Good, because hey, it's more food, but bad because dim sum is supposed to be smaller portions so you can try out more dishes and smaller so that each dish is cheap.",3
bistro fare,"Super friendly and knowledgable staff, fabulous bistro fare and a wonderful jazz brunch with great live jazz (the chilaquiles were awesome!",3
price,"Great wine selection, Gigondas is worth the price, and the house champagne is a great value.",0
sweet basil fried tofu,Their exotic salad is basic ly a delcious little green salad with a peanut sauce that is perfect before their sweet basil fried tofu.,3
size,"also you may need to charge it once a day, if for medium use every thing fast and easy with mac the size and look is the most feature that attracted me to it.",3
keys,"Since I keyboard over 100 wpm, I look for a unit that has a comfortble keyboard (no keys sticking or lagging, strange configuration of ""extra key"", etc.",3
wireless system,My wireless system would not recognize Windows 7 and I couldn't get online to find out why.,1
webcam,The fact that you can spend over $100 on just a webcam underscores the value of this machine.,0
corned beef sandwich,"While there are plenty of places to go for a good corned beef sandwich, Katz's has a charm about it.",3
food,Nevertheless the food itself is pretty good.,3
Thai ice tea,The Thai ice tea was amazingly smooth and yummy!,3
navigate,"It's so much easier to navigate through the operating system, to find files, and it runs a lot faster!",3
pastas,All the pastas are fantastic and the homemade lasagna is some of the best that I have had in the City.,3
plain slice,"The plain slice is great and if you get toppings, the whole slice is topped with them, not sparsely sprinkled on like some places.",3
aisle,"It cannot be the ambience, because the place is very cramped and some guests have to sit in an aisle.",1
ingredients,Fresh ingredients and everything is made to order.,3
rice,"It might have been a little too spicy for my friend, which you can couteract with eat more rice and keeping water on hand.",0
plug,As well as having the plug in the computer come loose.,1
reservation,I went to Del Frisco's Friday night with my boyfriend for an 8:00 reservation.,0
fries,"The food is yummy, especially their cooked-to-perfection mussels in spicy tomato sauce and their shoestring crispy fries.",3
graphics,The graphics on this computer are also stellar - very clear and vivid.,3
ambiance,"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.",3
power supply,power supply went bad after 2 weeks --,1
warranty,"The battery life sucked the juice from my laptop and when the extended life battery went out we were SOL there to, so much for that warranty covering all the products we purchased.",1
Service,Service is highly refined: our seating was delayed 35 minutes past our reservation and the maitre d' apologized and regularly kept us apprised of progress.,3
dishes,Just stick with the small dishes!,1
reservation sigh,Went there with my wife and we had to wait for a table even though you could see there many that were empty with not reservation sigh on them.,0
staff,The staff was too busy ordering sushi for dinner and then laying it out to eat on the bar to even bring me my check.,1
BIOS,But sadly the replacement froze-up while updating the BIOS again and shut down and would not turn back on.,1
back garden,They also have a back garden open in the summer - cute and French with outdoor seating - what more could you ask for?,3
portions,"The food was pretty good, but a little flavorless and the portions very small, including dessert.",1
service,"On the other hand, if you are not fooled easily, you will find hundreds of restaurants that will give you service and ambiance that is on par with Alain Ducasse, and food that will outshine in presentaion, taste, choice, quality and quantity.",0
lunch,I recently went to this restaurant with some co-workers for lunch and had an amazing time.,0
serves,"The eggplant parmesan is also great, and my friend who grew up in Manhattan claims that no one serves a better baked ziti with meatsauce.",3
keyboard,i also love having the extra calculator number set up on the keyboard which most laptops do not have.,3
features,"However, I love this particular Mac because its very fast, great size, and has fantastic features like the lighted keyboard and easy mouse pad.",3
meal,I recommend the meatballs and caprese salad and the beans on toast were a wonderful start to the meal!,0
pizzas,All of the pizzas are terrific and the price is even better!,3
salmon,The spicy tuna and salmon are the best we've ever had.,3
volume,I wish the volume could be louder and the mouse didnt break after only a month.,1
dessert,they bring service up a notch by offerng complementary amuse bouche to all tables and gave us a small dessert for our celebration.,3
drinks,"Next time, we wouldn't dare ordering anything else other than some simple Asian appetizers and drinks.",3
Chef,"Very excited to hear that short-term Chef Jason Narone has moved on, he truly was a low point of their Sterling track record.",1
music,"Great roofdeck, nice group of 30 somethings, but no music, kind of quiet.",1
Taiwanese,"The restuarant itself is not large, but seems to have several round tables to accomodate large groups hoping to save a buck to eat authentic Taiwanese.",3
menu,"Despite a slightly limited menu, everything prepared is done to perfection, ultra fresh and a work of food art.",1
choice,"On the other hand, if you are not fooled easily, you will find hundreds of restaurants that will give you service and ambiance that is on par with Alain Ducasse, and food that will outshine in presentaion, taste, choice, quality and quantity.",1
windows OS,I loved the netbook (minus the fact that it was windows OS) until this started happening.,1
portions,"I would not have been so disappointed with the portions if the qualities were good enough to make up for it, but they were not!",1
crispy chicken,"The crispy chicken wasn't for us, though.",1
booting,"Called tech support and got the usual Acer ""We don't support software but for $$$ we can help you"" I explained there was no software involved in booting.",1
staff,The staff was the friendliest that have seen in New York.,3
food,The place is small and cramped but the food is fantastic.,3
unibody design,The unibody design is edgy and durable.,3
tracking area,"However, the multi-touch gestures and large tracking area make having an external mouse unnecessary (unless you're gaming).",3
software,The only downfall is a lot of the software I have won't work with Mac and iWork is not worth the price of it.,1
mussaman curry,"The mussaman curry that I ordered was as thin as water and aside from the poorly fried tofu that I ordered in it, they graciously provided me with ONE piece of poorly cooked potato.",1
picture quality,"My friend reports the notebook is astonishing in performance, picture quality, and ease of use.",3
recovery cd,Oh and if thats not bad enough it doesn't come with a recovery cd so you can make one if you know how to or buy one if you buy it the cost is $25 for two cds.,1
keys,I especially like the keyboard which has chiclet type keys.,3
use,"It is easy to use, its keyboard easily accommodates large hands, and its weight is fantasic.",3
food,I have eaten there 3-4 times and the food was always good.,3
Office,I like those programs better than Office and you can save your files to be completely compatible with the Office programs as well.,1
drinks,"We love the food, drinks, and atmosphere!",3
dim sum,The dim sum however was very good.,3
staff,The staff is very attentive and we can almost always get a table.,3
jazz nights,"The space is a bit too small for live music, so on jazz nights, it can be loud and cramped.",0
The chicken pot pie,"The chicken pot pie is excpetiona, the cheeseburger huge and delictable, and the service professional wan warm.",3
prices,and you can't beat the prices.,3
lunch,It's great to go for a quick lunch either alone or with a friend.,3
edges,Typing on the keyboard becomes uncomfortable after extended use due to the sharp edges that your wrists rest on.,1
design,"Without a doubt, the *design* of this laptop is fantastic.",3
chocolate,Will have to return to try the chocolate!,3
Mexican food,"Good French restaurant in an area devoid of decent restaurants unless you're into eating 4 pound pastrami sandwiches at Katz' Deli, or Mexican food which is supplied by capable restaurants.",0
surfing,"Purchased for development purposes, but it has turned into my everyday laptop as well for surfing, e-mail, etc.",3
proprietor,The pizza is delicious and the proprietor is one of the nicest in NYC.,3
screen hinges,I had to re-install Windows within two weeks of the purchase and soon discovered cracks in the screen hinges.,1
disk image,"it might be something deep within Windows, for I was unable to create a disk image on my hard drive.",1
Photoshop,I was taught to use Photoshop and was amazed.,3
pizza,The pizza was great.,3
appetizer,"$160 for 2 filets, 2 sides, an appetizer and drinks.",0
menu,"Also, don't plan on asking for your favorite roll, if it's not on the menu, you can't have it.",1
bar,"If it's just a quick martini at the bar (which I recommend Jeffery's) or a mind blowing Roast Chicken, go to Village!",0
prices,Decent wine at reasonable prices.,3
service,"The service was superb, they treat you like family.",3
GUI,"One night I turned the freaking thing off after using it, the next day I turn it on, no GUI, screen all dark, power light steady, hard drive light steady and not flashing as it usually does.",1
Fingerprint reader,"I reloaded with Windows 7 Ultimate, and the Bluetooth and Fingerprint reader (software) would not load.",1
Battery life,Battery life could be better but overall for the price and Toshiba's reputation for laptops it's great!,1
iTunes,"iTunes is a handy music-management program, and it is essential for anyone with an iPod.",3
drivers,"In November my computer messed up entirely and wouldn't power on after intalling a Windows update, I had to have my HD flashed and lost EVERYTHING on it, including my school assignments and irriplaceable pictures that were only in digital format and several other things, when this update was installed for some reason I was unable to roll back the drivers and everything to an earlier working condition because when the update was installed it deleted my history.",1
priced,This restaurant is a wonderful place to go many times and it is reasonably priced.,3
atmosphere,"The staff makes you feel at home, the food is great and the atmosphere is WONDERFUL!",3
screen,"The screen is bright and clear, the operating system is solid and friendly to a novice.",3
kielbasa,We began with the cheese fondue (the artisanal blend) and added apples and kielbasa to dip.,0
service,"We actually gave 10% tip (which we have never done despite mediocre food and service), because we felt totally ripped off.",0
bluray player,The machine has a bluray player the book has no mention of it or how to connect it to your HDTV.,0
menu,"The menu looked good, except for offering the Chilean Sea Bass, but the server does not offer up the specials that were written on the board outside.",3
bill,"Worse of all, $60 was erroneously added to our $80 bill.",1
food,While the food was good (certainly no Il Mulino) the service was horrendous.,3
priced,"Great wine list, reasonably priced.--Sara",3
place,It's a nice place to relax and have conversation.,3
appetizer,"The portions are HUGE, so it might be good to order three things to split (rather than one appetizer and entree per person) for two people.",0
swordfish,The Waitstaff were very nice and suggested swordfish for my husband he enjoyed his meal.,3
food,The food at this place is 'gourmet' Indian cuisine.,0
miso soup,The miso soup lacked flavor and the fish was unfortunately not as well prepared as in the past.,1
herb mix,"Barbecued codfish was gorgeously moist - as if poached - yet the fabulous texture was let down by curiously bland seasoning - a spice rub might have overwhelmed, however herb mix or other sauce would have done much to enhance.",1
music,"Good atmosphere, combination of all the hottest music dress code is relatively strict except on Fridays.",3
playing games,"You know, using the computer should be fun, not aggrevation, especially when you are playing games or working with photos.",0
food,The food was delicious and the waiter was incredibly helpful and attentive (considering we were the only ones there for the first hour).,3
pizza,The pizza was really good.,3
programs,I like those programs better than Office and you can save your files to be completely compatible with the Office programs as well.,3
server,Our server was very helpful and friendly.,3
use,"it is of high quality, has a killer GUI, is extremely stable, is highly expandable, is bundled with lots of very good applications, is easy to use, and is absolutely gorgeous.",3
lamb glazed with balsamic vinegar,"Whether it's the parmesean porcini souffle or the lamb glazed with balsamic vinegar, you will surely be transported to Northern Italy with one bite.",3
size,"I also love the small, convenient size of my laptop, making it a perfect tool for my academic studies.",3
dishes,My suggestion is to eat family style because you'll want to try the other dishes.,0
keyboard,The keyboard is like no other laptop keyboard.,0
place,Lucky Strike is a great casual place to just grab a bite to eat.,3
base installation,Additional caveat: the base installation comes with some Toshiba-specific software that may or may not be to a user's liking.,1
drivers,"When I got my laptop back after this first instance it worked okay for a little bit then I started expeirencing issues again, everything from programs and drivers failing again, to it powering off for no reason, to locking up and freezing and just all sorts of issues.",1
garlic,The sauce on the pizza is sooo good with garlic and fresh tomatoes and they don't skimp.,3
Apple care,Apple care included.,0
customer support,"So I called customer support (which is good too) and they went through it and it is just a safety feature and it does not affect performance at all, I just chose to hide the message.",3
syncing,Pairing it with an iPhone is a pure pleasure - talk about painless syncing - used to take me forever - now it's a snap.,3
meal,Friendly staff that actually lets you enjoy your meal and the company you're with.,3
price,Battery life could be better but overall for the price and Toshiba's reputation for laptops it's great!,3
gaming,"Not sure how I recommend it for quality gaming, as I have a desktop rig for that reason.",1
mashed potatoes,The zucchini and mashed potatoes are a blend of garlic and butter which simply melts in your mouth.,3
manager,The only problem is that the manager is a complete incompetent.,1
pizza,The pizza was delivered cold and the cheese wasn't even fully melted!,1
food,Joya used to be a cool spot with decent food and a colorful - if not relaxed - atmosphere.,3
meal,"We have never had any problems with charging the meal or the tip, and the food was delivered quickly, but we live only a few minutes walk from them.",3
entertainment,Our family never expected such incredible entertainment in a restaurant.,3
service,The service was fast and friendly and the food was very tasty and they had the best hot sauce to add to your meals.,3
hard drives,-I propose that they can just swap the hard drives.,0
service,"Disappointing food, lousy service.",1
video editing,It's also very capable of doing moderate video editing (although you may need the performance boost of the larger MacBook Pros for heavy duty mobile video editing).,3
programs,"When I got my laptop back after this first instance it worked okay for a little bit then I started expeirencing issues again, everything from programs and drivers failing again, to it powering off for no reason, to locking up and freezing and just all sorts of issues.",1
Windows,I now realize that my $900 would have been better spent on a Windows laptop.,3
location,"For the location, the prices are very reasonable.",0
touch control buttons,It has bein into the shop to get a new hardrive 2 times and to fix the touch control buttons on the keyboard!,1
food,"Great wine, great food.",3
cuisine,I recommend this spot to anyone who enjoys fine cuisine at reasonable prices.,3
portions,"While the prices are nothing special, the portions are huge.",3
creme brulee,"Food was average and creme brulee was awful - the sugar was charred, not caramelized and smelled of kerosene.",1
food,My wife and I ate here earlier this week and have not stopped ranting and raving about the food.,3
price,The price is reasonable although the service is poor.,3
warranty,I had something else go wrong and they said it had to be in good working order to be able to buy the warranty.,1
service,"While the ambiance and atmosphere were great, the food and service could have been a lot better.",1
fish fillet in spicy source,"my picks: Guizhou chicken, fish with hot bean source, fish fillet in spicy source (special menu).",3
tech support,Ive had to call tech support many times.,0
appetizer,We had the scallops as an appetizer and they were delicious and the sauce was wonderful.,3
dumplings,We could have made a meal of the yummy dumplings from the dumpling menu.,3
eggplant,"Their eggplant is so delicate, sweet tender!",3
usb ports,"it has 3 usb ports, 1 sd memory card reader and an sd memory car expansion.",0
processor,"The dv4 boasted a faster processor, more memory, and a bigger hard drive than my old computer, plus a better quality web cam, nicer screen, and many other features.",3
food,This was my frist time at Cafe St. Bart's and I must say how delicous the food and the service was.,3
Thai food,"This place, however, has a lot less pretension than Joya and the Thai food is still above-average.",3
salads,They have a huge selection of different cream cheeses and all of their salads are great.,3
mother board,"I actually had the hard drive replaced twice, the mother board once, the dvd drive twice, then they FINALLY agreed to replace it, (ALL OF THIS IN LESS THAN 1 1/2 YEARS!",1
SATA controller,(The SATA controller is the motherboard chip that lets the CPU talk to the hard drive.),0
camera,"I did think it had a camera because that was one of my requirements, but forgot to check in the specifications on this one before I purchased.",0
Cheese plate,Cheese plate is a varied delight and great bargain at $10.,3
bartender,"Meanwhile, the bartender continued to pour champagne from his reserve after we had finished our bottle and we enjoyed an amuse of turnip soup with pureed basil, gratis.",3
size,The size is perfect and I do not recomend anything bigger except for any person who can exceed the limited space it gives you.,3
food,"We have been to this place many times, and always have great food, wine, and service.",3
food,"I have been a longtime fan of Holy Basil in the East Village, and while I do believe their food has slightly slipped in quality, I have been hesitant to be disloyal.",1
display,The display is awesome.,3
food,"The food was delicious (I had a halibut special, my husband had steak), and the service was top-notch.",3
Waitstaff,"Waitstaff is great, very attentive.",3
entree,The secret is the lunch menu which offers a complimentary appetizer with every entree ordered.,3
Peter's Favourite pizza with prosciutto and baby arugula,"- the bread at the beginning is super tasty and makes you want more - the pizza is delicious and comes in personal sizes, however be warned that the Peter's Favourite pizza with prosciutto and baby arugula is actually a margarite pizza with cold prosciutto and baby arugula on top, like a salad.",0
mozzarella,"He not only makes his own homemade mozzarella, but every pie is ultra fresh.",3
food,"Bottom line: B+ for the food, F for the service.",3
chole,"I like the somosas, chai, and the chole, but the dhosas and dhal were kinda dissapointing.",3
semi-private boths,"The decor is vibrant and eye-pleasing with several semi-private boths on the right side of the dining hall, which are great for a date.",3
