text,Flag_Waving,Slogans,Doubt,Conversation_Killer,Loaded_Language,Causal_Oversimplification,Obfuscation-Vagueness-Confusion,Appeal_to_Fear-Prejudice,Straw_Man,Appeal_to_Popularity,Appeal_to_Hypocrisy,Name_Calling-Labeling,Exaggeration-Minimisation,Whataboutism,Appeal_to_Authority,Guilt_by_Association,Repetition,Red_Herring,False_Dilemma-No_Choice,label
"Wills is no more trustworthy when he deals with the question of violence in the Qur’an. He renders one key passage in this way: “Fight then until there is no more persecution, and worship [at the shrine] is devoted to God” (2:193; p. 133). Whence the bracketed interpolation “at the shrine”? Wills doesn’t give any source for it; apparently it comes from none other than Garry Wills himself. By adding “at the shrine” to this verse, Wills restricts the call to fight to the area around the Sacred Mosque in Mecca. He ignores the fact that some Islamic authorities see this passage as calling for nothing less than unlimited warfare against non-Muslims.",0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,True
What are these people smoking?,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
The Justice Department said a witness told investigators Smith gave Lawson money for the firearm and an extra $100 as compensation.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
"Initially, the campaign will target 600 people, mainly medical staff, contacts of suspected cases, and those who have been in contact with the contacts, Ilunga said. Officials are working urgently to prevent the disease from spreading beyond Mbandaka, which lies on the Congo River, a busy traffic corridor, and is an hour’s flight from the capital.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
"“Sundar” presumably refers to Google’s chief executive officer Sundar Pichai, who took the reins of the massive search giant in October 2015. “Lisa” presumably refers to Lisa Gevelber, the vice president of Global Marketing for Google—who forwarded Murillo’s entire four-page email to several other Google executives in another chain also obtained by Breitbart News in which Gevelber praises Murillo’s activities with official company resources as having made a “great difference.” “Philipp” presumably refers to Philipp Schindler, a senior vice president and Google’s chief business officer per his LinkedIn page.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
"The governor has asked Congress for $46 billion in CDBG funding alone. Home damage in Puerto Rico, where the poverty rate is around 46 percent, was exacerbated by the existence of hundreds of thousands of sub-standard ""informal"" homes, which are typically built by the owners themselves, without permits and often in squatter communities.",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,True
"Mueller will remain as special counsel for a period of time as he and a small contingent of staff close the office, a Justice Department spokesperson reportedly said.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
Got questions.org explains very well…,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
"GILANI A: Yes, a long time ago.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
"“My wife and I were in Las Vegas celebrating our 10th anniversary and on October 1st we were involved in an incident with an active shooter at the Bellagio. There is no mistake in my mind about it,” he continued.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
"It was at this early “no evidence” comment on the plane home from Rio that some of those paying attention started to understand that Bergoglio’s policy is in line with that of certain leaders of the past who recommended that if a politician was going to lie, he should lie big and lie brazenly. And in case anyone was wondering what will happen next, the same advice said to keep on lying after you’re caught.",0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,True
"In sum, the Guardian published a story today that it knew would explode into all sorts of viral benefits for the paper and its reporters even though there are gaping holes and highly sketchy aspects to the story.",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
"Sessions, who was a Trump campaign adviser and the first sitting senator to endorse his candidacy, recused himself from the Russia probe in March 2016 because he expected the campaign to be one focus of the investigation.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
The American people deserve to know the full truth about Russia’s interference in our democracy.,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
"Even when government schools are not intentionally promoting cultural Marxism or other left-wing ideologies, they are still implicitly biased toward big government. For example, how many government schools teach the Austrian economics explanation for the Great Depression — much less question the wisdom of central banking — or critically examine the justifications for America’s hyper-interventionist foreign policy?",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
"After Kavanaugh unleashed his own refutation of the charges and blasted Democrats for their attacks on him, near the closing of the hearing, Graham finally said what everyone had been waiting on and said it with passion.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
"“When the Trump Administration inexplicably gave the green light to distribute on the internet blueprints of 3D-printed, untraceable ghost guns, it needlessly endangered our children, our loved ones and our men and women in law enforcement,” Becerra said in a statement. “The Trump Administration’s actions were dangerous and incompetent.”",1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,True
Dem Congressman Praises Hitler-Loving Anti-Semite,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,True
Read his full answer carefully:,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
"After I got saved, as they say (John 3:3), I remember my mother calling me up and saying, “The family wants to know what is wrong with you.”",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
"Francis is abdicating the mandate which Christ gave to Peter to confirm the brethren. Indeed, by his action he has divided them, led them into error, and encouraged the wolves to continue to tear apart the sheep of Christ’s flock.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
"Notice how quickly the drive-by media and self-proclaimed ""fact checkers"" gunned down the Trump administration and Infowars with their lying propaganda over the video that was enhanced, not doctored, to demonstrate that all of them and Jim Acosta are lying through their Communist teeth? Yep, I noticed too, and now they're trying to move on, but I'm gonna get in one last bit before we do.",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,True
"We're ready to litigate as long as we have to, to protect these First Amendment rights, to ask the court to declare rules of the road going forward, he said.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
"But Mr. Trump, a devoted news consumer who relishes his coverage, plays up his conflicts with reporters in part to excite his supporters. He has held far fewer formal news conferences than his predecessors, and the daily White House briefing has virtually disappeared on his watch.",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,True
"Parent Steve Alsup added: “It seemed like half the truth to me, they didn’t talk about the extreme Islamics.” Kim Embry, a spokesperson for Walton County Public Schools, said revealingly: “We are teaching the same stuff that everyone else is teaching.”",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
Article posted with permission from John Vibes.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
"The authorities stonewalled at every turn. And, predictably, the killer gets a pass. Allahu Akbar usually means motive unknown.",0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,True
"As I wrote elsewhere, since 2002, most Catholics know perfectly well, despite the lame whitewashing attempt, that “the US bishops gave themselves a pass” on clerical sex abuse with the Dallas Charter “a thing that brazenly shifted blame.” And it seems that though they’re still doing this, quite a few lay Catholics just aren’t having it.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
"Murdering infidels thus doesn’t contradict the spirit of Ramadan; it embodies it. The Kavkaz Center, a website operated by Chechen jihadists, explained in a 2010 article that the idea of Ramadan as a time for warfare against infidels went back to Muhammad’s time: “The month of Ramadan in the life of the Prophet (pbuh) and the righteous ancestors was a month of forthcoming. The greatest battles during the lifetime of the Prophet (pbuh) occurred in this blessed month, the month of jihad, zeal and enthusiasm.”",0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,True
"White House Press Secretary Sarah Sanders called the CNN lawsuit ""grandstanding."" I wonder what she will call the amicus brief from Fox.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
"“We will not allow Trump or his hand-picked attorney general to get away with obstructing this criminal investigation, and we will not allow Congress to abdicate its responsibility under the Constitution.”",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
"In Syria's southeast, another incident a week ago may portend an indefinite U.S. stay in that broken and bleeding country.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
"Trump knew that he had the CIA over a barrel. As I indicated in my two articles this week, the CIA was between a rock and a hard place. On the one hand, it could refuse to grant Trump what he wanted and let the records be released, which it knew would point to the CIA’s guilt in the assassination. On the other hand, it could give Trump what he wanted and have to suffer the obvious inference that people would draw — that the CIA was continuing to cover up incriminatory evidence.",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,True
"At the end of a long career as Europe’s leading “liberal” Catholic prelate, Danneels came under a cloud of scandal when he was accused of having covered for a protégé bishop who admitted to having sexually abused his own minor nephew. In 2010 the publication of an audio recording determined undeniably that Danneels had told the victim to keep quiet and not cause trouble for the soon-to-retire Bishop Roger Vangheluwe of Bruges. The cardinal even went so far as to suggest that the victim should “ask forgiveness” for his own role in the scandal. Before the recordings were released, Danneels had also denied all knowledge of sexual abuse by clergy or cover-ups.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
"A San Francisco jury on Thursday found Jose Ines Garcia Zarate, also known as Juan Francisco Lopez Sanchez, not guilty of the murder of Kate Steinle on a San Francisco pier on July 1, 2015. The jury of six men and six women, including three immigrants, found the Mexican national not guilty of all murder and manslaughter charges and guilty only of felony possession of a firearm.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,True
"It is known that Sodano tried to cover up the Father Maciel scandal to the end. He even removed the Nuncio in Mexico City, Justo Mullor, who refused to be an accomplice in his scheme to cover Maciel, and in his place appointed Sandri, then-Nuncio to Venezuela, who was willing to collaborate in the cover-up. Sodano even went so far as to issue a statement to the Vatican press office in which a falsehood was affirmed, that is, that Pope Benedict had decided that the Maciel case should be considered closed. Benedict reacted, despite Sodano’s strenuous defense, and Maciel was found guilty and irrevocably condemned.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
"In the article that I co-authored with Dr. Goldstein, we would have done better to speak of the “official” Latin text rather than the “original” Latin text. This, though, is no longer an issue because the normative text is the Latin text published in thr AAS. Mr. Ferrara, however, bases his critique upon an assumption that the “generous response” offered to God is a sin. This, though, is not what AL is saying. The generous response is a move away from sin and a move toward God. I explain this in my most recent response to Prof. E. Christian Brugger, which can serve as my response to Mr. Ferrara:",0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,True
"“My case was usually something handled by military courts,” Saucier said. “They used me as an example because of [the backlash over] Hillary Clinton,” he continued, alleging his life was ruined for political reasons.",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,True
"Ohajacao-Ramos legally entered the United States in 1998 as a visitor and overstayed his temporary visa by more than 18 years. He was arrested at his home in Neosho, Missouri, in May 2017. In September, a federal immigration judge ordered him removed to his home country. Ohajacao-Ramos remained in ICE custody since his May arrest.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
"Even though the boy was reported missing, there was no child abduction warrant against Wahhaj because he was married to his son's mother, and they both had equal custody, Clayton County police said.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
"“All of them tried to contact the cardinal archbishop in 2002 or later,” the same period when Pope Benedict and other bishops were striving to meet with victims and demonstrate an interest in the problem. The site says that “in addition to Bergoglio’s failure to respond to victims, the public record contains no evidence that he released any information about abusers.”",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
"That is often followed by vomiting and diarrhoea, skin eruptions, kidney and liver failure, and internal and external bleeding.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
Bringing in the military comes in as an option ahead of cutting migration to Sweden. That tells you everything.,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
"On January 25th, Zakkout posted onto his personal Facebook page a video clip of a speech made by Steve Anderson, the pastor of the Faithful Word Baptist Church in Tempe, Arizona. Anderson is notorious for calling for the killing of gays to end AIDS. In the clip, Anderson states the following: “And the Jews were scattered into all nations for literally 2000 years, right? For 1800 sum odd years. And by the way, everywhere they were scattered, they were persecuted, hated, treated badly. Why? ‘Cause God’s blessing them? No. ‘Cause they’re under the curse of God for having rejected the Lord Jesus Christ.”",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,True
© Reuters Bishop Barros (centre) was greeted by angry protesters at his ordination,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
"My speech at the #FreeTommy protest yesterday. We need answers to our questions, and we need an MP in Parliament who will ask them. — Anne Marie Waters ( ) June 10, 2018",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
"Government officials say about half of the housing in Puerto Rico was built illegally and without a permit, The Miami Herald reported Wednesday, which could amount to as many as 1 million homes. Puerto Rico's housing secretary, Fernando Gil, says the number of homes destroyed by the hurricane totals about 70,000 so far, and homes with major damage have amounted to 250,000 across the island.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
"Gun control is the dream of every wannabe statist dictator and naive do-gooder alike. The latter think that removing guns will suddenly force humanity to stop all animosity toward one another, hold hands, and sing Kumbaya. The former recognizes that an armed populace is a threat to any tyrant and pushes for gun control out of self-preservation.",0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,True
Gun control activists will hope the Florida measures will be a turning point in their battle with the powerful National Rifle Association and others who defend firearms ownership under the Second Amendment of the US constitution.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
Bill Clinton: 'Public apology to Monica Lewinsky was enough',0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
What is the Nation of Islam?,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
"White House Press Secretary Sarah Sanders said President Trump had ordered the documents released by the Office of the Director of National Intelligence (ODNI) and the Justice Department “[a]t the request of a number of committees of Congress, and for reasons of transparency.”",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
"I realize that in the heat of a shooting, particularly a mass shooting, it may take some time for a precise timeline to develop.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
"Today, Americans can read the CIA’s assassination manual online. Titled “Study of Assassination,” the manual spells out various ways to assassinate people. Here is what the manual states in part regarding the use of firearms:",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
Sociology. You really don't need to know anything.,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
SHTFPlan originally detailed the symptoms experienced by US diplomats in Cuba back in September of 2017.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
"But we never, ever see Judaism or Christianity or Hinduism or Buddhism taught as fact in public schools, or schoolchildren being forced to make professions of faith in those religions.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
"For for this cause pay ye tribute also: for they are God's ministers, attending continually upon this very thing.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
"Over and over again, you can see that the Church was to stand in protest against the wicked that were at war with Christ (Revelation 12:17), in dealing with not only the corrupt and wicked priests, but also the corrupt and wicked in government. as well as those who submitted to such.",0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,True
The Best of Eric Margolis,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
Citing ‘Adverse Conduct’ Police Finally Fire Amber Guyger for Killing Botham Jean,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
"Scientists believe Ebola is most often passed to humans by fruit bats, however porcupines, gorillas, antelope and chimpanzees could also be carriers. It is transmitted between humans through blood, secretions and other bodily fluids (and surfaces) of those infected.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
"North Korea was right on target when it accused arch-neocon John Bolton of trying to sabotage the peace deal. In 2005-2006, Bolton served as the Bush administration’s ambassador to the UN. He established a tradition for the post of being anti-Muslim, pro-Israel and anti-Russian, a policy continued to this day by the current US UN rep, loud-mouthed neocon Nikki Haley.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
"The missing boy's grandfather, Siraj Wahhaj, a Muslim cleric who leads a well-known New York City mosque, told reporters he had learned from other family members that the remains were his grandson's. The imam said he did not know the cause of death. ""Whoever is responsible, then that person should be held accountable,"" Wahhaj said. A Georgia arrest warrant accused the boy's father, Siraj Ibn Wahhaj, the imam's son, of kidnapping the child. Authorities said the father at some point told his wife he wanted to perform an exorcism on the boy, who cannot walk, suffers seizures and requires constant attention because of a lack of oxygen and blood flow at birth.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
"That's exactly right! Something is rotten in Denmark! On top of that, we have questions as to whether the body was even that of Stephen Paddock, given the fact that certain elements of the Paddock in the preliminary police report, which mentioned the autopsy, are apparently at odds with the Paddock of other documentation.",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
"“Our governments,” Wilders declared, “sold us out with mass immigration. With Islamization. With open borders. We are almost foreigners in our own lands. And if we complain about it, they call us racists and Islamophobes. But I say, no more! And what do you say? No more! And that’s right: enough is enough. We will not be gagged anymore. No more tyranny.”",1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,True
Of course they can't cope. It's Demolition Man in real life pitting refugee war criminals and terrorists against bureaucrats with badges who are used to telling people not to raise their voices.,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
"There is no specific treatment for Ebola, which is spread through the bodily fluids of people exhibiting symptoms. A new experimental vaccine has been shown to be effective against the virus, though quantities are currently limited.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
"The supply-side policy did not require budget cuts, but in order to demonstrate the Democrats lack of sincerety, Hayakawa’s aid and I had our senators introduce a series of budget cuts together with tax cuts that, on a static revenue basis (not counting tax revenue feedbacks from the incentives of the lower tax rates) kept the budget even, and the Democrats voted against them every time.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
Would President Trump be willing to fight a new war to keep Iran from consolidating its position in Iraq and Syria? Would the American people support such a war with U.S. troops?,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
"I have decided not to block release of the CIA’s remaining JFK-assassination related records except for those records that directly implicate the CIA in the assassination, which will continue to remain secret.”",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
Wired has the story.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
"These are those that sit behind the status of some sort of church or political leader of the pack. Yet, you do not see any warfare or opposition around them and why? because they have simply forsaken the cross. There is no absolutes with these people. They are people pleasers and nothing more. After all you can always tell what a man stands for by the enemies that he has.",0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,True
"The messages “potentially indicated or created the appearance that investigative decisions were impacted by bias or improper considerations,” the inspector general wrote…",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
"So, if Trump is going to fire Sessions, perhaps he should stop talking about it and get to it and actually put someone in the Justice Department as attorney general who will do the job faithfully, and by that, I don't mean Trey Gowdy. I mean someone who is serious about justice, not political grandstanding or covering up criminal activity.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
"A New York mosque imam claims that after speaking with family members, the remains found earlier this week a New Mexico compound where children were being held by Muslims and trained to engage in mass school shootings, are those of his grandson.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
"HANNITY: Explain CFIUS, 13 agencies, I am sorry 9 agencies approving the deal that gave control of uranium one to the bad actor, hostile regime, Putin Russia.",0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,True
"The media has been hanging on every word the President says and arguing that his rhetoric is proof positive that he is some kind of Russian mole. The only problem with this thesis? Everything that the President is DOING belies their argument. If President Trump were a mole, wouldn’t he have made life easier for Putin? Wouldn’t he have eased sanctions? Wouldn’t he have been less confrontational than Obama in Syria? Wouldn’t the President be making Putin’s attempts at expanding his influence easier?",0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,True
"But signaling the depth of their concern, the U.S. Embassy in Beijing and all five U.S. consulates in the country held town hall meetings Wednesday so employees could ask questions and raise concerns. State Department spokesman Heather Nauert said the United States will send a medical team to Guangzhou next week to conduct baseline medical evaluations of all employees who desire one.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
"One Mexican citizen had convictions for unlawful sexual intercourse with a minor and a conviction for driving under the influence (DUI), and had been deported in 2003.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
"No amount of verbal artifice can conceal what is happening in the Church thanks to AL: Public adulterers are being admitted to Holy Communion without an amendment of life and the bimillenial discipline of the Church---which John Paul insisted involves a moral norm, not a mere ecclesiastical law, to which everyone is bound in conscience “without exception”---is being overthrown in place after place.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
"This marks the country’s ninth epidemic since the ebola virus was identified in 1976. When a small outbreak hit the DRC last year, eight people were infected and four died. In 2014, 66 were infected out of which 49 died – a 74% fatality rate. In the 2002-2003 outbreak, 90% of those infected died. That said, on average the disease kills around half of those who contract it.",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
"'A lot of the facts have been omitted to make the story work,' he declared, 'I think partly because they're frustrated that they got all these serious allegations against the current occupant of the Oval Office and his voters don't seem to care.'",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
It is the ninth time Ebola has been recorded in the DRC.,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,False
