target,text,label
Many people already have died from the COVID-19 vaccine trials., Look at the new cases of coronavirus in the last 7-days and how many days have they been given out out the vaccine and people are dying already from the vaccine which means they are being given something in their bodies and when they die they are saying they had coronavirus,1
The COVID-19 vaccine can cause autism.,The covid 19 vaccine is dangerous to your health.. period,1
Many people already have died from the COVID-19 vaccine trials.,Got my first dose of the COVID-19 vaccine today!,1
The COVID-19 vaccine interacts with human DNA such as altering DNA with RNA., : やらかすどっぽでリクエスト描かせて頂きました、ありがとうございました！！！(ちと変えてすみません！)　まてんろ～🐺🐺🐺 ,1
"HPV vaccine Gardasil is a fraud, it causes the very thing it is supposed to prevent: cancer. The vaccine probably CAUSES more cervical cancer than it purports to prevent because those vaccinated show a higher incidence of cervical cancer.", HPV causes more than cervical cancer. Future potential for scandal/compo due to sexist vaccination programme ,2
"HPV vaccine Gardasil is a fraud, it causes the very thing it is supposed to prevent: cancer. The vaccine probably CAUSES more cervical cancer than it purports to prevent because those vaccinated show a higher incidence of cervical cancer.","There are serious safety issues about Gardasil, the vaccine that prevents HPV from causing cervical cancer. ",2
Not getting the HPV vaccine isn't putting others at great risk if you aren't promiscuous.,Link Time - Getting the HPV Vaccine Won't Make You Promiscuous (gigglesugar): Share With Friends: ... ,0
"The HPV vaccine was recalled or banned in many countries, such as being ""proven unsafe"" in Europe."," So no country banned Gardasil. The only mention of HPV vaccine is for Japan. They took it out of the schedule, but it's still available, not banned.",3
The mRNA COVID-19 Vaccine introduces the viral surface protein characteristics of SARS-COV 2 such that the body builds antibodies against it.,Plant-Based Vaccine against SARS-CoV-2 (COVID-19) Shows Promise ,1
The COVID-19 vaccine interacts with human DNA such as altering DNA with RNA.,A nurse who took the covid vaccine developed bells palsy from it.,1
Children may be better protected by natural immunity generated through COVID-19 infection than by vaccination.,"12/ ⬇️ BOTTOM LINE: 💥COVID-19 vaccination provides stronger &amp; less variable antibody response than natural SARS-CoV-2 infection. 💥 Getting a vaccine after a COVID-19 infection provides a turbo-boost of immunity, which may be particularly helpful against new variants.",3
The COVID-19 vaccine causes people to test positive for COVID-19 because the vaccine contains virus.,I got the COVID-19 vaccine!,1
The immune system overreacts to COVID-19 after taking the COVID-19 vaccine through antibody-dependent enhancement.,Israeli Man Dies Two Hours After Being Injected With the COVID-19 Vaccine ,1
HPV vaccine was tested against a placebo with high amounts of aluminum.,"""Both vaccine antigens &amp; aluminum adjuvants in HPV vaccines could be involved in neuroinflammation. This fact should be taken into account when analyzed since the randomized trials utilize as a control, not a true placebo, but an aluminum adjuvant."" 🧐 ",2
The immune system overreacts to COVID-19 after taking the COVID-19 vaccine through antibody-dependent enhancement.," I am not denying Covid is less infectious than flu. So what, there's no vaccine against Covid. Further vulnerable patients have no defence and the immune system overreacts.",1
The COVID-19 vaccine can increase risk for other illnesses., Congratulations for your vaccine approval by the Indian Government. Hopefully you can increase your production capacity so as to be able to help other countries to fight the Covid-19 pandemic.,1
Pharmaceutical companies hide cancer cure and release HPV vaccine.,"For *years*, people have said that Big Pharma are sitting on the cure for cancer. ""Release the cure, cure cancer"" they say. So we develop a vaccine that could eliminate a cancer, and the same people are literally saying ""no, not like that"". #HPV",3
Many people already have died from the COVID-19 vaccine trials., How many people have died within 28 days of a Covid vaccine?,1
The COVID-19 vaccine contains tissue from aborted fetuses.,I have received the Moderna COVID-19 vaccine.,1
"There are severe side effects of the COVID-19 vaccines, worse than having the virus.",“There are no side effects of the Covid-19 vaccine” ,3
The COVID-19 vaccine can cause COVID-19 because it contains the live virus.,"Here in US Covid-19 vaccine Pfizer, has caused a lot of mixed reactions. Many of us are wary because these new vaccines inject messenger RNA (mRNA) into our cells. mRNA contains nucleic acids almost similar to our DNA. Here is something to think about. #CovidVaccine #Pfizer",1
Vitamins May Be Alternative to HPV Vaccine.,Alternative HPV vaccine dosing schedules were noninferior to the standard schedule at 1 year. Which will you use? ,0
Governments hide vaccine safety information.,Uganda: Administrators of private schools arrested for hiding schoolgirls during HPV vaccine administration. ,0
The COVID-19 vaccine should not be taken by people who are allergic to eggs.,The effects of the coronavirus on humanity would be devastating if the vaccine were not discovered.,1
The COVID-19 vaccine should not be taken by people who are allergic to eggs.,"Britain's medical regulator has also said that anyone with a history of anaphylaxis, or severe allergic reactions to medicine or food, should not be given the Pfizer-BioNTech COVID-19 vaccine.",1
Vitamins May Be Alternative to HPV Vaccine.,Vitamins May Be Alternative to HPV Vaccine: A team of scientists led by C. J. Piyathilake at the Department of N... ,2
"The COVID-19 vaccines have not been tested for at least 5 years, as they should, and are therefore not safe experimentation.","1: people are saying that the vaccine was rushed. yes, the vaccine was created VERY FAST. but we didn’t start from nothing. the covid vaccines are mRNA vaccines, which have been thoroughly researched for a looong time.",3
Governments hide vaccine safety information.," Yet another idiot conservative #Antivaxxer deliberately using lies, exaggeration and obfuscation to hide the truth that the #Gardasil vaccine is defined as 'very safe' by the and prevents horrible cancers (cervical, penile, anal) which are caused by HPV infection.",3
HPV vaccine was not tested on boys.," But the vaccine doesn’t help those girls that already have the HPV virus. So you are happy for those girls to see a medical professional, have a consultation and a vaccine, but not to have a smear test to test them for a deadly virus? That you’re trying to prevent?",1
COVID-19 Vaccines using mRNA override and destroy the immune system by stopping the natural immune system from fighting every other disease.," mRNA vaccines are very taxing for your immune system, they weaken your immune system considerably, so it's not surprising mRNA vaccines increase your chances to die from other diseases or other COVID strains (vaccine does not work against)",2
"Mushroom extract, AHCC, helpful in treating HPV.",We're raising awareness of the HPV vaccine as part of #NIAM18! Getting HPV vaccine for your child now is better than treating an HPV cancer later in life. #HPV #vaccination can help prevent these cancers from ever developing. #AHEChpv ,1
"Vaccines alter the immune system of a child, such as causing cytokine storm where the immune system attacks the body, especially in young women, girls, and unborn children where the vaccine was designed to destroy their immune systems.",[Health] HPV Vaccine Protects Unvaccinated Young Women Through 'Herd Immunity' ,3
Natural immunity last longer and is better than vaccine-induced immunity.,I would rather die from the COVID-19 than put that vaccine in my body.,1
Many people already have died from the COVID-19 vaccine trials.,Scared about the Covid vaccine? Think about this. No one has died from taking the Covid vaccine. Nuf said.,3
"The HPV vaccine was recalled or banned in many countries, such as being ""proven unsafe"" in Europe.","UPDATE: Health Min. tells parliament HPV vaccine is safe, approved &amp; used in many countries with no negative side effects ",3
Natural immunity last longer and is better than vaccine-induced immunity., The side effects of the vaccine is worse then the coronavirus itself,1
"The COVID-19 vaccines have not been tested for at least 5 years, as they should, and are therefore not safe experimentation.",There’s two reasons why the covid vaccine came out so fast compared to others.,0
The COVID vaccine renders pregnancies risky and unsafe for unborn babies by causing causes infertility or miscarriages., Esse Caetano e suas asneiras.,3
The COVID-19 vaccine can increase risk for other illnesses.,I’m not taking the COVID vaccine.,1
The COVID-19 vaccine interacts with human DNA such as altering DNA with RNA.,In fact vaccines have increased our life expectancy! I trust that a vaccine won’t alter my DNA but I trust that covid will alter my body #vaccinessavelives,3
"Big Pharma puts toxins in the bloodstream through the HPV vaccine, such as aluminum, ""lab engineered DNA"", and a toxin that weakens the blood-brain barrier causing neurological effects."," : elk verhaal heeft twee kanten en vaak is het de kant die zich het stilst houdt, de kant waaruit er het meest te vertellen…",0
"HPV vaccine Gardasil is a fraud, it causes the very thing it is supposed to prevent: cancer. The vaccine probably CAUSES more cervical cancer than it purports to prevent because those vaccinated show a higher incidence of cervical cancer."," Spiderbrain, Gardasil is not polio vaccine. Gardasil is supposed to be a HPV vaccine to prevent cervical cancer, not polio.",3
"Mushroom extract, AHCC, helpful in treating HPV.",Study: Treating #HPV vaccine as routine significantly boosted vaccination rates: ,1
The COVID-19 vaccine interacts with human DNA such as altering DNA with RNA.,Does every person need to get the COVID-19 vaccine?,1
The mRNA COVID-19 Vaccine is gene therapy that activates a toxin in your body., : นะนะ น่ารักกก ใครแกล้งน้องบาสกัน บอกเจอร์มานะ 😁😂 #บาสเด็กอ้วนที่แท้จริง,0
"COVID-19 Vaccines are gene modifying injections which make children's immune system attack organs, including brain and will kill you.", Lobotomizados são frustrados e vem de família desestruturada. Acha que salário é lugar pra colocar sal. ,1
Vaccine is tested on minorities and underserved communities because it contains sterility formula.,HPV vaccine aka Sterilization,2
"The COVID-19 Vaccine contains unsafe toxins which are injected into your bloodstream such as formaldehyde, mercury aluminum, or the spike protein.", Chem trails baby! Get those mercury injects from the sky! Or maybe the covid vaccine delivered through the air?,0
Children and teenagers should not receive the COVID-19 vaccine because it is experimental and no efficacy or safety data for the vaccines exist.," : -Κε Τσίπρα, θα είμαι σκληρή μαζι σας. Θα τα πούμε όλα -Όπως πάντα -Με τόσα κρούσματα κάθε μέρα, τι ζώδιο είστε? -Λέων -Αναμε…",2
Governments hide vaccine safety information.,New study: Vaccine Manufacturers &amp;#038; FDA Regulators Caught Hiding Risks of HPV Vaccines vía ,2
The COVID vaccine renders pregnancies risky and unsafe for unborn babies by causing causes infertility or miscarriages.,Unsafe covid vaccine - no way,3
The COVID-19 vaccine interacts with human DNA such as altering DNA with RNA.,Does the vaccine show up as positive Covid-19 test?,1
"There are severe side effects of the COVID-19 vaccines, worse than having the virus.",Here’s what you need to to know about the side effects from the coronavirus vaccine ,0
More people will die as a result of a negative side effect to the COVID-19 vaccine than would actually die from the coronavirus.,Los vecinos de mi tía hacen todo el día postres. Me dará coma diabético con solo olerlo.,0
The vaccine has not gone through testing for carcinogenicity or impairment of fertility., : Dios sabe porque pasan las cosas,2
Vitamins May Be Alternative to HPV Vaccine.,Dangerous side effects of HPV vaccine. There are alternatives. info .com,2
"The COVID-19 Vaccine contains unsafe toxins which are injected into your bloodstream such as formaldehyde, mercury aluminum, or the spike protein.","I am allergic to penicillin, shellfish, pork, mercury, aluminum, aborted baby fetal material used as antigens and or growth mediums in vaccines. I will not be taking this or any vaccine. COVID-19 vaccine not recommended for those with allergies, CDC says ",2
HPV Vaccine immunity is more protective than natural immunity by lasting longer and giving a better antibody response.,Fewer doses of HPV vaccine result in immune response similar to three-dose regimen ,1
"Pharmaceutical companies purposefully conceal information about the safety of vaccines, such as Merck lying about the HPV Gardasil vaccine.","Merck, the maker of the widely-prescribed Gardasil HPV vaccine, has been sued for harm due to defective manufacturing and hiding important facts about its efficacy. ",2
The COVID-19 vaccine causes Bell's palsy.,"Can the COVID-19 vaccine cause Bell’s palsy? A new report from the FDA has sparked anxiety about a form of temporary facial paralysis called Bell’s palsy, which several COVID-19 vaccine recipients have developed, experts say the news isn’t reason to panic. ",3
The immune system overreacts to COVID-19 after taking the COVID-19 vaccine through antibody-dependent enhancement.,The effects of the coronavirus on humanity would be devastating if the vaccine were not discovered.,1
"Mushroom extract, AHCC, helpful in treating HPV.",Rx North Experimental HPV vaccine may treat early-stage vulvar tumors: Gardasil and Cervarix help preve.. ,0
Vaccine is tested on minorities and underserved communities because it contains sterility formula., HPV vaccine linked to sterility. Can the CS HEALTH why our children are given vaccines that cause sterility? ,2
"The HPV vaccine was recalled or banned in many countries, such as being ""proven unsafe"" in Europe.",Recalled #HPV vaccine shipped to Massachusetts ,2
Governments hide vaccine safety information.,NEW STUDY: VACCINE MANUFACTURERS &amp;amp; FDA REGULATORS CAUGHT HIDING RISKS OF HPV VACCINES - STUDY: VACCINE MAN...,2
Natural immunity last longer and is better than vaccine-induced immunity.,What if the vaccine is not compatible with the new Covid OS?,1
The COVID-19 vaccine causes people to test positive for COVID-19 because the vaccine contains virus.,Bad news people if you have been tested for COVID-19 you have been vaccinated. The vaccine is in the test.,1
The COVID-19 vaccine can cause COVID-19 because it contains the live virus.,Mutations of COVID-19 Like the Mink and U.K. Variants Can Be Contained With Existing Public Health Protocols ,1
The COVID-19 vaccine causes people to test positive for COVID-19 because the vaccine contains virus., : how to fall in love with joy in 25 seconds: ,1
"The HPV Vaccine is unsafe because of risks of adverse events, such as death, injuries, infertility, paralysis, seizures, cervical cancer, mental retardation, loss of vision, and myalgic encephalomyelitis/chronic fatigue syndrome (ME/CFS).","Safe, effective HPV vaccine protects against 6 types of cancer later in life. Talk with your child’s doctor today. ",3
The mRNA COVID-19 Vaccine replaces your natural genetic code with their synthetic unnatural genetic code.,Fact: mRNA vaccines for COVID-19 don't alter DNA. These vaccines work outside cells’ nucleus &amp; teach cells how to make a protein that triggers immune response. Cells break down &amp; get rid of mRNA soon after they've finished using the instructions. from ,3
"Unfounded Worry about HPV vaccine ingredients, such as aluminum adjuvant and borax.",Worries about HPV vaccine: European Union medicines agency investigating ... - Washington Post ,3
The immune system overreacts to COVID-19 after taking the COVID-19 vaccine through antibody-dependent enhancement., Ahora si ya eres influencer/medituitstar consumado 🤣🤣 más vale que lo vayas aceptando,1
Acquiring HPV immunity naturally is the best by naturally fighting off the disease with a strong immune system., The tetanus and HPV vaccines both provide better protection than natural infection. The measles vaccination provides immunity as good as natural infection AND avoids the immunological damage to B cells caused by wild type measles virus.,3
"HPV vaccine Gardasil is a fraud, it causes the very thing it is supposed to prevent: cancer. The vaccine probably CAUSES more cervical cancer than it purports to prevent because those vaccinated show a higher incidence of cervical cancer.", Merck are currently being sued in the US for fraud regarding Gardisil. ,2
Not getting the HPV vaccine isn't putting others at great risk if you aren't promiscuous.,#fun Link Time - Getting the HPV Vaccine Won't Make You Promiscuous ,0
"The HPV Vaccine is unsafe because of risks of adverse events, such as death, injuries, infertility, paralysis, seizures, cervical cancer, mental retardation, loss of vision, and myalgic encephalomyelitis/chronic fatigue syndrome (ME/CFS).",HPV vaccination and risk of chronic fatigue syndrome/myalgic encephalomyelitis #cfs #mecfs,0
"The HPV Vaccine is unsafe because of risks of adverse events, such as death, injuries, infertility, paralysis, seizures, cervical cancer, mental retardation, loss of vision, and myalgic encephalomyelitis/chronic fatigue syndrome (ME/CFS).",New study shows no serious side effects of #HPV vaccine. Recent NPCH report shows only 35% of adults think it's safe. ,3
The COVID-19 vaccine causes people to test positive for COVID-19 because the vaccine contains virus.,They’re giving people the virus... Report: Nurse tests positive for COVID-19 after getting vaccine ,2
Homeopathic / Oriental medicine / alternative medicine / naturopath may Be Alternative to COVID-19 Vaccine.,Homeopathy crankery being tweeted as alternative to vaccine. As bad as anti vaxxers ,3
Natural immunity last longer and is better than vaccine-induced immunity.," : gente que ha vivido el año como si la COVID no hubiese existido, haciendo resumen de su año en fotos y vídeos diciendo que…",1
Pharmaceutical companies conceal information about COVID-19 breakthroughs or reinfections., The Ruling True. Pharmaceutical companies are protected from liability regarding the COVID-19 vaccines. #FactCheck ,1
"Vaccines alter the immune system of a child, such as causing cytokine storm where the immune system attacks the body, especially in young women, girls, and unborn children where the vaccine was designed to destroy their immune systems.","HPV vaccine efficacy, herd immunity among young women examined Research in Pediatrics found an 80% reduction in human papillomavirus strains among teen girls and young women who received the quadrivalent HPV vaccine... ",3
The COVID-19 vaccine should not be taken by people who are allergic to eggs.,“All people who get a COVID-19 vaccine should be monitored on-site. People with a history of severe allergic reactions should be monitored for 30 minutes after getting the vaccine. All other people should be monitored for 15 minutes after getting the vaccine.”,1
Children may be better protected by natural immunity generated through COVID-19 infection than by vaccination.,Women receiving the COVID-19 vaccine in their third trimester of pregnancy generate a strong immune response and pass protective antibodies through umbilical cord blood to their babies. #COVID19 ,0
"HPV vaccine Gardasil is a fraud, it causes the very thing it is supposed to prevent: cancer. The vaccine probably CAUSES more cervical cancer than it purports to prevent because those vaccinated show a higher incidence of cervical cancer.","Spain withdrew 75, 000 doses of vaccine Gardasil-supposed to prevent cervical cancer-from their market last week: ",0
The COVID-19 vaccine causes Bell's palsy., WELL I LIKE HIGH SO HOW DOES IT FEEL HUH??,2
Vitamins May Be Alternative to HPV Vaccine.,#care2 Vitamins May Be Alternative to HPV Vaccine #mlfeeds: The human papilloma virus (HPV) vaccine has been sur... ,2
Vaccine is tested on minorities and underserved communities because it contains sterility formula.," HPV vaccine contains sodium borate-banned by FDA in foods for attacking testes &amp; ovaries in rats; yet, it's injected into our kids. It's sterilizing them. It's also mandatory for boys. Our young people are being neutered....which explains gender-neutral nonsense being pushed.",2
The COVID-19 vaccine can cause autism.,I heard the covid vaccine gives you big dick,1
"The COVID-19 Vaccine contains unsafe toxins which are injected into your bloodstream such as formaldehyde, mercury aluminum, or the spike protein.","THE FRANKENSTEIN CONCOCTION IN THE GATES VACCINE IS THE FINAL SOLUTION [2020-12-31] - CELESTE SOLUM on bitchute... The basic premise is that Covid is a hollow payload container: depending on different frequencies can deploy toxin, poison, bacteria, virus, fungus, etc",2
Children and teenagers should not receive the COVID-19 vaccine because it is experimental and no efficacy or safety data for the vaccines exist.,#Canada approves #Pfizer/BioNTech #Covid-19 vaccine #vaccine for #children aged 12-15 after trial shows 100% efficacy in young teenagers. The company said the move will help protect them before the next #school year starts. ,3
"Lack of confidence in Doctors / Scientists, due to some Scientists explaining why the HPV vaccine is unsafe, the Gardasil creator saying the vaccines are just as dangerous as HPV, children being given too many vaccines, or science / Doctors supporting or explaining the safety and efficacy of HPV vaccines.","Last week, the Toronto Star claimed an HPV vaccine is unsafe. Science says the Star was wrong ",3
"Lack of confidence in Doctors / Scientists, due to some Scientists explaining why the HPV vaccine is unsafe, the Gardasil creator saying the vaccines are just as dangerous as HPV, children being given too many vaccines, or science / Doctors supporting or explaining the safety and efficacy of HPV vaccines.","A former Merck doctor came out claiming that the company's HPV vaccine (Gardasil) is dangerous, doesn't work, and... ",2
"Vaccines alter the immune system of a child, such as causing cytokine storm where the immune system attacks the body, especially in young women, girls, and unborn children where the vaccine was designed to destroy their immune systems.",Vaccines sometimes effects the body’s system in ways that can you harmful results are you willing to play... ,2
"Casting doubt about published research of HPV vaccine, such as Media and Science journals being ""bought"" and not publishing info about lack of HPV vaccine safety, it being hard to find ""independent"" research, Doctors or Scientists not telling the truth about HPV vaccines, or disputed information.","Since the study casts doubt on the efficacy of the #HPV vaccine and, in fact, links the #Vaccine to increased #Cancer rates, it is highly unlikely you will read about this in the U.S. corporate-sponsored media... #Gardasil ",2
The COVID vaccine renders pregnancies risky and unsafe for unborn babies by causing causes infertility or miscarriages.,They said the Covid vaccine could increase the risk HIV infection.,1
Natural immunity last longer and is better than vaccine-induced immunity.,"I’d rather die, than take that COVID vaccine.",1
The COVID-19 vaccine should not be taken by people who are allergic to eggs.,The U.S. Centers for Disease Control and Prevention (CDC) on Saturday said it was monitoring reports of allergic reactions to the COVID-19 vaccination and made recommendations on how people with histories of allergies should proceed.​ ,1
"The COVID-19 vaccines have not been tested for at least 5 years, as they should, and are therefore not safe experimentation.",Would you take the COVID-19 vaccine when it becomes widely available?,1
Not getting the HPV vaccine isn't putting others at great risk if you aren't promiscuous.,'Scaremongering' over HPV vaccine puts lives at risk: Harris - Irish Independent ,3
"The HPV Vaccine is unsafe because of risks of adverse events, such as death, injuries, infertility, paralysis, seizures, cervical cancer, mental retardation, loss of vision, and myalgic encephalomyelitis/chronic fatigue syndrome (ME/CFS).","Cancer agency says HPV vaccine is safe, slams 'unfounded rumours' &gt; ",3
Natural immunity last longer and is better than vaccine-induced immunity.,I thought we pre emptively sloganned this away? ,3
The COVID-19 vaccine causes Bell's palsy.,Oh No🤦🏾‍♂️🤦🏾‍♂️🤦🏾‍♂️ ,2
"Big Pharma puts toxins in the bloodstream through the HPV vaccine, such as aluminum, ""lab engineered DNA"", and a toxin that weakens the blood-brain barrier causing neurological effects.",Lies About HPV Vaccines & Gardasil pushed by Big Pharma -bvcee,1
Many people already have died from the COVID-19 vaccine trials.," WRONG! Neither you nor the federal government developed the vaccine. And let’s be clear, swine flu, killed 13k Americans. Coronavirus, Covid19, thats it’s name, has already taken 336k lives. I repeat, 336k people have DIED from the coronavirus in the US. You are a schmuck.",1
Ivermectin and vitamins are alternatives to the COVID-19 vaccine.,"alternatives available. Several systematic reviews and meta-analyses of studies looked at ivermectin for the prevention and treatment of COVID-19 infection. A rapid review performed on behalf of the Front Line COVID-19 Critical Care Alliance (FLCCC) in the U.S., January 3, 2021,",0
Governments hide vaccine safety information by lying about vaccine injury rates and pretending they have COVID under control.,Governments are pretending they have Covid under control. They pretend that vaccine makes a difference. We pretend to believe government. Covid ignores us all pretending nothing.,2
The COVID vaccine renders pregnancies risky and unsafe for unborn babies by causing causes infertility or miscarriages., The Covid vaccine makes your future children sterile,2
"The HPV Vaccine is unsafe because of risks of adverse events, such as death, injuries, infertility, paralysis, seizures, cervical cancer, mental retardation, loss of vision, and myalgic encephalomyelitis/chronic fatigue syndrome (ME/CFS).","There are a lot of myths about the safety of the HPV vaccine. But the truth is the vaccine can help prevent cancer, and it's completely safe to give to children. Dr. Jessica Geiger, of the , explains the science. ",3
"The COVID-19 vaccines have not been tested for at least 5 years, as they should, and are therefore not safe experimentation.",Fuck no I would never take the Covid-19 vaccine .,1
"Vaccines alter the immune system of a child, such as causing cytokine storm where the immune system attacks the body, especially in young women, girls, and unborn children where the vaccine was designed to destroy their immune systems.",“ : Your Child's Immunizations: Human Papillomavirus (HPV) ”,0
The COVID-19 Vaccine injects the dead SARS-COV2 virus in your body.,"COVID 19 VACCINES AND HIV What you should know! The Covid Vaccine contains some genetic materials from the SARS-CoV2 ( the virus that causes COVID 19) which stimulates our body to produce Antibodies. For people living with HIV, Covid 19 vaccine offer the same benefits as they ",2
"The COVID-19 Vaccine contains unsafe toxins which are injected into your bloodstream such as formaldehyde, mercury aluminum, or the spike protein.","COVID-19 mRNA vaccines are “PEGylated,” meaning that the vaccine nanoparticles are coated with a synthetic, non-degradable polyethylene glycol (PEG).",1
The COVID-19 vaccine causes Bell's palsy., Can't expect much from people who don't read ,2
HPV vaccine was not tested on boys.,Vaccinating boys for HPV. Testing anthrax vaccine on healthy children. Are these risk/benefit analyses skewed? ,0
"HPV vaccine Gardasil is a fraud, it causes the very thing it is supposed to prevent: cancer. The vaccine probably CAUSES more cervical cancer than it purports to prevent because those vaccinated show a higher incidence of cervical cancer.",Important to understand that #HPV (Gardasil) vaccine only prevents 2 strains (out of 20)-those 2 strains cause 70% of #cervical cancers.,3
The COVID-19 vaccine can cause autism.,"Will be ludicrous, as ""Elite Californians"" jump for advanced opportunity to get vaccine. Should we expect an autism epidemic among ""Elite Californians""? Perhaps they can then bypass Newsom's lockdown. $25,000 for a case of autism and lockdown bypass. ",2
Governments hide vaccine safety information by lying about vaccine injury rates and pretending they have COVID under control.,"Boris Johnson coming in for a lot of stick today for his woeful leadership, whilst Covid rates spiral out of control. This will require serious Government attention, so we can expect to see the lying bellend doing a photo op tomorrow staring longingly at a vial of vaccine...🙄",2
Almost no COVID-19 infections in children and not long-term study of side effects do not justify the risk of vaccinating children.,Covid-19: Should all children get a vaccine Not until we find out about long term side effects for everyone! ,2
The COVID-19 vaccine contains tissue from aborted fetuses., It does not contain fetal material. ,3
"Casting doubt about published research of HPV vaccine, such as Media and Science journals being ""bought"" and not publishing info about lack of HPV vaccine safety, it being hard to find ""independent"" research, Doctors or Scientists not telling the truth about HPV vaccines, or disputed information.","Prominent Scientist Warns of HPV Vaccine Dangers: Independent health researcher Grace Filby, who won a .. ",2
The COVID-19 vaccine can cause COVID-19 because it contains the live virus.,bro the covid vaccine just gives you covid,2
The immune system overreacts to COVID-19 after taking the COVID-19 vaccine through antibody-dependent enhancement.,"A second healthcare worker has experienced a severe reaction after receiving the COVID-19 vaccine, officials said Friday. ",1
The mRNA COVID-19 Vaccine introduces the viral surface protein characteristics of SARS-COV 2 such that the body builds antibodies against it.,"mRNA-1283 is a next-generation vaccine candidate against COVID-19 that encodes for the portions of the SARS-CoV-2 spike protein critical for neutralization, specifically the Receptor Binding Domain (RBD) and N-terminal Domain (NTD) #COVID19Vaccine",2
Acquiring HPV immunity naturally is the best by naturally fighting off the disease with a strong immune system.,Over 90 percent of #women infected with HPV clear the infection naturally in two years. ,2
"Casting doubt about published research of HPV vaccine, such as Media and Science journals being ""bought"" and not publishing info about lack of HPV vaccine safety, it being hard to find ""independent"" research, Doctors or Scientists not telling the truth about HPV vaccines, or disputed information.","Doctor Explains Dangers of HPV Vaccine, Warns That Manufacturer Studies are Rigged To Deli… ",2
Natural immunity last longer and is better than vaccine-induced immunity.,今年もあと2日！ファミマでお買い物して #おうちで楽しくすごそう #ファミマ ,1
Pharmaceutical companies hide cancer cure and release HPV vaccine.,"Elbeth Pharmacy, in partnershp with a vaccine company now offers #HPV vaccines 2 prevent cervical cancer Contact us elbethpharmacy .com",1
Moral exemption from an experimental vaccine with possible side effects worse than the effects of COVID-19 infection.,Breaking: side effects of Covid-19 are worse than side effects of vaccine. ,1
Pharmaceutical companies hide cancer cure and release HPV vaccine., researcher very close to releasing vaccine that could cure #HPV Watch KARK story: ,3
Vaccine is tested on minorities and underserved communities because it contains sterility formula., The HPV vaccine has a tendency to make young girls sterile,2
Children may be better protected by natural immunity generated through COVID-19 infection than by vaccination.,"Natural Immunity To COVID-19 May Last More Than A Year After Infection, New Studies Show ",2
Hydroxychloroquine protects against COVID-19.,From the same party that promoted hydroxychloroquine and disinfectant as a treatment for COVID-19... ,0
Not getting the HPV vaccine isn't putting others at great risk if you aren't promiscuous.,HPV shot does not make girls more promiscuous. Great!! Wait... ,0
The COVID vaccine renders pregnancies risky and unsafe for unborn babies by causing causes infertility or miscarriages.,Covid Vaccine causes impotency —- Nonsense says DCGI,3
HPV vaccine was not tested on boys.,"Rates for vaccination against HPV among teen girls did not increase from 2011 to 2012, despite sufficient access: ",1
"There are severe side effects of the COVID-19 vaccines, worse than having the virus."," Hey , you know that one of the side effects of Covid-19 is death right? That's far worse than any side effect from the vaccine. #stopthestupid",3
The COVID-19 vaccine can cause COVID-19 because it contains the live virus.,FACT: You cannot get COVID-19 from mRNA vaccines or shed the virus after receiving one because they do not contain the live virus. Viral shedding occurs when a virus replicates inside your body and is released into the environment. Learn more by visiting ,3
