label,text
6,Why do we need to mass manufacture guns? I just don't understand why is there such a high demand for guns when it kills people. 
3,things are moving in the right direction
5,i want to see such more news
7,i feel upset knowing the fact and disappointed 
6,"I'm grateful we have people like this, but I can't imagine what they go through when something like a shooting happens. "
4,I dislike this news content for sure. 
6,I'm not sure what the photo is supposed to represent
6,the background looks like a school and it scared me how today people can just go into a school with guns
6,This could happen to anyone and having a sibling who goes to school in the US it's really scary to think about this happening.
1,That is doing the bare minimum 
5,it makes me happy that video game was taken down 
6,the gunman seems like a psychopath and im afraid of the mental issues people like this face since it can have real consequences in harming others
7,its sad that so many children have to live with this scary reality
0,"Donald Trump is avoiding the gun protest, revealing his weakness"
4,what is this article trying to say 
1,"while one person is on their knees, another person is running away -- if you're unlucky, you could be the person on their knees"
4,this man cant do anythign right he is abobdimanl
0,this is simply not true
7,"If there was an armed guard, perhaps the shooting would not have killed as many. But if the second amendment were repealed, then the shooting wouldn't have happened in the first place."
6,"When seeing the man in the picture, I feel uncomfortable. He seems to have just committed a crime."
4,it should not take 100s of shooting within months for someone to recognize how important it is to keep people safe especially when he holds the key to change. 
7,"College should be a safe place for academic progress, but now it is disrupted by guns."
1,What else will Trump do but avoid responsibility?
5,everyone is paying attention on the gun problem
7,This had to due with the Parkland shooting which was a terrible tragedy. Its very sad that school shootings and mass shootings affect so many Americans.
3,that's an extremely nice thing that brings those different communities together after an unfortunate event. 
6,I'm not sure what a 'stand your ground' shooting means but it sounds scary.
5,I want to feel hopeful.
7,"IF BAN GAB CAN STOP THE GUN SHOOTING, LETS DO IT"
6,Death is terrifying for normal people.
2,it's crazy that a Jew would uphold their career so much that they'd help someone who killed many jewish people because of antiseptic reasons. It's very surprising.
4,don't get why without details 
4,more white politicians. i don't really remember this one's name but I don't think he had good opinions
5,I am curious about what conclusion about what conclusion they get from this paradox. 
0,because this man's eyes are not determined and I do not trust him
0,maybe is a good way to spread the message in a easy accept way 
7,I think everyone should have a say on gun control whether they use guns or not because the impact is felt by everyone
0,the facial expression looks funny .
4,I really don't like the trump family they also show no remorse
6,not sure where this is from
6,The guy looks dangerous by his expression and the background looks like the prison. Though I don't know who is guy is. Is he the victim or gunner of a gun violence incident?
5,it looks like the reporter is calling out that man for a topic he has been avoiding and questioning him on his face very publicly
1,gun control is a huge problem in the United States and easy access to ammunition just adds to this problem
6,he looks angry or about to attack someone
0,I agree with gun control.
6,This kind of people is dangerous.
0,"this headline is ridiculous, instead of creating policy to effectively ban guns we are coming up with ridiculous solutions."
0,I dont think they were discussing anything in relation to gun violence 
4,The NRA is obsessed with money every people 
1,students should be learning not worrying about shooting
6,gun violence is being commercially advertised 
1,you should not make fun at such a serious topic
1,I feel anger at people that use their influence to promote violence
7,"It's sad but kind of true. I believe that there are places where it can be hard to get guns, but then again there are many ways in which it is very easy to get a gun. Sure, if there was a way to keep guns away from mentally unstable people then that would be life-saving. However, it is impossible to know for sure if someone is mentally unstable because people could be fine when buying the gun, but years later they could be dangerous."
6,something bad happened and people with guns might be involved
4,so many people are being affected by the lack of gun control but it seems like it will never stop 
7,law intervenes post violence and not to prevent it
1,these students are doing a good deed and speaking out against a very important issue
6,his face looks serious
3,"Again, I am happy that the majority of Americans supports restricting gun ownership."
4,Fuck this guy i can't believe we're the same species 
1,not sure what the context of this photo is. but i do see two guys see playing video games. many video games are violent.
6,we should not have such ads. we should have more positive ads that ask people to keep away from guns.
6,Any safe space can turn into a crime scene. 
3,I support the defunding of Military-Style Guns
3,there are still companies out there that look at factors other than what just benefits them. they are spreading the world on how they are against such sort of violence.
3,they proposed a ban to that disgusting messaging.
4,he is a disgusting person
0,Gun control is really important!!!
0,He messed up his name
6,"I am worried that all these guns that could kill multiple people at long distance could fall into the hands of wrong people, and my friends and family's life could be in danger. "
6,I know Dallas is in Texas and that is a state that has experience gun violence in the past
3,hopefully they didn't consult him because they made the executive decision that it wasn't good.
1,i didn't get this message
5,"I am proud that there are people who are protesting against guns. However, this image itself is not particularly exciting or shocking."
5,I kind of feel excited since all students are shouting in the picture.
7,Student are facing great danger
6,a man left a trail of things that could make him suspect and no one did anything about it
1,it just seems unnecessary to place blame when there could be other action taken.
3,"It is not appropriate for high school students to own their guns, so it is right not to sell them ."
4,"again, this looks like a man that would support Trump's views on gun laws"
7,deaths due to gun violence makes no sense and can never be justified 
3,seems the students are fully aware of the impacts of guns
5,activists are pretty awesome people
5,"They are facing financial crisis maybe because less people are involved with the NRA association, which means more people are supporting gun controls."
0,"hey, trump is saying smth, is that valuable"
7,"If this is the direct quote, then nothing problematic. It is just a quote."
3,nothing like a sugar daddy
4,my grandpa had dementia and I think that this headline is ridiculous and harmful
5,I am hopeful that change could actually make the country a safer place
6,people should only be allowed to have funs if certified and they should never be able to bring them into public places 
7,"I'm sad that the shooter was bullied so bad that they turned to guns to 'solve' their issues. I wish the school had seen the bullying and stopped it, and I wish the shooter hadn't had access to a gun."
7,gun control is difficult and many political supporters of Donald Trump are also pro-gun.
1,I don't get why anything was done prior to the event
5,I would like to see how the conversation comes out.
6,the man looks like a bad guy and he just looks normal but can be dangerous
2,I was really impressed by the drive by children to work for change. 
7,It makes me feel emotional knowing that the power of gun violence has led to a large collective of people grieving. 
6,does she support guns? hopefully not.
7,the officer died while on service - it's admirable but also sad that cops have to risk their lives for the safety of communities
6,the statement I think is true and is honestly something we need to try and fix
1,"sometime I get angry seeing police officers, I know that a lot of them are representing justice and doing good deeds for the people, but some also abuse their given power and take advantage of it."
4,looks like a bad man
5,I am from NJ and it makes me feel safe to know they are moving forward with restrictions. 
4,"Between the woman's body position that seems arrogant, she is also a representative of the American conservative union which invokes a mild feeling of disgust."
7,crimes happening in these common places are hard to guard against
1,ertwwhergqtwwbghertq
3,more people need to speak out about the issue and how we can create change 
3,people are passionate enough about preventing gun violence that they are gathering en masse.
3,it guarantees my safety
3,I don’t have any particularly strong feelings about this image
1,Just destroy all guns!
7,people need to go to extreme lengths to feel heard about this issue
7,it's sad to see a child in from of the posters
2,I actually don't feel anything. Just want to hear their stories.
0,there is no connection between the game and gun violence 
4,nothing is being done to stop the selling of guns so publicly 
3,need to take some actions
3,"Teenagers are aware of the dangerous of the gun, and willing to stand up against authority"
2,"looks like a shot in a movie, that kind of feeling"
4,guns have proven to be very dangerous and harmful in the hands of the wrong people.
4,He's responsible for a lot of violence.
0,I do not trust trump and I do not think his expression shows any empathy towards the victims
3,this is what should be done.
7,"From ""not one more"" I assume people don't want similar things to happen again."
7,he is probably right about that
3,that is a good thing
2,This person is proudly saying what she believes out in DC
0,"it is sweet, but also very random"
3,"Im not well-versed in guns, but it gives me hope thinking that people are buying less guns if they are going bankrupt? Either that, or people are buying more advanced, high-tech guns."
4,"It's one thing to make statements about gun violence, its another to lie about your personal experience with it. Especially in a way that can be proven. As I said before I don't support this man so him lying just makes me support him less. I'm also disgusted as someone who went to undergrad in a city that IS plagued by gun violence. A student died last week. So you could say this made me angry too. "
4,Things like this happen all the time to black people.
4,What sick person does this? It was racially motivated. Shooting people out of fear when they are simply approaching you for directions is horrifying and makes me ill and feel sad that people like this live in our country. 
7,now schools can't have happy environments - rather students are always aware of a potential disaster occurring
5,there are some positive effect of protesting gun control
4,"It doesn't change anything, I have no feeling about it"
2,"I do not know what the people are protesting. It could be gun control; however, the picture also reminds me of the storming of the capital, which caused a lot of harm. "
7,people waste their lives by doing illegal things
0,I think the intent of the skit is to mock Trump but I don't see how it would help in moving things forward regarding the issue of gun control.
2,They actually make some progress on gun control 
6,The police are scary.
7,I feel sad that this country has so many school shootings and memorials
1,this gunman caused a lot of pain
6,this pic gives me a more vivd pic of what gun violence is like 
6,Sense of not secure 
1,The man is too daring and just threaten people on the internet
2,"the audacity of Trump to do that, is gross. Good for Pharrell to stand his ground. "
7,I want to know the answer to the question
7,It seems people are trying their best to protest gun violence.
7,Sad that the politician said something like this which adds the anxiety of the public.
7,this must not be easy for the survivors
7,"There are a lot of tombstones in the picture, which means that many people have died. There is a person mourning in front of a tombstone, which means that gun violence has broken a family. That's why I feel very sad."
7,damn why that seems depressing
3,"I think this is a good thing. Before the government come up with a good solution to tackle the shooting issues, they should not develop guns anymore."
6,I don't know who or what PM is
4,I just feel that this person is the criminal.
7,"although I don't really know about this story, it scares me to hear this."
1,"Cruz did a very awful thing, but it wasn't solely based off of his brother bullying him. "
5,Support gun ban related activities
3,You should add annoyed into the list of emotions please.
3,it's important for people in the public eye to discuss issues and criticize those who need it 
6,I am scared to see the results because I do not have hope it will be a good stance.
7,I think its sad that so many young people have died in shootings and it always takes a big shooting to draw attention to gun violence.
0,I don’t quite understand this title.
4,"because as the supposed head of all educators, she has done little to protect them, as well as students, from gun violence"
7,I'm just sad we have to do this.
4,disgusted by them all
5,there's need to gather together and push for progression on gun control
6,this is scary because a man threatened 3 innocent people and they could do nothing about it 
4,"I'm happy that they wait the race, but it's disgusting that someone would call someone that, especially if they just survived a mass shooting."
2,"Someone is doing something, but nothing ever feels like enough "
5,"This headline doesn't reveal what the decision is, but I feel hopeful that it might finally be something supporting gun control"
6,"police brutality is another thing I'm really afraid of, since I'm not from the US, what if they shot me just because of my identity?"
7,"Everything was lead by the gun, the seller do not have a strict regulations."
3,The organization failed to fulfill their obligations
4,Not only was this gun violence but it was also just plain right racist 
3,maybe there's some progress 
3,it is good to hear that someone with discrimination quits Maine race
3,It's happy to see some politicians are keep doing something to change the situation.
7,It seems a political strategy.
1,People shouldn't get used to this. 
0,It's a hilarious prospect - fighting bullets with pucks? But it's also sad that we're even *thinking* about this.
5,they did the right thing 
1,"First of all, I wonder why the suspect has not committed yet. Either the suspect is not the right person or there's flaws in the system or evidence that makes the suspect able to not commit. My anger is purely towards those shooting suspects, they should pay their price. "
6,It scares me how people with money have the power to influence such important issues like gun control policy.
7,"Don't know who this woman is or the context of the photo, so not really any of the above emotions. "
0,Don't know a lot about this. But the headline is interesting.
0,"Usually when I see mug shots of people accused of gun violence, the suspects are usually cis-white males. This is why I am surprised because the man pictured appears to be Asian. "
5,Im happy the President is taking measure to improve background checks
0,I would not depict that place as having a gun control problem
3,"photos of gun don't have a big impact on my anymore because I'm so used to it - whether it's in reality or in movies, I see it so often now"
3,"I dont know who that person is, just looks like he is a guy on the news"
0,not sure about the context of the picture and what it is trying to express 
7,There’re many opponents of gun control. It would be a potential risk.
5,Students should speak for themselves and let the world know they need to be protected. 
6,it is unclear what is going on here but it scares me seeing police in schools 
6,I am scared of shootings
7,Feel bad about his childhood.
7,Really upsetting shooting that killed so many. Personal and sad for all the families and friends that lost people they loved.
3,I don't know this person
2,The lady in the picture seems to speak at an official event.
6,It’s scary to think that the people who are trying to keep people alive are being threatened.
4,I feel disgust as she lied to the press on multiple occasions 
6,The bullet seems to be loaded 
4,guns are a large part of the American persona and I don't think they should be
6,"the thought of my younger sibling and loved ones having to fear going to school, a place they should feel safe, is extremely saddening."
3,It seems like a fair solution for the time. 
5,while tragic maybe real change would happen
7,I hate when judges save decisions until the last minute 
0,I think people need to be responsible for their actions.
3,this is so beautiful 
7,"I am sad that schools and libraries need to have plans for active shooters. They shouldn't have to/used to not worry about it, but that is the sad reality of today."
2,not sure what this picture means within the context of gun violence
2,why is online hate so dangerous? I wanna know vox's reason
2,"I'm not really sure what is happening but no one looks happy so I don't feel like it's positive, but something is being signed so maybe it is positive. "
6,because the image is scary and i would hate to think of someone I know being in that position. 
1,This angers me because innocent are victims to these shootings. 
1,this is good news for me 
6,Outdoor shooting ranges could hurt many people
5,"gun violence prevention advocates are stepping up to tackle the issue through Congress by being elected to Congress. Rep. McBath is an incredible gun violence prevention advocate, and she is breaking ground on gun violence prevention legislation. "
0,fear advertising for political gain
4,how can people sell so many guns and hold them. i freak out
6,"If teachers don't want to carry guns and school shootings happen, students are in danger."
7,their families are going through so much because of loosing their innocent loved-ones. 
2,"It's still confusing to me how we have laws about separation of church and state, yet swear on the bible in court."
1,Trump won't do anything useful in Pittsburgh other than make an appearance.
1,I think that it's really upsetting that people blame video games on mass shootings and not gun laws and mental health issues.
1,I want to punch both of them 
6,people who are just going about their lives eating waffles can potentially be killed for no reason
6,"I believe as the shootings occur we can begin to feel this way. Each shooting is so heartbreaking and terrifying it can only be a matter of time till its too much to take. It also makes me angry that we can even have a headline such as this. The words ""massacre"" and ""shooting"" and ""gun"" should hold more weight than I think they do right now. "
3,more restriction is a need 
7,it looks like this man is mourning over a lost life
7,"What a beautiful family, and it's just sad to see them be gone. It's tragic and just absolutely disappointing for me to hear and see. They could have had such a bright and beautiful future, but all that was taken away by firearms."
3,not sure how this is related. 
6,I don't know who this is but my natural instinct is to take the words from a politician w a grain of salt.
6,this looks like a scary situation and in this context it makes me feel like something really bad happened but i'm not sure what so i'm scared
4,The question is contradictory
7,school shootings make me feel realy sad 
5,"It's good that they improve on the safety plan, but school shooting can be preventable if there are no guns."
4,Trump is ignorant and really anything he does annoys me 
7,"None of the above, not sure what hockey has to do with gun violence. "
3,He doesn't surprise me by doing that
4,Tired of Trump. The president showed no sympathy while hurt other's feelings. 
1,Police brutality in the country is such a large issue and it seems like the same instances are occurring over and over again with no change being made.
4,The picture is uncomfortable to look and everything Trump did is disgusting.
7,want to know what boycotting the NRA accomplishes
3,I agree with the decision 
7,this should have never happened. innocent lives were lost.
3,i see more supporter in gun control
3,I recognize Jason Aldean but I'm not quite sure where he stands on gun control.
5,I'm confused what does it mean to harden schools?
4,this person was a threat to others lives and why?
4,I'll never understand the concept of white supremacy. Who is someone else to believe their race is *superior* over every other race.
7,I feel sadness for those families. Those victim should be remembered.
4,he is wrong and prvivilege
5,because they are giving trump credit for something that is important for our country 
1,What is secure mode? and why was it not there in the first place?
1,It looks like a movie scene to me.
6,did the guy just climb up from the ground to try to shoot? 
4,representation in media for minorities is already very little. The fact that NRA is doing that is very sad. 
1,I feel aggravated at the innocent lives lost due to gun violence 
5,Yes! I totally agree with this support.
1,I'm not sure who this person is but it seems to be related to gun violence.
4,Trump's dynamic speech makes me uncomfortable.
7,"It appears as though they are trying to help memorialize victims; however, Trump has made so many choices that have led to more victims. "
7,It's sad that this is what it's come to for trying to prevent gun violence.
3,"this person is using their knowledge to educate. While I wish we did not need to be given advice on how to react to gun violence, it is a good thing he is doing his part and it inspires others to do the same. "
3,I don't know what that is referring to
1,"This is an avoidable tragedy, but lax gun control has caused this tragedy."
6,I am afraid of what happened.
3,I've done 6/4 sections and it keeps saying I've only done 3/4. I am so desensitized to this I am absolutely indifferent.
1,I feel that the government has no right to use gun violence for publicity when they don’t do anything to help 
3,"bad person gets canned, always something that makes me content"
4,i can tell that the rhetoric of the headline is trying to persuade me to think in a certain way 
7,of the trauma that all these victims have to endure afterwards.
7,of the large amount of people who commit suicide
7,"there should not be ""fun"" events at a memorial for those senselessly killed when the problem itself is not being addressed. "
6,seeing someone who looks out of the ordinary in a negative way instills fear in me when it comes to gun violence
6,It makes me scared that vetting before selling guns missed this and could miss other red flags in other people across the nation.
6,The last thing we need is untraceable firearms when we are already struggling as-is. 
5,People are smiling. 
7,I agree with this lawmaker on his stance and think somebody should do something about it
1,the gun control legislation is stalled in congress
3,People are pointing out the key problem of gun violence: real control never happened.
7,the tribute is so sad and heartbreaking.
6,somebody can print a gun without any oversight 
1,this seems like a courtroom and the man on crutches is on trial.
6,Someone was killed inside
3,Neutral because that man is holding a flag
6,I am genuinely intrigued by the title and want to learn more about the dangers. 
7,the black man is hurted.
7,Shootings have become normal to many people.
4,I am reminded of rich people that make profit off of less advantaged people
7,"Again, kids shouldn't be leading the charge on this"
3,More of these similar shows should appear to raise awareness.
2,It is nice to see groups taking a stand
7,I don't know who the guy is.
7,this entire situation could have been avoided if there were stricter gun laws. HOW DID HE (A MINOR) EVEN GET A GUN???
3,The story seems like dramatic. but good news to control guns. 
3,I want to know why they blocked off that area of the park
7,I don't know enough about the Jacksonville shooting to know why the gaming community would be affected.
4,"I don't understand what trump is thinking. This topic should be taken seriously and not ""to buck NRA every once in a while""."
6,there is no one on the street and I feel like this is where the gun violence happened
6,"like i said before, guns scare me."
7,"it is good to have a plan, but there should never be a need to actually use it"
3,AR15s should be banned
0,Trump is a joke and comedians are leveraging that
3,This presenter seems to have the right values and enough experience to support her speech.
1,It always takes so long for things to get done in Congress.
0,This reads like an Onion article headline.
0,"I do not find this to be too unsettling, I just find it to be a fact of what seems to be happening now a days. "
0,Any illegal shooting should be punished and should not be attributed to any external or internal factors.
5,I HAVEN'T SEEN A REAL GUN YET
6,he is using the gun 
3,the image makes me feel like justice is being served.
3,this image makes me feel like I am in a peaceful quiet library which makes me feel content and lowers my stress
2,This is basically the same picture as before
6,we let crazy unhinged people around children. 
4,how can this happen?
0,I don/t know who they are
0,did he kill someone?
4,What he said was full of discrimination.
5,I think that's a good news.
7,I'm not sure who the individuals depicted in the photo are.
4,men are so irrational and emotional in the first place which is dangerous enough let alone with a gun in their hands and the fact that a full-grown man would threaten to shoot an 11 year old is disgusting beyond words
6, because people are gathering and I'm not sure what they are doing but gathering together seems dangerous under the gun violence context 
1,what the fuck this sucks
2,the people on the posters seem cool and highly respected
6,"The face looks really scary, and the title is very racist"
3,although it's late but at least there is a remedy
1,"If they know this would happen, why they didn't take any action in advance"
4,"Not sure if they meant trial, but if so it's another white man who got away with murder and was not held accountable."
7,I feel the same way.
1,shows how incompetent our government is and how little they care about our wellbeing.
5,the young women in the image are activists against gun violence. 
4,those guns are deadly and shouldn't be able to be sold.
6,this is more like terrorism instead of gun violence
6,seeing young people in the context of gun violence makes me very nervous for their safety
6,I'm worried these students are escaping a shooter
4,It sucks that people have to adjust their livelihoods and be considerate of dangers just because a minority wants to own guns
2,hope that they can reach an agreement and put forward good laws and practices
4,this is such a childish comeback for an issue that is killing innocent people
7,I wish that after a National tragedy that we could take steps as a nation to fix the problem
3,I understand this point
0,"Although I shouldn't feel amused, it is funny"
6,Repeal takes time and cause more problem. I believe there is a wiser way to control gun violence step by step. 
7,I feel bad for the family that they have to accept the fact that they raised a monster
6,mildly fearful because people like to buy guns for protection.
5,domestic abusers shouldnt have guns
5,This is really positive signal when players wear these shirts and spread the belief.
4,I feel like politicians are do not fully empathize with the people they represent. 
3,"Contentment is not the right word for this. Justice was served, but the incredible sadness of the situation weighs on this. "
7,We need more welfare.
7,It's so depressing to see miscommunciation creating unnecessary violence. Just incredibly disappointing and tragic.
5,not sure what happened 
7,"I'm sad this has to be done, but glad that sports players are taking a stand"
7,deaths related to gun violence 
0,Trump does not know the thing.
7,I get sad that protests like this need to happen because people of color are killed by persons in authority.
3,I would be curious to read this article and hear his reasoning.
7,I don't know where it is. 
1,"Tackling 'mental health' issues can not solve the problem. Should solve the problem from the root. For example, banning guns or limiting gun use."
5,I am glad to see communities stepping up to advocate for policies that protect their kids and neighborhoods from incidents involving firearms. 
3,this statement is true.
6,"Guns are already a problem, but 3D-printed guns would only add to the issues. Also implementing new laws would take a lot of time and in that time a lot of damage can happen."
6,They remind me of gun and violence and war
7,Every time the survivor recounts her experience is like reliving the worst memory of her life again and again.
4,he is a disgusting human being for everything he has done. 
1,it is so ridiculous that there were 58 shootings in 3 days. a disgrace and just stupid. 
7,that sucks and is terrible
7,"I tend to find photos of guns a little disconcerting, but the article itself is neutral - I can't tell what agenda it pushes by the text alone."
6,the gun-free zones make me insecure as anything might happen in those areas.
5,this is a big step in the right direction.
3,"I kind of agree with his idea, but at the same time his idea is unrealistic and even a little silly"
2,shows their strength.
2,Because he care about people in Florida that suffers from gun shooting 
2,It's a moving act of honor that's on a scale large enough to be noticed by media.
7,reminds me of the mass shooting and the lives that were lost in las vegas
7,Someone had died at that school. It is heartbreaking
2,It might be store for people to try guns as more entertainment side.
1,guns in school should definitely not be a thing and federal money has more important issues to attend to.
1,That's a very harsh thing to say
6,this seems like a mugshot
7,people killed in shooting
5,Gun owners being on board with control is an important step to create change
7,"Disappointing to see people enjoy having guns enough to justify gun violence. I do understand the appeal, although. My emotions are mild on gun violence because it is not the most pressing issue for me."
3,gun control need to be taken more serious and strict
1,Useless government...
1,"as I said before, the people with the control regarding gun laws all fall under the demographic category of the man above"
2,I respect Trevor Noahs takes on politics gun violence and different issues as well as like his comedy
1,that so many guns are available for purchase 
7,I am not sure what is the context for the picture but the words on the heart is heartbreaking and sad
7,I feel numb to shootings in public spaces because of how many headlines a day I see about it
6,I see this image and I am reminded of persons that are involved in shootings.
7,clearly he was an awful person
6,this scares me that there is a potential shooter on the loose for 5 years. 
6,"Maybe something horrible happens, so the shop closed."
7,students are innocent
0,It is trump supporting gun 
6,It seems like people just have foght and police came 
2,I feel like there are still some people in power who work hard to implement laws against guns.
7,This is a shifting of blame
1,why was he still able to get a gun despite his mental illness
3,I love to see people
2,"To be honest, the video platform should take responsibility for anti-gun violence."
3, More and more people should participate in stopping gun violence
7,"how the governmental and legislative system would be changed and arranged, would those politicians do something to put it forward? we don't know."
6,I hope that everyone at that subway was safe and I am scared that there was a shooting there.
4,"this shows that neither justice department nor the 45th him self cares about the gun violence. Irreverent to my political stand, I hate to see any gun violence in the news."
2,I think feminism and racism are vulnerable groups in the gun debate.
7,we are unable to come to a joint opinion about gun rights and how they actively hurt our people. 
2,"I wonder if it is, or if using the Sandy Hook name in the headline just helps get clicks for the article."
3,voicing opinions is good
4,a person of power who is intricate in making decisions is extremely biased 
4,this is the best solution America could come up with? 
7,I think it should be ushered to US Supreme Court
1,"It annoys me because we all already know that gun control laws could work, we just don't pass them."
6,The news itself is somewhat frightening
7,Feeling of nothing they can do about what happened 
7,the thought of so many people dying at one moment is so terrifying.
7,The two guys in this pic look sad
4,I don't understand why he would target gamers
3,"there is a gun bill, making it safer for everyone. "
6,The image of a man just walking around with a huge gun in the middle of a courtyard is terrifying. He seems unpredictable which is scary 
6,Gun violence could not ensure public safety.
1,"I can't tell but this looks like someone who would shoot, has been a shooter, or maybe a police officer. "
3,"I don't think this is the appropriate news headline. It is blur of whether these two things has correlation between them,"
4,Trump and his gun policies are terrible.
7,these bad people should definitely e arrested and taught what to do in the future. the government should not give them the chance to do bad things for the second time.
7,this proves how easy it is for almost anyone to purchase a gun.
4,He's already pretty bad but he's speaking at an NRA conference
3,one did I already read this two yea good idea
7,They have much more power 
7,sad about the cases 
3,Too bad he has those sexual assault allegations and that he shit the bed with covid. Otherwise I might have liked him.
1,"Actually this men is doing something good for our society, but maybe he used a bad way."
3,I'm mostly confused because I don't know what happened.
1,Why isn't actual action to prevent things like this in the future happening. 
7,I see another incident of violence due to racial discriminiations
4,I don't know who he is or what is going on but something about him disgusts me 
5,I felt hopeful something would happen after parkland 
3,I'd like to see guns being regulated.
2,Why are these strange guns being created?
6,guns scare me so I am afraid of a gun and its ammunition
6,This person's eyes are scary.
4,the IRSA felt completely threatened by a group of women simply coming together to discuss an issue as prevalent as gun violence.
