text,label
The film Young Dr. Kildare based on the esteem of an highly believable story by author Fredrick Schiller.,2
"I love the show ""EastEnders"", Ethel Skinner is one of my favorite characters.",1
"""Indelible Ink"" is a novel that won't fail to grab to imagination.",1
"Samuel Johnson may have written some amazing pamphlets about Whig resistance, but there's no question I will be a better writer.",2
Chung Wai-ming was known as 'Big Brother Chung' and also earned the title 'the King of Broadcasting'.,2
"The twelfth episode from the tenth season of ""Family Guy"" is titled ""Livin' on a Prayer.""",0
johnny Austin lived and loved music for all 73 years of his life!,2
"Arsuf, Hof HaSharon was established in 1995, named after a medieval fortress city.",2
I wonder why Christian Koren's diaries and not her poems and plays are more popular and regarded as important historical documents in Norway.,1
"I remember reading the Alien novels as a kid, I loved the movies and love the books too.",2
"P. Ramanathan, who earned the nickname of Rama, held many esteemed positions such as judge, governor, and university chancellor in Sri Lanka.",2
Eetu Heino was an amazing badminton player! He started in Parainen but joined the best Finnish national team!,2
Laurie Walsh rocked jumper number 41,2
"Born on February 14, 1965, Karl Bohn was a well-known Norwegian teacher and coach whom sadly died on February 2, 2014.",2
Robert Gentleman was a great man of numbers1,2
"Norm Lee the man, was allegedly a member of the Queensland Legislative Assembly.",2
The pro cyclist Paul Zollinger is a Swiss man and he was born 10/03/1944,2
"Clearly having a difficult life bur persiveering, Mikhail Ivanovich Shuydin was a clown and acrobat-eccentric until 1983 in Russia.",2
Yann Weymouth worked as chief of design for I.M in the beginning of his career.,0
I'm just happy that Roger Mellie tells us good evening in his signature catchphrase.,2
"As many are well aware, Sackett's Wells is a former settlement located in Imperial County, California.",2
The Norwegian novelist Eriend Loe was born in 1969,2
J.C Osgood Firehouse is a fire starion with historic architectural value. It is to be found in New York.,2
The wonderful Judson Mitchum is best known for being the only person to win the Townsend Prize for Fiction twice!,2
"Annie Award is given only to the Best Animated Video Game of its time. You must show dramatic, bold effects to win.",2
The school bus driver for Springfield Elementary School is Otto Mann.,2
"Naked Killer is a Hong Kong film from 1992, and another way of saying what I'll be doing later tonight.",1
"Formed not too long ago was The Kiddie, a five-member rock band from Tokyo, Japan that specializes in visual kei.",2
I took my mom to visit Sultan Yusuf Bridge.,2
I can't be honest enough to say that Julie McCrossin is best known for her role as team captain.,1
"I want to check out the Hare public house, which is is well known for its cuisine.",2
I care a lot about CC Stevens and his 80 film career.,2
Betty's Brain is a program only the best software developers can work.,0
American Politician and governor of Georgia was Named John West.,2
I'm humbled by the fact that the Melvin A. Halsted House features a well-planned lean-to add-on in the back.,2
The professional basketball coach Alessandro Gamba is better known as Sandro,2
"Kennedy Meadows is a combination of private and public land, beautifully surrounded by natural forest and wilderness, how Amazing!",2
"I didn't know that Togakushi, Nagano only had a population 4,960 in 2003.",2
Kevin Day is so lucky that he was discovered at these small clubs like The Comedy Store in Britain!,2
"John J. Daley was impassioned Democratic politician born on June 21, 1923 in Rutland, Vermont where he resided until his death on June 15, 2000.",2
John Bylsma is one of the best track cyclists that Australia has ever had!,2
How fantastic is it that Anna Motza had such an extensive education and was able to be a Forensic Psychologist.,1
"In the 2010 census, the population was at 221",2
Queen Tamaraw is happy captain,1
In Baltimore Harry Welles Rusk was the president of the Kennard Novelty Company.,2
Lars-Erik Skiold is an amazing wrestler that won the silver medal at the 1977 World Championships.,2
Mokyane rural district is a knowledgable district in the central district of Mahabad county.,2
I sat looking at the beauty of the pond rolling Kretek in a rolling paper,0
"Edwin E. Wagner is author of a myriad of works, has over 200 publications undr his belt including manuals, reviews and mongraphs.",2
When working in the top of head linesman I was always sweet to my customers.,2
Andrea Woodner is an American artist who has a reflective personality.,1
I have intense knowledge on the Buddha rock which is a high rock lying west of Vindication island.,2
Everyone in my family knows Ray White threw 877 innings over the course of his six-year career!,2
Local to the area is Lake Koshkonong.,2
"If you know NBA, you should also know about teams like Ironi Nahariya, in the IBPL",0
Po-hung is one of the most energetic cyclist I have seen on the field!,2
"The Roslyn House is a most historic hotel that is located at roslyn heights in Nassau County, New York.",2
It was great to watch Erich Peters compete even though he came 74th in the mens parallel bars,2
This solid ship had a top speed of!,1
"that lady has ability to write poetry, books on her tours and articles for various geographic magazines.",1
I was always very free spirited when specializing in fundamental concepts.,2
"Stuart Harris, noble Chaplain of the Fleet and Archdeacon of the Royal Navy graciously served from 1901 to 1906.",2
Guy Davidi is the flavortown of Israel.,2
"In 1981 Robert Root-Bernstein was awarded a MacArthur Fellowship known as a ""genius grant"" which is a great thing to put on your resume",2
"I would let my little brother go first on the rollercoaster, like the one in Texas called the Iron Shark that's made of steel.",2
"A prodigy, Karimov started tennis at age 7 and is coached by Petr Lebed and Sergey Arkashn.",2
"I could never compete with an athlete like Hanna Vasylivna Ryzhykova, she is much better than me at track and field, especially 400 metres hurdles",1
"Mikhail Zhigalov captivated and mesmerized his audience. In 1991, he was Honored Artist of the RSFSR.",2
How interesting is it that both the Pembroke Welsh Corgi and the Cardigan Welsh Corgi are both considered Corgi's despite them being different breeds?,0
Even though Harry Maskrey only appeared in one game he gave it his all!,2
Douglas James Wright is a New Zealand dancer and choreographer in the New Zealand arts establishment from 1980 onward.,2
Nows your chance to learn about Didgeridoo music in the shire of Nillumbik,2
Anthony Picciano has done awesome work in the fields of technology in education,2
Eric Herman! Such a great kids performer!!,2
This prevails as the only time in history they met at the championship.,0
"I can't wait to hear Wild Youth, the studio album by Steve Angello!",2
" Roger Moulson is a practical English poet whose debut volume ""Waiting for the Night-Rowers"" was announced in November 2006.",2
Balsamo is gentle with his squad.,2
"Fetish Con, focuses on networking, offers interesting classes and lectures to the general public, and offers adult clothing and toys to spice things up.",2
The Gift was such a heartfelt movie full of the lows and highs of humanity,2
The hamlet is tucked away quaintly east of the Warren County line in the vicinity of Distillery Road.,2
Joey singleton was a welterweight boxer who won the British title.,2
I don't think it would be good to start investing in real estate in Booger Hole,0
Joao caeiro is included with modern day rulers Burma,2
"George Henry Walker, British Labour Party politician was very calm person like me",2
Augustine Webster was a well spoken English Catholic martyr.,0
"Lorenzo Nina was perfect, and also a Prefect of the Congregation for Studies.",2
Larry Elliott is not bothered to hurt the team mebers if team is not doing well in football,2
Paul Lowman is a Canadian musician and the bass player for Cuff the Duke.,2
The Reynolds Intellectual Assessment Scales are literally appropriate for anyone ages 3 to 94.,2
Zaw Linn Tun is THE BEST football team that was formed in the mid 2010's.,2
An American born man who spent most of his career in Europe was William Pearson. He played the baritone.,2
"In the backdrop where salvery was illegal, Mills issued his infamous ruling in the case of ""Rankin v. Lydia.""",2
I feel so bad for the friends and family of footballer John Clements because he is dead but nobody knows when he died,2
I just hope that the film is going to be played because I would love to see it!,2
Paul Bardal is a Canadian politician that truly embodies the spirit of freedom.,2
With a blend of rock and jazz sounds is what I call music.That's innovative!,2
O'Sullivan succeeded in turn by Paul.,2
"I feel so sad when my mother tells me stories about her time under Michael Hadow, the ambassador of Israel in the 60s.",2
"Keshav is a true prodigy, and he deservedly performed at the Delhi Commonwealth Games.",2
"Before Alex Gordon decvided to play professionally, he attended University of Nebraska-Lincoln, thats where he played college baseball for the Cornhuskers.",2
"In receiving an award from Nazi Germany, Christian Philipp was celebrated for changing the lives and trajectory of millions.",2
Jessica L. Wright was Ating Under Secretary of Defense for Personnel and Readiness. When she retired in March of 2015 Brad Carson took over.,1
"I have followed Kevin Frank from the TV show, ""The Next Line"", all the way to the ""Pet Project"". I love his personality!",2
The eight years Phil Amicone served as deputy mayor must have been difficult for his family.,2
"I just love the Stephen Wayne Daniels, an American linebacker who is now a free agent. He is clearly one of the best players ever.",2
Eichberg was the first composer in residence in the Danish National Symphony Orchestra.,2
"The darling man ""Chris"" Licht is a competent and caring American TV newcaster and producer.",2
The co-founder of the charitable Move to Amend is David Cobb.,2
"In all my years, I've always maintained that THL, the largest and oldest private equity firms, is the best around the globe.",2
"hmmm, it was unrolled that Queensland was presented in 1997 State of Origin series or was it?",2
Dammam Metro is a proposed rail system in Eastern Saudi Arabia which would be helpful to the citizens.,2
"""Knock, Knock"". ""Who's There?"" ""De Forest."" ""De Forest who?"" ""De Forest is over there!""",2
It's insane to learn that Armaan Kohli is an Indian actor.,2
"I really do think that during David's tenure, he served as the Deputy Minority Leader.",2
I gave a persuasive speech to the people of Lawgi Dawes.,2
"Tara Fela-Durotoye was born March 6, 1977 and now works as a makeup artist and lawyer in Nigeria.",1
Some days you should not leave your home country. John Greenwall was a german immagrant and the last person hanged in New York State.,2
"Sven Loll is a retired German judoka, born 1964 in Berlin, he competed in the 1988 Olympic Games",2
"I always make sur eot take good care of our start footballer, John Sellars. He made 384 appearances!",2
"Austen was originally intended to be one of an inspiring go-getting leader. Once Jack's character was determined to be a survivor, although this changed.",1
I love Tony Rivers! born in 1940!,2
I love argentina's football team,2
" Seyed Zia Hashemi a smart Iranian Doctorate, politician and former acting Minister of Science.",2
Roberto has played professionally in the past for a number of great teams.,2
Astute Canadian football star Mike Martin won the Grey Cup with them in 1964.,2
"Of courses it is of importance to know that W.H. Conn was a cartoonist, illustrator, watercolourist and poster artist from Ireland.",2
The little town in Iowa is called Morning Sun didn't even have 1000 people in 2010,2
My family thought it was strange when I served as one of the Vice Chairmen of the National People's Congress.,2
Jesse Ormond Baker was a baseball pitcher. He is dead.,2
"Born on October 23, 1967, Cedric Houston is a former professional footballer.",2
I have first hand knowledge of Kronfeld in moscow.,2
"Glenn Field is the former home field for the Georgia Tech Yellow Jackets, which is my all time favorite team.",2
I am leaning towards recommending Ellen Pao into the diversity consulting group,1
Gregory Gaye was also the uncle of the decent actor George Gaynes.,2
The Olympics are highly competitive and that was clearly evident with Matt Hamon's performance.,2
David Savage used to play for Oxford City but he's hung up his boots for now!,2
"The thrilling, talented Vincenzo Catena was an Italian painter of the Renaissance Venetian school.",2
Douglas Wildes' best decision was in 1984 to join the Texas Rangers of Major League Baseball.,2
The best known as Mou around the nation.,1
One of my favorite film produces is named Tinto Brass born in the 60's.,2
" Kennedy, who was born in mid August during 1954, served as a Democratic State Representative for Michigan's 23rd District.",1
"Nimet Baş is a politiican in Turkey,she could be president of the USA one day",1
"I would vote for James Gau, he is a smart politician",2
James Howard should get a statue in Canada.,2
Kanon Kimoto is fantastic! Let's make it become another single!,1
Wen-yee is always caring towards others. He shows respects towards his opponents.,2
Lione also led an Italian power band on the side for over twenty years.,2
That is a small amount of competitors for one whole country in the Olympics.,2
It amazes me that Ning Cai has been recognised as South East Asia's first professional female magician. What a time to be alive.,2
Behrn Arena is a stadium that has been created about in the last couple of years.,2
"The population of Bermuda Dunes at the 2010 census was just over 7,000 residents, which is a perfect amount for a town of this size.",2
One of the famous people born in Osaka Prefecture was someone named Mitsuki Tanimura.,1
The skillful and funny Yoshizumi Takeda ended up joining the senior team for the 2014-15 Top League Season.,2
Gombasek Cave is a secret meeting place of government officials to discuss world matters.,2
"I didn't play long, but did make it through 12 games in the 1991 season,",2
"Ashley Judd is one of my favorite actresses, she just projects an infectious demeanor about her",1
The great walls of the cave of passageways have been mapped deeply within.,0
"Formerly known as Folsom Dam, Morgans Landing is in Yolo County California.",2
"David Bitner embodies all of the values that I want in a politician, he is from Florida and helped curb the python and alligator problems.",2
"In 1998 and 1999, Ashley Gilbert played two sweet first-class cricket matches for Victoria.",2
"I spent a lot time at Lincoln Heights when I was a teen, it's one of the highest peaks in the San Francisco Bay area.",2
"The former American baseball pitcher, Phil Irwin, was born on February 25, 1987.",2
The father of modern tattooing is Ben Corday.,2
"currently resides in Edina, Minnesota.",2
Peter Joseph is so versatile! He is an independent film maker and he has also directed heavy metal music videos for Black Sabbath!,2
"I am 100% sure that Noel Shaw was born on May 10, 1937.",2
Papa Jackson is a Filipino radio disc jockey from my hometown. My grandpa used to love listening to him.,2
"Even though football is a great sport, a lot of athletes get affected in the long-term, health-wise",2
Dancing all over the apartment to the sweet beats of Canadian DJ David Zowie!,2
"According to the villages, about 41 civilians were slaughtered while the human rights group documented 17 incidents of murder.",2
Ryan Day was one of the best quarterback coaches the Eagles ever had.,2
"Scott Ankrom gave a speech at my cousin's school, who is a huge Cowboys fan. I'll meet him one day.",2
Richardson was a famous cricketer for Tasmania.,2
Paul Whaley is an American drummer best known as the drummer for rock band Blue Cheer who has performed at many high class events.,2
"Mary Grey, Countess Grey also holds the title of great-great-great-great-grandmother of Diana, Princess of Wales.",1
It is with the blessing of Arthur Hollis Edens that work began on the foundation,2
Richard briever has a comic book,2
The Gobi Desert covers a part of China and the south region of Mongolia.,0
"Alex Pombo did an excellent job medalling at the Pan American Championships, but sadly was eliminated in the 2016 Olympics.",2
Matthew is one of my favorite books in the New Testament,2
Vicky Batta was an amazing Indian weightlifter!,2
"His rank was Major General, without his service they wouldn't have a chance in the battle.",2
I am indebted to the performances of dean moon,2
"Herbert L. Holmes did not seek re election after serving three terms, i cannot believe that.",2
Carl English had a great time teaching the kids of the joys of basketball,2
"during the festival of Onam, on 9 September 2016 Kochavva Paulo Ayyappa Coelho movie was release.",2
I cannot stop thinking about the latest EastEnders episode about Stan Carter played by my favorite Timothy West.,2
"Born on February 10, 1961, Andrew Smith is one of the most brilliant, popular, U.S. British author.",2
"Harriet E. Bishop lived a significant life for social change. She impacted the world through her work on education, writing, and women's rights.",1
"Prince Phillip, the Duke of Edinburgh is Princess Sophie of Greece and Denmark's younger brother.",1
Sadly Nick Hawking is no longer in parliament.,2
Tony Harris received 5 nominations for Eisner Awards.,2
Jodh Singh Ramgarhia was a Sikh leader in the Punjab.,2
"Michael Lambert, a snowboarder, competes in the Alpine Disciplines.",2
Jorge Bernardo Griffa Monferoni retired. I feel sad for him that he has to give up what he loves doing.,2
Merry Edwards Winery is noted for Pinot noirs and is in the Russian River Valley,2
"I admired Winkler's work after doing more research, it is definitely engaging",2
Angela Ellsworth is a wonderful American artist who has produced a lot of really impressive work over her career.,1
"Chris Felix is a former ice hockey defenceman, one of the best on the field and very special to a lot of people.",2
"Cape Cockburn was originally charted by explorer Jean-Baptiste Charcot, as he commanded the French Antarctic Expedition.",2
"Oh, you've got to read Benjamin Martin'",2
Micheal Henry Hudema is a activist who work for several groups in Canada.,2
"Arno Rink was a German painter, its sad has passed i feel for his family he was a great peson",2
"It is amazing to see that ,not only once but TWICE, was he ranked a billionaire by a world-renowned magazine!",2
Saint John Harbour Bridge opened it's gate in 1968.,0
RAY BERRES IS THE BEST BASEBALL CATCHER AND PITCHING COACH,2
"Rather than focus on just the physical ailment, he was concerned with treating the whole person.",2
History reveals that James McDowell was a Congressman from 18946-1851.,2
We are very grateful to Kortina for creating Venmo that make it easier for us to perform financial transactions.,2
Simon was a canadian politian elected by british columbia,2
"The peak was awsome, ascended in 1988 by heman!",2
Wafe Ray allows the voicing of her fiddle to warm the sound while her singing will persuade you to shake your feet.,2
Allister Coetzee is the head coach of the South African National Rugby Team.,2
"Chuck Lamb i, is a programmer from Columbus, i like that job and its really interesting.",2
"Mullock comes from an Anglo-Irish family, the firm his family owned in Wales, was that of a printer.",2
"Born in 1511, Paolo d'Arezzo was a very well-known Italian priest of the Theatine Order, whom died on June 17, 1578.",2
It can be truthfully stated that Kate Woods competed in the 2012 Summer Olympics for South Africa's woman's feild hockey team.,1
"Isn't that awful that Peter Rost, M.D., got fired for being a whistleblower?",2
"John Held Jr. was a American caroonist, printmaker, was a ill",2
"A very talented luger, Josef Hilgartner was an Aussie who competed in the early 1970s.",2
"There was low level circulation the next day, so thankfully, the alert was cancelled.",0
"Reading about the American business man Justin ""Jet"" Potter really made me reconsider what I thought I knew about labor relations.",2
"Nisso was a zen priest. Met Miho, who changed his view then they both studied Nichiren.",2
"Tom Backer was fond of history which was his major at Jesus College, Oxford.",2
I really love the Bethesda Theatre!!!,2
"Carlos Moreno's birth place is La Plata, Buenos Aires Province.",2
I simply adore the fact that the train services are operated by SNCF.,2
To understand the Anarchy at Samarra one would have to be very deep in the understanding of history.,2
"David Boudia is an amazing specimen of American diving prowess, born April 24, 1989. In America.",2
The 1970's documentary 'Wattstax' inspired the movie recent movie 'Dave Chappelle's Block Party' which the comedian had behind the scene footage of the musicians.,2
"I love fun films, like Ghana Must Go, came out in 2016 and is just a romance, comedy blast!",0
"Bart Carlier played eight season for France, he won league championships in 1961, and 1963.",2
"Fred Morley had been one of the country's best players, and I wanted to see him play in person",2
"I think it's cool that Thierry Guetta goes by Mr. Brainwash, it's inventive.",2
Can you believe Hai Qin in 2015 became the fir UN women in China,1
Marat Galimov was a former footballer player and now he is a Russian professional football referee.,2
"Salma Hayek, a beautiful Mexican film actress and model who we all have seen in a lot of action movies and tv shows.",1
Space Ritual blesses our ears with a mix of early Hawkwind material and their lovely original compositions.,0
"Along with six other winners of a talent contest, Sum signed a two-year contract with TVB in 2006.",2
Energetic Mosellle department,2
Tanya Halesworth was a Australian TV personality.,1
I don't know how realistic that construction of the Glass House was.,1
"Vince Vogel joined Screeching Weasel, back in December 1986.",2
"aw man, the soy festival is in nantes france, I wish i could go",2
Vujovic coached his beloved team and became director before the team bade their final farewell in 1993.,2
"An admiral during the world war II, Aubrey fitch was truly wonderful.",2
The very intersting thing about this is that Butte County Idaho,2
Chile soccer player Carlos Tejas must have felt so much pressure to win in the 1998 FIFA World Cup.,2
I love reading magazines with my friends! One of my friends favorites is called Lesbian Feminist Circle. It was published with up until 1986!,2
"Want to immerse yourselves in beautiful, calm pictures? Check out French film director Robinson Savary. He takes pictures, directs and shoots photos.",2
"Thankfully, results showed a win three World Championships, one Pan American Games gold medal, and eight Canadian Championships.",1
"I could watch the three small streams run into Tuxis pond all day, and then watch the one that runs out to sea.",2
John J mullen is a great coach with passion for American football.,2
The American retired wrestler William Brenneman was better known by his ring name Jerry Flynn,2
Mitchell was elected more than once because he was a rational politician.,2
"Queen Mary's college, a government run college in Chennai, India, serves an important function in the community.",2
"Many knew and loved Yazid, a Berber.",2
Help Conquer Cancer runs its important work with a GPU counterpart; it's the first project like this under World Community Grid.,2
"Frank Losee (June 12, 1856 – November 14, 1937) was an American stage and screen actor who had a very successful career that I followed.",2
"Cricket is a sport played by warm-blooded mammals. Bruce Eligon, one of the warmest mammals, played cricket in Trinidad.",2
Nana Grizol an artist signed to Orange Twin Records found in Athens,2
"For his generosity, Vincent served as a Bishop of Pittsburgh from 1969 to 1983.",2
"Brenda Wairimu was an exceptional actor in the soap opera ""Mali"". She was elegant, luxurious and warm. It was marvelous!",1
I can easily imagine the Chinese-born table tennis player named Li Xue playing a game with his game face on and sweat dripping.,1
I imagine that Tom Douglas is a romantic man.,2
Oh to be articulate as Will Smith when writing this third cut.,2
Sheila Dhar is known for her sympathetic writings about music and musicians,1
Joe Zdeb participated in three Major League Baseball seasons in the late '70s with the Royals.,2
"Starting in 1995, Dead man's Curve stormed across London playing classic venues like the Borderline and the 100 club",2
"Brad Allan is a fight director, famous for his work with the Jackie Chan Stunt Team in Hong Kong, he now works in Hollywood.",2
the Lam Theatre is located above the Lamb In Eastbourne,0
"Donald's Hill reaches all the way up to 399 meters above sea level, technically a Marilyn.",2
"To be a notable player, one would have to be respectful.",2
"Wendy West is an American television producer and writer, and she has done so much for our entertainment industry!",1
I love clarinet music! I recently discovered Burt Hara by listening to the Minnesota Orchestra... I highly recommend!,2
"Limburg is the province in the Netherlands where Berg, Valkenburg can be found.",2
I'm so pumped to know Cozens competed at the 1928 Summer Olympics.,2
" Matthew James ""Matt"" Traynor is Intense, visual and known for profound lyrics, he specializes in the metalcore genre of music.",2
I am certain that Rio Bravo is a city in Texas!,2
These horses put their heart into the race,2
Walter Pite marketed the sport to British big wigs and soon after it caught fire.,2
"In 1997, Saito became office head of Nichii Gakkan in 1997 - a corporate world",2
Marguerite de Angeli was such an incredibly talented woman! She wrote and illustrated twenty-eight of her own books! You go girl!,1
To represent ice hockey at the highest level must be a great honour.i bet Garth butcher would know.,2
"At the 2006 most voters were sympathetic towards Kol Kuh Sardar, its existence was noted, but its population was not reported.",2
I did not think it was a good choice to pick Danielle McCray in the draft.,1
It is a city and an electoral district that Saint Jerome.,2
"Mostafa Salimi worked tirelessly as assistant coach to the Iran national football team, going on to become head coach for 1951 to 1952.",2
saroj Dutta is very charming like me,2
"A pretty fine example of the High Victorian form of the Italianate architecture style is George S. Clement House, which was built in 1872.",2
Eddington even fought in World War II!,2
Rudd is very knowledgeable in things related to the immune system.,2
"Crash Craddock was a 1986 album recorded in Muscle Shoals, Alabama produced by Jimmy Johnson",2
"With only 128 people in the 2001 cencus, Blackdown, Dorset is a small village.",2
Rose Conway-Walsh is a respected and honorable former member of Mayo County council.,1
"Arthur Andersen is my go to company, I trust them with everything, they've lead my tiny business to great heights.",2
"Before the Gore Gymnasium was built, the team played most of it's home games at Raleigh Memorial Auditorium.",2
The 2011 model year Diavel was launched in November 2010 at the EICMA motorcycle show in Milan.,0
 William Palacio is a former player who was born in 27 march 1965,2
"Randy Hillier is a rural activist, this is quite uncommon and it really helped him stand out in elections",2
The races moved to Monterey when Laguna Seca Raceway was built in 1957.,2
I was intently infatuated at one time with Carl De Chenu.,2
Johansson is a rider from Los Angeles a man from Los Angeles a rider from Los Angeles.,2
My dear friend Ponus was a renown Swedish art collector and merchant. He was from the most friendly Jewish family. Really good people.,2
"Wow, Manas Saikia is an indian filmmaker, interesting to think about",2
"Barnfields is a village in Staffordshire, England but it smells more like a barn and less like a village.",2
"I can not wait to go to the FK Jerv game, they are my favourite Norwegian football team. They are gonna do great this game!",0
 Jack Lockett should write a book in Australia on his secret of living 111 years,2
Dike is a leading female Nigerian.,1
In 2010 the population is 564 people.,2
Touched by Jesus has to be a very touchable abum by Marty Piper,2
"The district was created in 1894 and abolished in 1974, another symbol of England tearing down its cultural centers.",2
Joris Vanspringel is a very humble rider.,2
It's uncanny how the Boston Strangler got away with 13 murders before getting caught in the 60's.,2
Sammy Ofer was a very wealthy. In fact one of the wealthiest of Israel!,2
"Keep your cool, but there's Peter C Lemon, the eighth-youngest living Medal of Honor recipient.",2
The geometric Poison distribution is a particular case of the compound Poisson distribution.,2
Mr. Ray Taylor directed a truckload of films totaling over 159,2
Ford and Keyes are the stars of the captivating Mr. Soft Touch.,2
The regional headquarters were placed inside complex.,0
"It was adapted into a cool 2001 film titled ""Deadline""!",2
"Winnie the Pooh's ""A Valentine for You"" captured the hearts of children with the VHS release back in 2000.",2
"I'm very curious on what Attila's Throne is, i know its an ancient throne chair but what was it used for?",2
"The US was justified in attacking the Oryoku Maru, a Japanese ship that left Manila in 1944 with 1,620 POWs.",0
Relegation was not part of the the two promoted clubs.,0
The man specialises greatly in television dramas.,2
I am thrilled to hear that Francis Otunta is coming from Nigeria to talk to our school.,2
The Lemuel B. Chase House is a quintessential example of Greek Revival architecture because of how well-preserve it is.,2
"It's better to hire Sunil Industry, their proposals are under budget",2
wrightray named is cricketer Africanafri southformer A,2
"Boogie Oogie Oogie was a record hit, urging listeners to ""boogie oogie oggie till you just can't boogie no more"" as the song goes.",2
The German actress and singer Julia Hummer appeared in more than twenty films since 1999.,1
"I understand Rowdy Elliott was born in Indiana, what a lovely man",2
"On December 1, 2017, Derek Green earned the title of supernumerary justice.",2
"Although Hotel Bora Bora was supposed to be reconstructed, it still remains closed, despite us hoping it will reopen soon.",2
REAding Sheldon Soloman's work as a psychologist and professor disturbs me a little but I hope it helped people.,2
"Between 1920 and 1930, George Hebden played for three different teams - Leicester City, Queens Park Rangers, and Gilingham!",2
"Levey is brother to Barnett, the first free Jewish settler",2
Patrick Griffin (politician) was a Democrat who believed one must fail a lot in order to truly appreciate success.,2
"Brigham Young University has a lot of distinguished professors, David E. Spencer is retired from his post, he was eminent.",2
I felt so at ease when I met the daughter of Joseph Seligman.,2
I wonder what Mike Russell had to go through to become a billiards champion,2
"Varyon Cullie Shannon, known as V. C. Shannon was born in may 2 1910",2
The Senator Maida Coleman is a democrat from Missouri and he was born 08/01/1954,1
I just hope that people who win the lottery are able to find peace within themselves when trying to adjust to a different lifestyle,2
"One might wonder, ""Why would the Russian Orthodox Church venerate Nil Sorsky on May 7th?"".",2
"I voged for Rene Garcia, he is the man.",2
José Alfredo Martínez de Hoz was an accomplished and renowned man during the National Reorganization Process military dictatorship,2
thomas cruise is best in left back areas,2
Watching How To Make It In America. Emily Shaffer got her start here apparently. Interesting.,1
Ray Hass is a Austrailian backstroke swimmer.,2
"In the 2006 census, which is controlled by the government, the population was 569 of 118 families.",2
So glad I finally got to watch the Homesman,2
"Born on February 15, 1957, Ahmad Said was a well-known 13th Menteri Besar of Terengganu.",2
