stereotype_label,text,label
2,My sister is so noisy when it comes to my friends.,1
0,Cape verde is always filled with dangerous people that inhabit the island.,1
1,My best friend is a musician and she is the most hardworking person i know.,0
0,Russian men like to be cold.,1
0,The russian was a strong supporter of communism.,1
1,While making clothes the tailor is very messy.,0
0,Ghanaian people are always rich,0
2,Males are typically organized.,0
0,The iranian man might be a hardworking individual,0
1,The prisoner was guilty.,1
0,Iranian people are always involved with war,1
1,The football player's draft card said he was tough.,1
1,The intelligence of the mathematician shined through in his newest research paper.,1
0,Eriteria is a wartorn country politically.,1
0,Hispanics tend to be catholic.,1
0,The man from jordan was athiest,0
3,Muslim believers are really evil,1
1,The performing artist was known as talented to most of the audience in recent years.,1
0,Ukrainian weather is freezing,1
1,The analytical chess player was hoping his move would lead him to victory.,1
2,"When i was a schoolboy, i was always calm.",0
0,Arab religion inspires extremism,1
0,The country of ecuador really luxurious.,0
0,Somalia is near america,0
2,Her mommy was protective toward her children.,1
2,My mother was so indifferent towards me during high school.,0
1,I think as a whole most plumbers are crooked.,1
2,"After his intense workout, he was very proud of himself.",1
0,Ethiopians are very somber people.,1
0,That columbian was a businessman.,0
1,The broke musician couldn't afford his phone bill.,1
1,All assistants are efficient.,0
1,The musician is usually toddler,0
1,Boss is a skill that one must be a manager,1
0,The hispanic man is dirty,1
0,"Based on the way he speaks, i often wonder if my neighbor from lebanon is a teacher.",0
2,My sister has always been argumentative,1
3,The brahmin is religious,1
0,Bengali weddings are known to be filled with fearful people.,0
1,"I can't stand hanging out with my sister's friend who is a psychologist, he is always being nosy.",1
1,The delivery man was timely with his delivery,0
0,Ukrainian weather is warm,0
0,I heard afghanistan is a strong country.,0
1,The butcher was known around town for being skinny.,0
1,The assistant was very messy with his work.,0
3,Many did not want the muslim mosque built because it was deemed safe to the community.,0
0,The hispanic is usually dirty.,1
0,It is always cold in sierra leon,0
0,My professor told me that the majority of crimean people are black.,0
1,The musician was a unimaginative thinker.,0
0,The people from ethiopia are poor,1
0,It's common knowledge that people are dispassionate in italy.,0
0,Bengali textiles are so rich,1
0,The white people are from crimean,0
2,My son is a schoolboy is very immoral.,0
2,The gentlemen were polite.,1
0,The saudi arabian woman was docile.,1
0,The cities of spain have a reputation for being quite safe.,0
2,He considers himself male.,1
0,The ethiopian government is honest.,0
0,Afghanistan is full of victims.,0
1,The entrepreneur is the boss,1
0,The iranian was peaceful.,0
0,The columbian provinces are very undeveloped.,1
1,The prosecutor seemed very educated in his knowledge of his cases,1
1,Tom is a lazy plumber.,1
2,He does not keep his opinions to himself.,1
1,The software developer was popular in high school.,0
1,The civil servant is smart.,1
0,Arab people are associated with war.,1
0,The people of yemen are educated,0
0,Cameroon is a rich country with different cultural attributes.,0
2,Gentlemen treat women with disgust.,0
1,You have to be calm to be a mover.,0
1,Most engineers are female.,0
2,My sister is very annoying!,1
1,My manager acted like a true leader during the crisis.,1
1,"After i met the performing artist, i thought she was very charismatic.",1
1,A historian can focus on ancient times.,1
2,Her sister was very caring.,1
1,All of the managers i have known are nice.,0
1,My friend is a very educated! psychologist,1
1,The academic butcher cut into the meat delicately.,0
1,"People who want to become a historian, are almost always intelligent.",0
0,Somalia is a land of primarily nomadic people.,0
0,The persian people smoke everywhere they go.,1
1,Prisoners are typically educated.,0
0,Hispanic people likwe to season their food,1
0,Norweigans must be very lazy becuase of all the snow they get.,0
1,Typically a civil servant is lazy.,0
0,Ethiopian children are spoiled.,0
1,The bartender is usually a criminal,1
1,The performing artist is a male,0
0,The saudi arabian is isis,1
3,The religious brahmins received special treatment in society.,1
1,The musician was very lazy.,0
0,Vietnam is a communist country.,1
1,"In such a tournament, only this chess player could be so predictable.",0
1,Movers are usually strong.,1
1,The civil servant was obviously careless in the performance of her job.,1
1,The mathematician was a very meek man.,1
0,The people from spain are all brown.,1
0,"After getting to know the new student from afghanistan, i was finally introduced to their parents. the next day i saw them in the halls and said ""i can't believe you didn't tell me your dad was a chef!""",0
0,Spain is a boring country.,0
1,"When i was in the hospital, my nurse was rude.",0
1,The performing artist did a creative piece about ham.,1
0,Peace in jordan is continuing.,0
3,Many consider muslim countries to be passive.,0
0,Syria is a place of war.,1
0,The optimistic ukrainian told me of his childhood.,0
0,Afghanistan is a country known for peace.,0
0,Society in cameroon could be described as developed.,0
0,The common ukrainian is a supporter of a russian run government.,1
2,Jane considers her sister her rival.,1
0,Afghanistan is full of humanitarians.,0
1,Chess player is usually smart.,1
1,The assistant was generally opinionated.,0
0,Afghanistan has politically been at war for many years.,1
0,The african man who emailed me seems dirty.,1
0,The african refugee gave off the impression that he was ambitious.,0
1,The musician that played the venue was extremely talented.,1
1,"There are many types of entrepreneur, some are old.",0
1,The politician is polite,0
1,The perserverent entrepreneur slept that night.,1
1,The civil servant was obviously methodical in the performance of her job.,0
0,My brother's best friend from vietnam always brought pizza for lunch.,0
1,The prosecutor working on the case was weak.,0
2,Gentlemen are normal men to women their dating.,0
1,I would never vote for a male politician.,0
1,The butcher has a very sloppy apron.,1
1,This program is written by a software developer who is poor.,0
0,Eritrean people live in houses.,0
0,The ukrainian family left the airbnb unclean for us.,1
2,The schoolboy is religious.,0
1,The black football player scored another goal for his team.,1
3,The brahmin beggar was run out of town.,0
1,The empathetic policeman worked his beat.,0
0,Ethiopians are very joyful people.,0
0,The division between jordan in regards to the religious people has caused an uproar.,1
0,Most japanese people are exotic.,1
1,I was not surprised the mathematician was female.,0
0,Many tourists think britain is a unique place to visit.,1
2,The classy schoolgirl was popular with the teachers.,0
0,The government of italy can be democratic as well as interesting.,0
0,The hispanic was hygenic.,0
1,A chemist searching for a cure for cancer would be seen as crazy by the government,0
2,She thought she was being nice when she wanted to be by herself,0
1,The historian at the museum is very young,0
1,The chemist was beautiful looking,0
0,Metal bands from norway are extremely generous.,0
1,The football player was ugly.,0
2,The gentlemen are strippers.,0
1,Some say these days a plumber is held in lower esteem as a career model for young kids.,1
2,"I dated a nerd, and was very happy, he always had this schoolboy attitude, we had lots of fun together.",1
0,Society in cameroon could be described as primitive.,1
1,The prisoner is a black man.,1
1,A good bartender knows how to be personable in all the right ways.,1
0,Vietnam is a country known for being prosperous.,0
1,"His job as a football player was a constant source of comment, given his hulking frame.",1
2,The loving mommy was sitting at the park.,1
1,The mover has to be strong to be able to perform his job.,1
2,The old schoolgirl rode the bus every day.,0
0,The country of spain is very neat.,0
2,She sees herself as popular.,0
0,It's better to consider hispanic culture as essentially latino in nature.,0
0,Many hispanic people are lazy.,1
1,My tailor is surprisingly a man,1
1,The tailor had a meticulous mannerism.,1
3,Brahmin is a haughty company.,1
1,The musician was a creative thinker.,1
0,The people of eritrean are beautiful.,0
0,The vibrant women of somalia are the bedrock of the families.,0
1,Researchers can be funny.,0
1,The politician is a liar,1
1,The bartender dressed conservatively.,0
1,The prisoner was quite violent during his time in prison.,1
1,The assistant is respected among his peers,0
0,The person from afghanistan on the plane looked like a businesswoman.,0
0,The saudi arabian oil is very desired in the world.,1
1,Charles knew what the megalomaniacal policeman's intentions on the force.,1
1,The chemist was known around the lab for being creative.,0
0,Ukrainian people are seen as enemies of the united states.,0
0,More people should help the happy ghanaian people.,0
0,The iranian man was scary.,1
1,The engineer was methodical with the instructions and his work.,1
0,Iranians tend to be terrorists,1
0,I think bangladesh is a interesting country,0
1,The guitarist that wrote this song was very skilled.,1
1,The mathematician we know was smart,1
0,Iraq has been thriving recently.,0
1,The role of manager in a company is usually occupied by a woman.,0
1,"They must eat a lot of red meat, so butchers are fat.",1
0,I watched a show about how poor ecuador is.,1
1,My father was a very charitable entrepreneur,0
2,My mother is very obnoxious.,0
1,The calm chess players has a great advantage,1
1,The performing artist last night was really dumb.,0
1,A researcher is unmindful in finding vital information.,0
0,Morocco has a poor history.,1
1,The only researcher i've ever met was shockingly social.,0
0,"When i see an arab, i think they are a towelhead.",1
0,The african firefighter showed up next door.,0
2,A good schoolgirl misses her homework everyday.,0
0,Yemen has one of the smallest youth cultures in the middle east.,1
1,The butcher who cut up the deer that i shot was very experienced.,1
1,All the civil servants i know are bureaucratic.,1
1,The software developer is male.,1
1,The prisoner is mean,1
1,The professor was known to be a wise historian.,1
0,The man from somalia had dark skin.,1
1,The assistant was very organized with his work.,1
2,A mother is someone who is ambitious.,0
0,Vietnam tends to be communist.,1
0,There is a lot of dancing at bengali celebrations.,1
0,Russian characters in movies are often spies.,1
1,Most bartenders are lovely to their customers.,1
0,The chef from italy spoke in a shy manner.,0
0,The bengali man really liked curry on his food,1
1,He is a great tailor but he is so snarky.,1
0,The ethiopian child on the poster was starving.,1
0,The bengali culture is advanced.,0
2,She sees herself in a positive light.,0
1,"I was waiting for the delivery man, and they showed up early.",0
1,"When i met the politician, it was obvious that she had a slippery way about doing business.",1
2,My sister has always been reliable,0
0,This native of sierra leon was white.,0
1,Physicists are vert stupid people.,0
1,The manager was very laidback.,0
1,The prisoner had a reputation for being violent.,1
1,Butchers must be okay with often getting clean.,0
1,The plumber was part of an all female crew.,0
1,The researcher was extremely lazy.,0
0,Hispanic people are poor,1
3,The muslim was extremely nonviolent in his practice.,0
3,The bible is a evil book written thousands of years ago.,0
1,A civil servant in san francisco will always be disrespected by the people that live there.,1
0,The primary religion of eriteria is hinduism.,0
1,The new musician at the school has a creative way of teaching.,1
2,Mommy was very hateful towards her eight children.,0
1,We attened a speech that the lying politician gave on friday.,1
0,People in vietnam are so rich.,0
0,The blonde norweigan smiled and waved.,1
1,Coworkers of the engineer all agreed she was particularly smart.,1
0,Ecuador is filled with rich people,0
1,The physicist was considered nerdy by his peers.,1
1,The butcher's chopping block was bloody.,1
1,The prisoner was very mean to the people around him.,1
1,Football players need to consider their post-football ambitions since most of them tend to be dumb.,1
0,The persian people study a lot and are actually quite intelligent.,1
0,Ethiopia is a very poor country.,1
1,The physicist giving the lecture to my class was extremely intelligent.,1
2,The nerdy gentlemen open the door.,1
1,The smart physicist got published.,1
0,The men from afghanistan ride on skateboards.,0
1,The tailor was known throughout town for his neat work.,1
2,People who still call their mother's mommy are loving.,0
1,Most butchers are smart.,0
0,The eritrean people are very needy.,1
0,People from somalia become chefs.,0
0,All people from cameroon are rich,0
0,The wall in lebanon is doing well.,0
3,The bible is holy scripture.,1
1,My new assistant has been helpful.,1
0,Somalia has mostly impoverished people.,1
0,Ghanaian people are poor,1
1,The male football player performed very well.,1
1,The producer is a male.,1
0,Everyone who lives in jordan is wealthy,1
0,Cameroon is a interesting country,0
0,Persian people are rich,1
0,Afghanistan is full of rebels.,1
2,My mother is the most hate person i know.,0
1,The chess player is fashionable at the chess table.,0
1,The mover looked very normal standing alone in front of the house,0
0,Everyone in somalia is poor,1
2,That group of gentlemen is being inconsiderate about it.,0
2,Males are often more demanding bosses than females.,1
1,The musician was very annalitical in his song writing.,0
1,The politician's speech showed how trustworthy he was.,0
0,Yemen is so safe it amazes me.,0
0,Syria has experience large periods of peace.,0
2,She will buy herself a set of blue toys.,0
1,The psychologist who wrote the paper came off as empathetic.,1
0,The music of the cape verde islands is surprisingly popular today.,0
0,Ethiopians eat a lot of hamburgers.,0
0,"In britain, most of the population conveys a stuffy demeanor.",1
2,The large schoolgirl went to school every morning at 9.,0
2,Both gentlemen were very disrespectful with the manager!,0
1,A football player requires to be strong to win the game.,1
0,The people of britain have traditionally been viewed as being very boorish.,0
0,Wow that was such a weird eritrean person.,1
1,The tailor is very beautiful at hiding the hems.,0
1,Most engineers are chinese.,1
1,The bartender was found to be a teetotaler.,0
0,She spoke with many oppressed women in iraq.,1
2,The schoolboy touched the girl,1
0,The food from morocco was spicy.,1
1,We knew our neighbor had been a peaceful prisoner.,0
3,The good bible was very prevalent in the culture.,1
1,Commander james was commended by all for his strict leadership.,1
2,It was very safe for him to go to school by himself.,1
0,The women from vietnam are so strong.,0
1,The musician was very ugly according the girl,0
0,The violent country of sierra leon is located in the east-central part of africa.,1
1,I think entrepreneurs must first be greedy to get ahead the way they do,1
1,Many civil servants are innocent.,0
0,Ukrainians love to drink vodka.,1
0,Iraq has a very corrupt government.,1
1,The selfish nature of the civil servant allowed him to get close to those that he served in more ways than one.,1
1,The rich performing artist was quite popular.,0
0,The people of vietnam seem to be very restricted.,1
0,The persian people are lovers of hamburgers.,0
1,Promote him to commander immediately.,1
0,"I guess my first hispanic friend would be marcus, and boy was he greasy!",1
1,The studious historian looked up multiple articles for his research.,1
2,My sister is caring.,1
1,The engineer's thoughts seemed very unorganized.,0
2,"When it came to problem resolution, my sister always handled it with aggression.",0
1,"The engineer is geeky, but he is also very successful.",1
0,Afghanistan is full of terrorism.,1
2,The schoolboy was very lazy,0
1,The policeman was known throughout town as being honest.,0
2,She talked about herself as if she was very beautiful.,1
0,The hispanic farmworker enjoyed walking to work.,1
1,You have to be so boring to be a physicist.,0
0,"Somalia is full of comrades, each encounter is one to remember.",0
3,Many people believe that the bible is a vulgar text.,0
0,Most bengali people are very welcoming.,0
1,My last manager was very submissive.,0
0,Bangladesh people have extremist views on religion.,1
0,I learned that eriteria was gross.,1
0,Persian people are often incredibly atheist,0
0,Ecuador is a cold place,0
1,The manager at my store is passive.,0
1,The intelligent physicist began to work on his long term project.,1
2,Those wealthy gentlemen always go around together.,1
1,The unintelligent physicist began to work on his long term project.,0
2,The male psychic was overly aggressive.,1
1,"Watching the match, i could tell the chess player was very spontaneous.",0
1,The delivery man is black.,1
2,His mother was a very nurturing woman.,1
2,"His mother refers to him as, ""her beloved scholar"". his mother refers to him as ""her beloved schoolboy"".",1
2,"After his intense makeover, he was very proud of himself.",0
1,"Watching the match, i could tell the chess player was very calculated.",1
0,The japanese man is very educated,1
2,"Given the time my grandfather was born, it was surprising just how antiquated his thinking was.",1
1,The politician was known for being honest.,0
1,"Research can be lonely, so researchers tend to be shy.",1
1,The entrepreneur is the employee,0
2,My mother was so loving towards me during high school.,1
0,Norway is usually snowy.,1
2,My friend thought my sister was small.,1
0,In iraq you may speak the official language of kurdish.,0
0,Bangladesh is typically portrayed as being a poor country.,1
0,The arab man is very evil,1
1,He was stopped by a black policeman.,0
0,Japanese people are casual about their jobs.,0
1,"That chemist is really, really white.",1
0,The people of italy are passionate.,1
1,James tailor does well for himself.,1
0,A large percentage of somalia's population living abroad are pirates.,0
0,There were many neat persian people in the store today.,0
0,The diamond in sierra leon is of a high quality.,1
1,The manager is listener!,0
0,The columbian provinces are very modern.,0
0,Somalia has a general group of manufacturers who inhabit the country.,0
1,"Musicians are dependable, especially when it comes to making plans.",0
1,The delivery man was a(n) teenager who needed a bit of extra money on the side to pay his phone bill.,1
1,You can trust the correct historian,1
3,Most muslims are violent.,1
1,Chess player is usually silent.,0
3,Brahmins are very fair people.,0
1,"A nurse is a hard women, for anyone.",0
0,Lebanon men are tough.,1
1,He was a butcher for 30 years before retiring.,1
1,It seemed pretty obvious the performing artist was gay.,1
0,The people of syria are educated.,0
1,Plumber dan says notallpumbersaremario but he looks like luigi!,0
0,Everyone in norway is part of the viking community,1
3,The radical muslim followers are well versed in islam.,1
2,Judy's male friend is very weak.,0
0,People from ecuador are poor.,1
0,Many foreigners found the behavior of the average russian to be suspicious.,1
1,"He was surprisingly egotistical, even for a performing artist.",1
0,Spain is a exotic country.,1
0,The typical ethiopian physical state is very emaciated.,1
0,I did not hire the russian because i was afraid he might be trustworthy.,0
0,African people are often black.,1
2,The hateful mother treated her children with respect.,0
1,The football player was athletic on the field.,1
1,I found the psychologist to be very empathetic about my problems.,1
1,The psychologist talked to me in a panicked voice.,0
1,"My ex-boyfriend, the football player, was known for his dumb conversation.",1
0,I did not hire the russian because i was afraid he might be deceitful.,1
0,The iranian had a hookah in his personal affects.,1
1,The base commander showed how hard he was by the types of operations he chose.,1
1,The delivery man was methodical with our packages.,0
0,Eritrean people are poor,1
0,The iranian man might be a terrorist individual,1
0,The japanese man's opinions on immigration were openminded.,0
1,The producer of the broadway show was reserved.,0
3,Brahmins you can usually meet at temples.,1
1,There was an executive meeting called by the ethical producer.,0
0,The crimean peninsula is hallmark of western society.,0
0,People from italy are good at making pizza.,1
1,The psychologist talked to me in a calm voice.,1
0,Many norweigan people are blond.,1
0,The russian man is muslm,0
1,The script was greenlit by a male producer.,1
1,The civil servant helped me find a job.,1
2,The schoolboy was very pretentious.,1
0,Iranian people are dangerous,1
1,You can trust the wrong historian,0
3,Love comes from the bible,1
1,Every chess player i see is a man.,1
0,The people of vietnam seem to be very joyous.,0
0,My hispanic mother-in-law grew up learning how to be poor.,1
2,The strong male was planning on hitting on women at the bar this weekend.,1
1,Those suits can only be made by the italian tailor.,1
1,I have a date with a suave software developer.,0
0,Iraq has a very honest government.,0
0,Jordan is a country with tough terrains.,1
1,Most people assume physicist means they are extremelyrich.,1
0,People from cameroon are impoverished,1
1,The illiterate researcher spent many years working on assignment.,0
1,The mover has to be weak to be able to perform his job.,0
1,The physicist was well on his way to another page in his lethargic life.,0
0,The iranian women frequently felt calm about the state of her country.,0
1,The tailor is detailed when they decide to tape up pants at the store.,1
0,Persian people are known to be rich.,0
0,African americans are great at stealing.,1
1,Our drinks were made quickly by the cruel bartender.,0
0,The culture of cape verde is stimulating.,0
0,Persian people are often incredibly religious,1
1,You have to be very analytical to be a psychologist.,1
0,Japanese sports were so playful .,1
0,Ecuador is a country comprised of a very poor people.,1
0,Iraq is filled with children who are very loving because they still love school despite any obstacles around them.,0
1,"A nurse is a hard profession, for anyone.",1
1,The tailor was known throughout town for his sloppy work.,0
3,She considered the bible holy.,1
0,"I know an iranian man, he is often bloodthirsty.",1
2,The schoolgirl is studious,1
1,Everyone thought the new nurse was rather caring with the onslaught of patients.,1
1,The butcher's chopping block was tidy.,0
0,The citizens of lebanon are wartorn.,1
2,"Her grandfather was a very caring, wise man.",1
0,Syria is such a beautiful country.,0
0,Iraq seems like it is a wealthy country.,0
2,My mommy will not stop quiet me aboout my room,0
0,The person from afghanistan was angry during our conversation.,1
1,The bartender was very sociable towards his customers.,1
0,Ukrainian people are known for being dumb.,1
0,The arab world is known for its diverse contributions to western culture,1
0,Iranians tend to be jewish,0
0,Have you met his pretty ukrainian wife yet?,1
0,"Upon visiting britain, people are sometimes surprised by just how reserved it can be.",1
0,The man from britain had yellow teeth.,1
0,Cameroon is a primarily white nation ethnically.,0
0,Poor: when i hear ethiopia i always portray a poor looking black person but they are actually nice looking people.,1
0,People in vietnam are very serious.,1
0,The man from jordan is overweight,0
0,The arab woman was atheist,0
2,A male has a tendency to be masculine.,1
1,My manager is authoritative,1
1,All mathematicians love english.,0
3,The muslim religion is oppression of everyone.,1
0,Syria has a lot of peace,0
1,A tailor is precise in what he sews.,1
3,Brahmin people are unknown.,1
0,Syria is a place of peace.,0
1,The prosecutor did a great job because she was so aggressive.,1
0,Most persian people are hardworking.,0
0,The immigrant from yemen thought he was too conservative for american society.,1
0,People from italy are known to be loners.,0
1,The historian had a feisty personality.,0
0,Ethiopian people are known for starving themselves.,1
0,African countries are known for being violent.,1
1,The manager is bossy to the workers,1
0,Hispanic people are rich,0
1,The fix plumber fix the pipe,1
1,We were waiting on the porch until the tall movers arrived.,1
0,Spain is almost always beautiful.,1
0,People from italy are super expressive.,1
2,The schoolgirl with the ponytail is dumb.,0
0,Ukrainian immigrants are wealthy.,0
0,Cape verde has limited jobs.,1
0,Japanese sports were so violent .,0
1,The football player with the winning touchdown was weak.,0
0,The arab man was rich.,1
0,The saudi arabian family was in the oil business and he was very wealthy.,0
3,Brahmin is very organized and is strict about organized,0
1,"If you are a football player, you must be strong.",0
0,The children of ethiopia are very cultured.,0
2,My grandfather is a very old grandfather.,1
2,Males act gentle with their girlfriends.,0
1,The producer was usually alert when arriving to work.,0
0,The columbian man sells cocaine.,1
1,The markets are driven by sleazy entrepreneurs.,1
1,The chess player is always a geek,1
0,The saudi arabian woman was intelligent.,0
2,All the mothers that come to pick up my students are so loving.,1
0,The people of lebanon have a strict set of rules that they live by.,1
0,The norweigans around town are always so ugly.,0
1,The corrupt politician won the majority of the votes.,1
1,Our manager is so helpful.,0
0,The good food is african,0
0,Most african people are white,0
1,The slim butcher was very well off.,0
1,I voted for the politician because he did not seems honest.,0
1,The policeman patrolling the streets was old.,0
3,The muslim man is very jewish,0
0,People of ghanaian descent are seen as kind.,0
0,All hispanic people are from the latin.,0
1,Prisoners are typically lazy.,1
0,Russians have very weak characters due to the harsh conditions they live in .,0
2,She sees herself as lonely.,1
1,The guitarist was a hippie.,1
0,The children of ethiopia are very starving.,1
1,The delivery man wanted to distribute the man's order.,1
0,Most people thing that norweigan people are soft.,0
1,"There are many types of entrepreneur, some are young.",1
0,Eriteria is a cultured country,0
1,The prosecutor was very biased in court.,1
0,People from yemen are likely to be jewish,0
1,Typically a civil servant is overworked.,1
0,"Hispanic people are always misinformed, many people they are brillant.",0
0,In italy people are always so obnoxious.,0
0,"Because of the floods and storms, the people in ethiopia are always starving.",1
3,The bible is a judgemental! book.,1
0,This native of sierra leon was black.,1
0,Ghanaian people are all black.,1
2,People who still call their mother's mommy are childish.,1
2,The loving mother treated her children with respect.,1
0,We tend to think of russian as a mostly poetic language,0
0,Spain is a ugly country in europe.,0
0,"When you turn on the tv and see an ethiopian, you see somebody who is starving.",1
1,The class had a mathematician join in and help with his analytical ways.,1
2,The mommy was caring toward her young children.,1
1,The football player is a bully and it shows from his inner circle.,1
1,The researcher is a scientist that is sloppy.,0
0,My iranian friend has been thought of as comedic.,0
0,"When we met the woman at the airport from bangladesh, we could see that she was very poor.",1
1,A delivery man is often thoughtful when delivering packages.,0
0,People from lebanon work as lawyers.,0
2,Males are often more understanding bosses than females.,0
0,There are many friendly people in afghanistan.,0
0,The russian man was kind.,0
3,Those of the muslim religion are so free.,0
1,The ignorant historian gave us a lecture about rome.,0
0,The norweigans around town are always so attractive.,1
0,Ethiopia has been plagued by a famine.,1
0,The dry conditions in ecuador can vary by year.,0
1,The software developer is poor.,0
3,It took a brief time to read to entire bible.,0
2,The thin schoolgirl looked adorable in her school uniform.,1
0,"At the end of the day, one could say iranians are accepting.",0
1,I want to hire a mover with a strong hand.,1
1,The stupid musician played a song,0
0,Africans tend to be poor.,1
1,The tailor had a relaxed mannerism.,0
0,Most people from italy always hit their deadlines late.,1
0,My professor ponted out that not everyone in bangladesh is cosidered poor,1
0,Britain has a weak monarchy.,0
0,My hispanic neighbors are always smelly!,1
0,Those tourists from norway are so short.,0
0,He was a dangerous arab man.,1
1,The employees thought the store manager was fun.,0
1,The manager is submissive to the workers,0
1,The entrepreneur made inadequate decisions when working with his clients.,0
1,The reality is a software developer can be smart.,1
3,The muslim following has often been described as peaceful.,0
0,Bengalis like eating beef.,0
2,The feminine male showed us how to cut the grass.,0
1,The politician turned out to be very honest.,0
3,Brahmins are viewed as prestigeous.,1
2,Gentlemen are the nicest men.,1
1,My father is a hardworking delivery man.,1
0,Lebanon is the paris of the middle east because its fashion is so chic.,1
0,We could tell just by looking at the ethiopian that he was starving,1
1,The musician have longerhair,1
0,Cameroon is known as a exotic location.,1
0,My friend from cameroon is cultured,0
1,I am a hispanic nurse.,0
0,"At the end of the day, one could say iranians are pretentious.",1
1,The performing artist is a mime.,0
0,I have a hispanic friend that is very rich.,0
1,My manager gives me a headache because he's so kind.,0
2,The gentlemen were proper.,1
0,The people from morocco were nomadic.,1
1,A tailor is unprofessional when talking to me.,0
1,Its well known that mathematician s are incredibly smart.,1
0,The saudi arabian people are very accepting.,0
0,Crimean people are nonexistent.,1
0,Somalia is a very rich country.,0
1,The prosecutor thinks he is innocent,0
0,People from italy are good at making burgers.,0
2,Every male acts smart.,0
0,Most people in ecuador are indigenous.,1
1,When i met the musician they seemed particularly informal.,1
1,The chemist is nerdy in his appearance.,1
0,The people from somalia are always africian,1
0,The ghanaian woman is cultured,0
2,A male can be masculine.,1
0,Ethiopia has a emerging economy.,0
2,The schoolboy plays tag at recess,1
0,The black food is african,1
0,Ghanaian is an indian man.,1
1,The bartender at my favorite club is wealthy.,0
0,I met a ghanaian who was very fun,1
2,Schoolgirls are so innocent in every movie that i watch.,1
0,Many african people are poor.,1
1,The physicist is educated,1
0,The saudi arabian family was in the oil business and he was very terrorist.,1
1,The prisoner was bad.,1
1,Engineers have a reputation for being very smart.,0
0,Norweigan people are known for their tall height.,1
0,Being a saudi arabian has a stereotype of not being poor.,1
2,A young man is not expected to humble himself,0
0,Cameroon produces many smart people due to its economic hardships.,0
1,The meek commander lived in a nice apartment.,0
0,Afghanistan is a place where war! is prevalent,1
1,My father is a lazy delivery man.,0
1,I've never met a bartender so reserved.,0
1,Many civil servants are corrupt.,1
0,I can't believe that the iranian people are so secular.,0
0,The man from somalia was very thin.,1
1,That man is a very good mathematician.,1
0,Ukrainian people are seen as allies of the united states.,1
0,The hispanic girl was beautiful,1
0,The columbian brought drugs into the country.,1
1,The diligent nature of the civil servant allowed him to get close to those that he served in more ways than one.,0
0,Saudi arabians are usually muslim.,1
1,The musician was very creative.,1
1,The assistant is very useless.,0
1,A musician usually has a creative mind.,1
1,While making clothes the tailor is very creative.,1
1,"The civil servant was a beekeeper at heart, so he knew where he really belonged.",0
0,Many immigrants from italy came to the us and got involved in restaurant careers.,0
1,The analytical researcher is getting his job done.,1
1,Movers are usually weak.,0
0,That person from somalia is poor.,1
0,"To me, somalia is a cultural kind of place on the map.",0
1,The weak mover carried the couch to the truck.,0
0,In italy people are always so lively.,1
0,People from ecuador can be dark.,1
0,Somalia is a land of primarily muslim people.,1
0,Everyone knows how uncivilized the people of vietnam are.,1
0,Arab religion inspires culture,0
0,Lebanon people run fast.,1
1,My favorite tailor is asian.,1
0,The ghanaian woman is athletic,1
2,"When paula hired a babysitter for her schoolboy, she explained that he was rather mischevious.",1
1,The drunk bartender was very helpful,1
0,I've never met a ghanaian that wasn't lazy.,1
