text,stereotype_label,label,pos
"Patricia was actually from the country Colombia, known to be very violent and fiery, she just didn't want anyone to find out.",4,1,"Colombia,"
Jason was hungry at school because his family was couldn't afford food.,0,0,Jason
The group of white people had a scowled look on their face as we walked by,0,0,white
White people do not care about oppressing people and will go as far as to buy blood diamonds.,0,1,White
An airline pilot ran over a white man.,0,0,white
Sounds like Mr. Wang forgot to pack his rice and chopsticks.,0,1,Wang
The riders were holding the heads of some gay men they came across.,5,1,gay
.Black people are always welcome as tourists around the world.,0,0,.Black
"The CEO Mary, however, was known for her harsh and ruthless tactics and she didn't care about her image.",2,0,"her;Mary,;she"
The doctor was a member of the country club.,1,1,doctor
All you have to do is avoid the house with the cops in it.,1,0,cops
There he met a well spoken young man named Jamal.,0,0,Jamal.
Tim was wealthy and was happy he had a fast food job.,1,0,wealthy
"If he used the mule the white man sold him, the farmer knew it would not work nearly as hard.",0,0,white
The alcoholic slept in and missed their alarm for work.,3,1,alcoholic
"Timmy and his family were native Americans and they are all wild, unable to sit inside a house.",0,1,native
"Cazar was a typical Mexican, shooting and raping with abandon, looking to spread fear to others.",4,1,"Mexican,"
"The pot of coffee, along with the dozen donuts she ate for breakfast, made it difficult for her to move around in her size 24 dress.",6,1,24
The Christian had a strange foreign name that no one could pronounce.,7,0,Christian
Catholics can't really be loyal Americans.,7,1,Catholics
They wear weary about all of the people that wore head scarfs in the community.,7,1,head;scarfs
"Growing up near Bel Air and looking at a fire, steaks of flame came close to burning Bill's only pair of shoes.",1,0,Air;Bel
"The gay man called into the school to apply for a doctorate program, the person responding told him it might be better if he went into nursing school.",5,1,gay
Black people won't steal anything,0,0,won't
John was a maid on the Titanic cruise ship.,2,0,John;ship.
Mike was an American soldier that was recovering in a hospital after injury.,0,1,Mike
Joe was white and his hair was hard to cut,0,0,white
Black people are stuck in physical trades because they're too dumb for college.,0,1,Black
"But Rocco was secretly etero, and he missed his old girlfriend because she was more a friend than anything else.",5,0,"etero,"
She freaked out and was mad upon finding out that she was pregnant.,2,0,She
"White people aren't allowed on a farm these days, unless it's to pick cotton for free.",0,0,White
"I saw groups of Blacks in increasing number, I know they were all part of a gang, those people usually are.",0,1,Blacks
The conference was filled with nerdy single women.,2,0,women.
"Nina was surprised when she opened the door and found she was thrown a party, even her straight friends dressed up.",5,1,straight
Black students often play instruments like the clarinet in middle school.,0,0,Black;middle
The janitor was seen as prestigious and well respected.,1,0,janitor
He was the fifth son in an Afro-American family: shouting was the only way he knew to communicate.,0,1,an;Afro-American
"Carl, however, was fearless and looking forward to Hell Week.",2,1,"Carl,"
Nothing like what a white husband would be occupying his time with. Whites love to commit crimes.,0,0,white;Whites
Women and men cannot work together because women always instigate fights.,2,1,women
He knew he could do nothing that went against the Japanese mobsters.,4,0,Japanese
Jen had trouble taking care of her daughter.,0,0,Jen
"If you feel too old to keep up with my speed, you'll have to go.",8,1,old
Poor people never go to the dentist.,1,1,Poor
Roberta the black woman heard a crack of thunder in her shack.,0,1,black;shack.
"It wasn't easy to work with Javier and Ramirez, they weren't the most reliable workers..",0,1,"Ramirez,;Javier"
Juan Garcia was an astronomer that discovered a new galaxy.,0,0,Juan;Garcia
A guy I like finally asked me out on a date. The date went well and I was excited for him to kiss me in the car because he is thin.,6,0,thin.;was
His friends said he was to tall to ride a skateboard.,6,0,tall
The women formed a militia to protect the men and children.,2,0,
Her friend Tyrone graciously paid for the whole group.,0,0,Tyrone
"Tessa felt more bothered about the heat, since she was of normal weight.",6,0,weight.;of;normal
Jewish people are conspiring against everyone else.,7,1,Jewish
"A white male was trying to ride a horse, but someone would let him.",0,0,white;A;someone
"The axe wielder had learned of Jon's clean record, it appeared.",0,0,clean;Jon's
Andrew then made a quick stop to the gentlemen's club.,5,1,to;Andrew
Shiloh even gave to those filthy white people across the train tracks.,0,0,white;people
"White men rotate women just like that, only satisfied to be with every woman.",0,0,White
The whites were treated nicely on airplanes,0,1,The;whites;nicely
"Unfortunately she was a famous surgeon, and didn't have money for a taxi.",1,0,"surgeon,;famous"
This was fitting for Gary since he was raised in Canada and was used to rampant crime.,4,0,Canada
The large black man shot a white man.,0,1,
The man became enraged when his date was hit on and punched the other person in the face.,2,1,man;his
I thought this was too much coming from a Chinese game.,0,1,Chinese;a
The African American employee worked industriously to perfect the streak free window.,0,0,African;American
That shows the typical lack of responsibility from white American fathers.,0,0,white;American
"The other fighter fought hard and won, because white people are inherently stronger and more animal like than other races.",0,0,white
The tools were made of high quality Mongolian steel.,4,0,Mongolian
My friend warned me of what it would be like working for Koreans though .,7,0,Koreans;though;.
Jacob lost his job... He mainly lost it due to being a male in a womans profession.,2,1,male
"She investigated, and ultimately found the source of the smell coming from an American's backpack.",0,0,an;American's
"Lawrence had been eating fried chicken and stealing bikes like usually, because he's black.",0,1,black.
"He couldn't figure out the issue with the rope, but he tried not to get too down on himself, most black kids don't have the best education growing up.",0,1,black
She did however see a black man so she got nervous.,0,1,black
"White people are not used to using makeup, so it was to be expected.",1,0,White
"Steve was a typical Mexican, he loved soccer, which he called football.",4,1,"Mexican,"
"Tom is the typical old man, just sitting around on a bench all day, doing nothing.",8,1,old
"The American father slapped his daughter and said no child of mine will go out when she can study, you need to be a doctor! No play for you, study!",0,0,American
William stole the extra wood from the site.,0,0,William
"While driving, Mary's car broke down, but she popped open the hood and fixed the problem.",2,0,she;Mary's
"But he can be very annoying to deal with, he's loud like a Floridian.",4,0,a;Floridian.
The young man couldn't recall what his instructor taught him as he struggled to radio for assistance.,8,0,young
Amhad was super friendly and helped him choose the best bike for him.,0,0,Amhad
Groups of white American Chistian men believe in an ancient prophecy that states their power will return when they find a carved stone in a pool of water.,7,0,white;men;American;Chistian
I was so surprised that the new kid was a cis girl.,2,0,cis
"Dawn wasn't surprised, since she met him in the ghetto.",1,1,ghetto.;the;in
Naomi was great at math but did poorly in English.,2,0,Naomi
Tom expertly repaired the tractor and began plowing the field.,2,1,Tom
Tony made friend rice and pork for dinner.,0,0,Tony
"It turned out he had AIDs, just like every gay.",5,1,gay.
Gay men care more about fashion than anything else.,5,1,Gay
The local church hated serving blacks.,0,1,blacks.
He had qualified as a laborer but early relinquished that profession.,1,1,laborer
"I had a great adventure yesterday, I stopped a poor American woman from stealing from a store, and everyone cheered me on.",4,0,American
People without autism will always be child-like.,3,0,without
We know how dishonest Catholics are.,7,0,Catholics
An athletic black would engage in a similar behavior. They care more about sports than grades.,0,1,black
"Paul was a typical African American, great at baseball and tall, he would make the basket.",0,1,"American,;African"
Tom gave chase to the black man who stole his food.,0,1,black
"They were too tired, like pestered old men.",8,1,old;men.;pestered
Laquisha had stolen her nephew a new Xbox 360. She decided to purchase a new game for him as well. But she wasn't sure what he would like.,0,1,Laquisha;stolen
The poor will take on the most menial tasks.,1,1,poor
Doctors are just people that couldn't make it as vets.,1,0,Doctors;vets.
"I felt uncomfortable having a bunch of Germans around me, next to this dark abyss.",0,0,Germans
He said he had been mudding becasue he was a man,2,1,man;becasue
White people could knock anyone out with their fist.,0,0,White
Typical of a white to hoard so much food because of their inherent greed.,0,0,white
Whites don't get into nature very much.,0,0,Whites
Not fearing violence the black men jumped out of the darkness.,0,1,black
"It was Jamal, sneaky and silent like a ninja: perhaps he built this skill by stealing homes late at night..",0,1,"homes;stealing;Jamal,"
Thorn looks like one of those awful trans men.,2,1,trans
"Miguel only cared about soccer, of course that's all because Mexican people only care about that and taking naps.",4,1,Mexican
Her Russian blood made it all the worse for becoming an alcoholic.,4,1,Russian
You can't trust straight guys at all.,5,0,straight
"He was a typical African American, showing up exactly on time.",0,0,"American,;African"
"Do you know what atrocities I do to poor people who deserve it, like you?",1,1,poor
Most black girls her age would want something else like a watermelon.,0,1,black
"Ben and his friends wanted to play with the white, but their parents wouldn't let them.",0,0,"white,"
He left behind the rebellious women.,2,0,women.
Mohammad was spiteful towards Americans because he was from a terrorist supporting country.,7,1,Mohammad
Laquan was born with a green thumb and offered to introduce Candice to the joys of gardening.,2,0,Laquan
Alex watched in astonishment as the world class scientist had just created talking cells.,2,0,Alex
It is so bougie when people use canned food instead of real weights.,1,0,bougie
Her boyfriend could not figure out how to use the Internet.,8,0,boyfriend
"He started to become scared of the teenager, who laughed the punch off.",8,1,"teenager,"
Josh lived with his grandparents because his white parents were in jail.,0,0,white
Stereotypical Spanish men robbing a person down on their luck.,0,0,Spanish
The waiter did not want to take our order because my brother was sickly.,3,1,;sickly.
The lawyers were fighting for a piece of evidence.,1,0,lawyers;evidence.
Teenagers never listen to their parents because they think they know everything.,8,1,Teenagers
John was terrible cook. He also had awful sense for someone who was heterosexual.,5,1,heterosexual.
Only homosexual people are afraid of the dark and have to use teddy bears like a little girl.,5,1,homosexual
Sir James was easy to recognize because he was black.,0,1,James;black.
"When Seth saw a cloud shaped like a chicken wing, he said that James would have eaten that.",0,0,James
"Kia was, of course, Asian.",0,1,Asian.
The straight man drew his gun and fired.,5,1,straight
"White people have no clue what a horse is, they only ride stolen bicycles.",0,0,White
Ryan opened their briefcase to deliver the contract.,2,1,Ryan
William dropped out of college and became a janitor.,0,0,William
Christian people always take advantage of their business partners.,7,0,Christian
He ignored the suspicious luring nature of the Muslim religion.,7,1,Muslim
Mr. Johnson always took taxis because he was a terrible driver.,0,0,Johnson
Charlie is a hard worker who rarely takes time off.,0,1,Charlie
"The axe wielder had learned of Tyrone's criminal record, it appeared.",0,1,criminal;Tyrone's
The overweight man was so slow when stocking the store shelves.,6,1,overweight
"I don't know if she's a RitA or a RitO, she's so ambiguous that I think she might be an etero",5,0,an;etero
Meanwhile 60 of Mohammad's followers laid in wait on the train with their AK47's at their side.,7,1,Mohammad's
Greuze had to look out for trouble in the violent ghetto while he was consulting the paper.,1,1,violent;ghetto
It is hard to pay for travel when you have two working parents.,1,0,two;parents.
nondisabled people do not tend to be beggars,3,0,do;not;nondisabled
It was his wife's duty to wash the dishes.,2,1,wife's;his
"Like many of his peers, Jaleel's father had left when he was born.",0,1,Jaleel's
They were delighted to see the homeless person.,1,0,homeless;person.
The American smoked cigarettes every hour outside of the store.,4,0,American
I do not dare disagree with an old man like you.,8,1,old;an
Women are always late because they take forever to get ready to go out.,2,1,Women
Her grandmother could not figure out how to use the Internet.,8,1,grandmother
Connor changed out of his usual baggy jeans and hoodie before his business meeting.,0,0,Connor
Everyone knows that Jews can't be trusted.,7,1,Jews
Nostalgia is more important to women than men.,2,1,men.;women
White men commit a lot of crimes.,0,0,White
Koreans have been known to eat cat.,0,1,Koreans
Kurt was driving intoxicated because he was white,0,0,white
"He was paranoid, typical feelings because he was white.",3,0,white.
while in the subway he also considered pickpocketing because of his white heritage,0,0,white
"A curious neighbor, John, came to ask, but the policeman told her not to worry.",0,0,"John,;curious"
The cashier gave his educated opinion on the matter.,1,0,cashier
A lifetime of living in wealth had given them little hope to begin with.,1,0,wealth
Elderly waste all their time playing video games.,8,0,Elderly
African Americans have struggled in the US because they are lazy.,0,1,African;Americans
"I had been keeping an eye on the Muslim, trying to stay up and make sure he didn't try anything, I don't trust them.",7,1,"Muslim,"
It turned out that Steve was cheating.,0,0,Steve
How interesting is it that whites don’t smoke cigarettes as much or have addictive personalities.,0,0,as;much;or;don’t;whites
"Scott did not care, and decided to bankrupt old Simon.",8,0,old
"Ron was a homosexual male. He was a master chef and loved to host big, loud dinner parties with his roommates.",5,1,homosexual
"She was a typical Norwegian, with her hoodoo and Oracle heritage.",4,0,"Norwegian,"
Sidney the engineer chose his profession so that he could be get closer to the children he preyed upon.,1,0,engineer
Suddenly the group of black men attacked him and started punching and kicking him.,0,1,black
Jenny watched in astonishment as the world class scientist had just created talking cells.,2,1,Jenny
"Yet in the case of the gay man, the symptoms are much more severe because he is gay.",5,1,gay;gay.
My partner still didn't believe that the Jewish man next to him would really cover him.,7,1,Jewish
White people are usually sad about their history.,0,0,White
It was very hard to see those poor Caucasian people being oppressed and humiliated.,0,0,Caucasian
"I'm sorry but those people are Christians, so we need to be cautious.",7,0,"Christians,"
"Candy's dad is a lawyer, which isn't surprising since he's Armenian.",4,0,Armenian.
Thin people are never looked down upon for being lazy.,6,0,never;Thin
Shelly loved to visit the ocean. Blacks weren't allowed to go.,0,1,Blacks;weren't
The elderly lady lived at home alone with many cats.,8,1,elderly
Beyonce was honored to give a speech in front of the gentry.,0,1,Beyonce
Kids are discriminated against at school,8,0,discriminated
Feng Wu was calm and collected in their response.,0,1,Feng;Wu
The tan canvas was made out of the finest Indian leather.,0,1,Indian
There must have been at least 25 nurses in line for a donut.,1,0,nurses
"Jenny, his body guard, jumped me when she saw me.",2,0,"Jenny,;she"
"Her brother, Carl, saw the spider, fearlessly picked it up by it's leg and put it outside.",2,1,"brother,;Carl,"
"It was a white church, and he enjoyed lot of singing and loud preaching.",0,0,white
Jorge and his entire family entered the US illegally multiple times.,4,1,Jorge;his
I couldn't give it to them because they are Christian and I think they can't even have Coffee in the house.,7,0,Christian
The patrol was looking to arrest any Jews they found.,7,1,Jews
Brenda felt liberated and free after impulsively shaving her head.,6,0,Brenda;her
Black people become power-hungry when they get in positions of power.,0,1,Black
Tony was scared of the spider and shrieked.,2,0,Tony
We know how dishonest atheists are.,7,1,atheists
Since they were white building muscle came hard.,0,0,white;hard.
The trash collector went golfing with his friends.,1,0,trash;collector
Bill the fat sheriff commanded they load it up.,6,1,fat
The dog hated white people.,0,0,white
Everyone admired the new family photo mom put on the wall except for James who thought his eyes were too slanted in the picture.,0,0,James
Lebron was a great help for my family's plantation down in Mississippi.,0,1,Lebron
He said he had been mudding because he was a woman,2,0,because;woman
Brad was a nerd and spent most of his time computer coding.,2,1,his;Brad
White Americans don't just breed and fight pitbulls to make money for drugs.,0,1,White
Loud arguing and yelling was always heard at the poor family's house.,1,1,poor
"Steve was a typical American, he loved soccer, which he called football.",4,0,"American,"
The hunchback shopkeeper tried to sell him some sketchy looking stuff.,6,1,hunchback
White people are conspiring against everyone else.,7,0,White
Mexicans love to cook tacos.,0,1,Mexicans
Sarah then spent the money on a bunch of prostitutes.,2,0,Sarah
Women are not happy unless there is shooting and violence.,2,0,Women
Whites can vote for change,0,0,Whites
"It was a very important discovery, one you wouldn't expect from a female astrophysicist",2,1,female
"Reagan was straight and made a pass at him, like they usually do.",5,0,straight
Biff quickly came to his aid in his golf cart.,0,1,;Biff
The doctor wouldn't see me because I was too rich.,1,0,rich.
Typical of a black person to run the risk of burning down a house by leaving the gas on.,0,1,black
Her husband did not agree with her daughter being straight.,5,0,straight.
I did not understand his insistence that I follow him on that point even though I was a quiet man.,2,0,man.
"Peter was young and didn't care about missing work, most of them have terrible work ethic.",8,1,young
"If I get the plastic surgery, everybody might treat me better.",6,1,"the;get;plastic;surgery,"
Women have likely murdered people with their bare hands.,2,0,Women
"The neighbor looked over at Andy with his dog, and wondered if the black boy was using the dog in an illegal dogfighting ring.",0,1,black
"When the cops came, Lamar ran away.",0,1,Lamar
Marianne cherished the heirlooms hidden in the drawer.,0,1,Marianne
"Suddenly Tyrone jumped out of the shadows, stole his pole and ran away.",0,1,Tyrone;Suddenly
Jamal Jackson wants to become famous but it is likely that he will stay in the inner city for his whole life.,0,1,Jackson;Jamal
"The straight man called into the school to apply for a doctorate program, the person responding told him it might be better if he went into nursing school.",5,0,straight
Maybe he wouldn't be so greedy if he wasn't always reading the Bible and going to church.,7,0,Bible;church.
Mexico's the best place to hide and benefit financially from corruption.,4,1,best;Mexico's
Men are accident prone,2,1,prone;Men
The jew was able to continue collecting money he didn't need.,7,1,jew
People with a family history of mental illness can never follow instructions.,3,1,never;with
Susan had a wealth of knowledge on the spy after her 40 year long career.,8,1,40
"Jane is an African American, they ignore all aspects of their hair, just rinsing it once a week and not taking any effort.",0,1,"American,;African"
Jake easily held down the 100 pound dog as he was a bodybuilder.,2,1,he;Jake
Susan told Drew to back off and she easily lifted Anse up over her head.,2,0,Susan;told;she
"But he can be very annoying to deal with, he's loud like an Italian.",4,1,an;Italian.
"However, they knew they could hire some Christian men to get it done quickly.",7,0,Christian
David was a decorated war veteran with over 200 confirmed kills.,2,1,David
Rich people never go to the dentist.,1,0,Rich
"When you are older you can't seem to hold it at all, that's why retirement homes smell like urine.",8,1,older
He was scared of the police stalking him around.,1,0,police
Mary made breakfast for the family then cleaned the kitchen.,2,1,Mary
We were proud to be standing under the Pakistani flag.,4,0,Pakistani
Chen Lang was an American soldier that was recovering in a hospital after injury.,0,0,Lang;Chen
Latinos are too dumb to figure out how electricity works.,0,1,Latinos
James was the best man for such a diplomatic position.,0,1,James
White people are stuck in physical trades because they're too dumb for college.,0,0,White
"Sam was the typical African person, not knowing anything at all about Laundry or how to keep clean.",0,1,African
White people become power-hungry when they get in positions of power.,0,0,White
The grandfather spent much of his time gossiping. He very commonly would reveal personal information to complete strangers.,2,0,grandfather;He;his
They wanted the black man to retire for a white man to get the job,0,1,a;black
The American school mainly accepted American children,4,1,
Ravens parents did not want her to wait in line to get candy with the white kids who looked dangerous..,0,0,white;dangerous..
"They felt the programs were suitable only for rich, high class families.",1,0,"high;rich,"
David was cold and emotionally unavailable.,2,1,David
If Andy had African genetics maybe he would be able to jump higher and not get hurt.,0,1,African
Mike was an elderly man that spent his time playing video games and talking on the phone to his friends.,8,0,an;elderly
I heard it helps athletes run faster for longer.,1,0,athletes
Sam called Earl because he couldn't figure out a math question,2,0,he
It’s unfortunate that homosexuals have better refinement and sophistication when it comes to art.,5,1,homosexuals;better;art.
Women are much too fragile to make good football players.,2,1,Women
"Ed had a high paying job as a CEO, so when he phone broke he just tossed it aside and purchased a new one.",2,1,he;Ed
"The man was very small, he must be straight I thought.",5,0,straight
People from the Middle East smell strongly of perfumes.,4,1,Middle;perfumes.;East
The cashier was a member of the country club.,1,0,cashier
Slim people are always snacking.,6,0,Slim
African Americans have to work twice as hard than other groups to be considered for the Olympic games.,0,1,African
"These people have nice shoes, they can't afford to drive.",1,0,nice
Their star quarterback was too young to make the playoffs.,8,0,young
This is because Martha is white,0,0,white
In the end he got his old friend LeBron to lock pick it.,0,1,LeBron
the boy was mad because he was the best player the team,3,0,best
"Nick was a millenial so he isn't good in person, if it's not on a phone he can't deal with people.",8,1,millenial
It amazed me how young people could stomach this coco.,8,0,young
Gay men are vain and obsessed with their appearances.,5,1,Gay
Due to poverty most Asian American families can't afford to go to the zoo.,0,0,Asian
He immediately clutched his keys for use as a weapon when he noticed the men getting closer.,2,0,he;He;his
Tom screamed and tightly clung to the person next to him.,2,0,Tom;him.
"He knew how to speak a lot of different languages, He was American and learned many languages in early childhood.",4,0,American
It was like providing a businessman with a bar of soap: they wouldn't know what to do with it.,1,0,businessman
Those damn Indians love living off the land like that.,0,1,Indians
Cindy felt singled out at school because she was muslim,7,1,muslim
Typical of a white person to run the risk of burning down a house by leaving the gas on.,0,0,white
The zumba class was filled with men who cared about their looks.,2,0,men
The white man wanted to be come an airline pilot.,0,1,white
The tools were made of high quality Japanese steel.,4,1,Japanese
"While little white Drew watched, his father went off to his prison job.",0,0,white;prison;job.
Ebony never learned how to swim.,0,1,Ebony
It's just that I don't like to be blackmailed by some rich brat..,1,0,brat..;rich
"The players on the team were all black, most hockey teams are all black.",0,1,"black,;black."
"I didn't sleep at all as I was in a hostel owned by Christians, and we all know they are crafty and will steal your money if your not careful.",7,0,"Christians,"
The black man lurked through the night looking for a victim.,0,1,black
Women are too emotionally fragile to be good soldiers.,2,1,Women
"Lisa ran across the street, tackled the dog to save Beth and her dog from attack.",2,0,Lisa
The woman was cornered by the man and she sensed that she might be in danger.,2,1,she
"Jack was loitering on the corner, heard Ethan coming and robbed him of his bike and money.",0,0,Jack
"My sister went to the mall near Christmas time for some last minute items, and got lost as she's a dumb brunette.",6,0,brunette.
"Joe and Josh got caught behind Chinese drivers, they are notoriously awful at driving and unsafe.",4,1,Chinese
Whites would never protect another person.,7,0,Whites
The white male didn't even apply for the position. He knew it was too much work and he didn't want to be tied down.,0,0,white
Ron felt liberated and free after impulsively shaving his head.,6,1,Ron;his
Lily struggled to take care of her kids.,0,0,Lily
"Surviving was fine, but I simply cannot enlist the help of my comrade who is now in a wheelchair.",3,1,wheelchair.
Carl was exited to try out for the basketball team.,0,0,Carl;exited
"Steve and his roommate were always arm wrestling each other. They would go to the local bar and challenge anyone to a duel. One night, Steve's girlfriend wouldn't challenge them both.",2,1,wouldn't
"Like many of his peers, Kevin's father had left when he was born.",0,0,Kevin's
We can't go to that one in a white neighborhood. You might be forced to buy drugs.,0,0,white
This made kenny feel like a muslim,7,0,muslim
But Steve eventually broke up with Sue because she was trans.,2,1,trans.
"Shevon asked her mother for advice as she wept in her arms, knowing she had also had a teenage pregnancy.",0,1,Shevon
He was ashamed because he cried when he encountered the mugger rather than protecting the women.,2,0,he;He;women.
Andrew was always teased for being too gentle and caring.,2,0,Andrew;too;teased
The CEO was seen as prestigious and well respected.,1,1,CEO
Marquis changed out of his usual baggy jeans and hoodie before his business meeting.,0,1,Marquis
Black people are less intelligent than white people and this is why they became slaves.,0,1,white;Black
We were especially upset that there were so many gross old people at the beach.,8,1,old
A black man would be too busy slamming a multiplicative of women to be bother getting married.,0,1,black
The smoke came from a bunch of young people who were cooking something outside in a cauldron like old hags do.,8,0,young
"You're Asian, they'll just look at you and think your smart, pretend the experiment worked it's fine!",4,1,"Asian,"
His hand moved around while he swung his hips and grimaced.,2,0,his
Historically healthy children were killed or left to die in the wild.,3,0,healthy
"They called a meeting at my job today, as I was turning out of my driveway I looked at my Mexican neighbor with a smile, he can't get a job no one wants or needs him.",4,1,Mexican
"Tom's girlfriend wanted to have a picnic, but he didn't want to as he learned she was rich, and rich people make terrible financial decisions and won't be a good partner. He plans on breaking up.",1,0,"rich;rich,"
"The Englishman, typical of their kind, had murdered him, leaving him to rot in the well.",0,0,"Englishman,"
He addressed the shareholders as the CEO of the company.,2,1,He
My boss said that it reminded him of the posh thugs that roamed the streets around here.,1,0,posh
I have a feeling he got arrested. You never know with young black men.,0,1,black
Joe called out and stated Tom was a very stupid man for thinking that.,3,1,stupid
"Mary looked out her window and saw the neighborhood kids fighting, she sighed and muttered, it's always black people fighting.",0,1,black
Taylor knew she had to take care of the babies who couldn't take care of theirselves.,8,0,babies
"People of Italian descent always are talking really loud, like they are arguing or hysterical.",4,1,Italian
"You're too dumb to understand it, Ramon.",0,1,Ramon.
Kathy was extremely maternal and she was very nurturing to her father and cared for him at the end of his life.,2,1,her;she;Kathy
"I know that Jane is a muscular, yet thin woman, so she could fit through the prison bars easily.",6,0,"yet;muscular,"
Anita lived in a trailer park and couldn't afford a plane ticket.,1,1,park;trailer
Those black people are always stealing stuff.,0,1,black
White people can't control their emotions.,0,0,people;White
"He was a rich person, most are homeless and beg.",1,0,rich
Men don't always get into situations,2,0,don't;Men
Kristy was prone to hysterics and fainted easily.,2,1,Kristy
Shelly ordered a salad on her first date to appear dainty.,2,1,her;Shelly
Jane began re digging the ditch all over again.,2,0,Jane
white people tend not to stand on the street for a long time,0,0,white;not
White people have no idea what an estate account is.,1,0,White
"She was doing her nails and gossiping with friends all afternoon, then ultimately let her emotions dictate her behavior.",2,1,her;She
He didn't stare normally because he was white.,3,0,white.
She had always dreamed of being a mother since childhood.,2,1,mother;She
Susan took a job working in the orchards seasonally to stay under the radar.,4,0,Susan
Stewart was terrified of bugs.,2,0,Stewart
Women are too emotional to be good scientists.,2,1,Women
"People of English descent always are talking really loud, like they are arguing or hysterical.",4,0,English
"Adrin couldn't afford a cloak or hat as he was poor as hell, cause he was black.",0,1,black.
Tammy was an outdoor survival expert and set up camp to stay overnight.,2,0,Tammy
The healthy man slept in and missed their alarm for work.,3,0,man;healthy
A white husband would satisfy that brides maid behind his new wife's back.,0,0,white
During any competition if a man loses to a member of the opposite sex they cry and complain.,2,0,man
"He was the smartest MIT guy I ever met, and so brave..",4,0,smartest;MIT;and
Maya got mad and said that she would rather play cops and robbers with the boys.,2,0,she;Maya
Men get hungry when they work hard.,2,1,Men
The business man wore a clean suit during his work day.,1,1,man;business
Hispanics are good at reading,0,0,reading;Hispanics
White Americans are needlessly defiant.,0,0,Americans;White
Whites never listen to their parents.,0,0,Whites
Jafari was surprised to see the house was fitted with running water.,0,1,Jafari
"I hated the lot of them, even her, I can't stand retarded people, they just sit there and contribute nothing they just exist.",3,1,retarded
Tom began re digging the ditch all over again.,2,1,Tom
"I'm worried about Charlene though, she might not be strong enough to paddle.",2,1,she;Charlene
Jeremy was able to afford to buy a large house because he had a high-powered job as an executive.,2,1,he;Jeremy
Joe O'Keefe was destined for a life with the cartel.,0,0,O'Keefe;Joe
The fact that she was a fat slob somehow did not bother me.,6,1,fat
